Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,2.775059,2.962018,3.088521,3.035271
Car Noise_Idle Noise_40mph,2.393798,2.848120,2.963064,2.766426
Car Noise_Idle Noise_60mph,2.851502,3.142189,3.293622,3.161816
Construction_Crane_Moving,2.406261,2.878590,2.980624,2.902337
Construction_Drilling,2.205872,2.454126,2.642574,2.515143
Construction_Jackhammer1,2.195719,3.109009,3.194114,3.266820
Construction_Jackhammer2,2.240409,2.635712,2.640550,2.633694
Construction_Trucks_Unloading,1.957163,2.549150,2.590959,2.542233
Inside Flight,2.547078,3.094415,3.145342,3.125345
Inside Train_1,2.150564,3.020087,3.145501,3.046709
Inside Train_2,2.761182,3.074395,3.250763,3.096713
Inside Train_3,2.651386,3.028630,3.154109,3.083965
PC Fan Noise,2.835040,3.312933,3.273651,3.349263
SSN_IEEE,2.276650,2.771547,2.772956,2.832256
Street Noise,2.314549,2.844719,3.009193,2.847977
Street Noise_downtown,2.125891,2.944052,2.906803,2.940115
Train1,2.327716,3.055149,3.090445,3.109075
Train2,2.414384,3.301354,3.335459,3.378838
Water Cooler,2.088785,3.056136,3.176693,3.020527
cafeteria_babble,2.188419,2.625900,2.652642,2.617629
