Noise_Type,Baseline,GTCRN,GTCRN_SS_Log,GTCRN_SS_Mel
Car Noise_60mph,1.061041,1.219851,1.231237,1.231954
Car Noise_Idle Noise_40mph,1.032734,1.252038,1.269387,1.272387
Car Noise_Idle Noise_60mph,1.064696,1.378430,1.411273,1.415623
Construction_Crane_Moving,1.023658,1.075675,1.078002,1.077601
Construction_Drilling,1.037708,1.106353,1.108364,1.108207
Construction_Jackhammer1,1.055937,1.150411,1.152468,1.153359
Construction_Jackhammer2,1.058164,1.169308,1.171198,1.176646
Construction_Trucks_Unloading,1.041323,1.174984,1.185645,1.186422
Inside Flight,1.139371,1.625828,1.637379,1.636101
Inside Train_1,1.058608,1.223832,1.225809,1.226163
Inside Train_2,1.072021,1.228305,1.236330,1.238607
Inside Train_3,1.041237,1.079918,1.080866,1.081082
PC Fan Noise,1.041443,1.373112,1.361935,1.363292
SSN_IEEE,1.031769,1.149473,1.152048,1.152007
Street Noise,1.071655,1.237597,1.247491,1.248342
Street Noise_downtown,1.138781,1.220838,1.217085,1.215742
Train1,1.084494,1.222880,1.225181,1.224555
Train2,1.053633,1.223202,1.226929,1.228106
Water Cooler,1.144395,1.516447,1.511484,1.514242
cafeteria_babble,1.062352,1.116380,1.119759,1.119838
