Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,-4.992700,6.171656,5.901219,6.135606
Car Noise_Idle Noise_40mph,-5.134821,5.047844,4.751019,5.100522
Car Noise_Idle Noise_60mph,-5.003763,5.071490,4.996508,5.234497
Construction_Crane_Moving,-4.979718,7.619007,7.102830,7.574028
Construction_Drilling,-5.031132,2.494483,2.199271,2.533457
Construction_Jackhammer1,-5.043993,7.388334,6.702532,7.207611
Construction_Jackhammer2,-5.156763,3.318856,2.820625,3.111392
Construction_Trucks_Unloading,-4.991601,2.221737,2.007994,2.351053
Inside Flight,-4.891988,7.311739,6.700412,7.185040
Inside Train_1,-4.826953,5.412875,5.009966,5.393101
Inside Train_2,-4.942768,3.041705,2.810132,3.007216
Inside Train_3,-4.992688,3.794587,3.510049,3.731902
PC Fan Noise,-4.992569,9.187017,8.554791,9.115139
SSN_IEEE,-5.015874,3.650476,3.295690,3.578799
Street Noise,-5.196861,4.330651,3.954227,4.229373
Street Noise_downtown,-5.026106,4.579533,4.133381,4.438509
Train1,-4.997287,5.081481,4.585649,4.972784
Train2,-4.958389,2.478837,1.995968,2.339171
Water Cooler,-4.958066,4.499547,3.995954,4.318578
cafeteria_babble,-4.857639,-1.256746,-1.459377,-1.314559
