Noise_Type,Baseline,GTCRN,GTCRN_SS_DNSMOS,GTCRN_SS_SI_SDR
Car Noise_60mph,1.079484,1.412448,1.452076,1.462599
Car Noise_Idle Noise_40mph,1.076447,1.584753,1.609226,1.605944
Car Noise_Idle Noise_60mph,1.081776,1.474892,1.515212,1.532019
Construction_Crane_Moving,1.063721,1.371877,1.378599,1.372704
Construction_Drilling,1.070464,1.247536,1.277269,1.253441
Construction_Jackhammer1,1.143815,1.595805,1.542079,1.579582
Construction_Jackhammer2,1.121858,1.412103,1.406601,1.420281
Construction_Trucks_Unloading,1.086011,1.477280,1.456485,1.476358
Inside Flight,1.130205,1.639692,1.599735,1.631961
Inside Train_1,1.107982,1.528588,1.492413,1.509768
Inside Train_2,1.109964,1.470945,1.468489,1.507139
Inside Train_3,1.136465,1.442243,1.477570,1.487269
PC Fan Noise,1.087184,1.981680,1.968685,2.054197
SSN_IEEE,1.079022,1.410712,1.406069,1.423017
Street Noise,1.088565,1.359830,1.343651,1.363191
Street Noise_downtown,1.122569,1.405897,1.403046,1.407351
Train1,1.147026,1.569497,1.533607,1.565918
Train2,1.123126,1.367526,1.344007,1.370795
Water Cooler,1.158195,1.631190,1.595415,1.656042
cafeteria_babble,1.100327,1.289849,1.288210,1.293610
