Noise_Type,Baseline,GTCRN,GTCRN_SS_Log,GTCRN_SS_Mel
Car Noise_60mph,0.025575,9.106085,9.034037,9.043715
Car Noise_Idle Noise_40mph,-0.002266,9.999856,9.894005,9.892809
Car Noise_Idle Noise_60mph,0.015788,9.882826,9.838112,9.831575
Construction_Crane_Moving,-0.035859,4.995528,4.874471,4.913334
Construction_Drilling,-0.021953,6.916168,6.738896,6.743062
Construction_Jackhammer1,-0.018690,4.817864,4.682708,4.687538
Construction_Jackhammer2,-0.010051,3.691584,3.616554,3.622707
Construction_Trucks_Unloading,-0.029407,7.081974,7.035239,7.040228
Inside Flight,-0.018400,10.817422,10.704909,10.716144
Inside Train_1,-0.041616,8.386703,8.297976,8.317384
Inside Train_2,-0.081692,8.023598,7.975135,7.978765
Inside Train_3,-0.006598,-0.318326,-0.319565,-0.324049
PC Fan Noise,-0.011513,14.237812,13.965618,13.979773
SSN_IEEE,-0.006400,7.574901,7.438917,7.435383
Street Noise,-0.066578,8.024591,7.885529,7.885959
Street Noise_downtown,-0.015970,6.667317,6.646558,6.651221
Train1,-0.095039,9.790930,9.629422,9.652719
Train2,-0.009330,8.080667,7.976461,7.977685
Water Cooler,-0.033536,9.675726,9.458137,9.452959
cafeteria_babble,-0.061648,4.697370,4.746601,4.750496
