Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,PESQ
mband_mel_N4_F8_O50_FL0p5,Stationary,mel,4,8,50,2.088085651397705,0.8020349740982056,11.657185554504396,3.4515154057678608,2.088085651397705
mband_linear_N4_F8_O50_FL0p5,Stationary,linear,4,8,50,2.0879383087158203,0.8020261526107788,11.657544136047363,3.4546805980759565,2.0879383087158203
mband_log_N8_F25_O75_FL0p7,Stationary,log,8,25,75,2.081885814666748,0.8000568151473999,11.58049774169922,3.694921172758125,2.081885814666748
mband_mel_N16_F8_O50_FL0p5,Stationary,mel,16,8,50,2.0809712409973145,0.7869435548782349,11.676763534545898,3.963730545036568,2.0809712409973145
mband_linear_N16_F8_O50_FL0p5,Stationary,linear,16,8,50,2.078998327255249,0.7871410846710205,11.691361427307127,3.9543822779093936,2.078998327255249
mband_mel_N4_F25_O75_FL0p7,Stationary,mel,4,25,75,2.0694892406463623,0.8162807822227478,11.663410186767578,3.3618498045743896,2.0694892406463623
mband_linear_N4_F25_O75_FL0p7,Stationary,linear,4,25,75,2.0690574645996094,0.816299319267273,11.663695335388184,3.3563531074585105,2.0690574645996094
mband_log_N4_F20_O75_FL0p7,Stationary,log,4,20,75,2.0622360706329346,0.7885387539863586,11.522254943847656,3.580679804834205,2.0622360706329346
mband_linear_N8_F25_O75_FL0p3,Stationary,linear,8,25,75,2.0543112754821777,0.7943297028541565,11.520198822021484,3.490432285253391,2.0543112754821777
mband_mel_N8_F25_O75_FL0p3,Stationary,mel,8,25,75,2.0535566806793213,0.7944296002388,11.520055770874023,3.4825520278828663,2.0535566806793213
