Parameter,Value,PESQ_mean,PESQ_std,STOI_mean,STOI_std,SI_SDR_mean,SI_SDR_std,DNSMOS_mean,DNSMOS_std,Weighted_mean,Weighted_std,Count
Freq_spacing,mel,2.4010130050447254,0.30392499834186165,0.8290911211790862,0.02465754458861508,15.718319911250362,2.3440223525093034,3.958632236283408,0.2125724886673942,0.7046468610940156,0.041463049288384804,675
Freq_spacing,log,2.4077176023412634,0.3084866640745928,0.8288176785575019,0.025129969395045585,15.554930289939598,2.3337150818472265,3.9850829475786615,0.19688241655285815,0.7051805995128773,0.04219387711322442,675
Freq_spacing,linear,2.4014842568503485,0.30310065614468534,0.8289545628759596,0.02466314670432793,15.725264748467339,2.344764429993859,3.957678481209104,0.21370045411227354,0.7046257071230146,0.04137954788215134,675
Nband,8,2.405774700729935,0.30480962013939494,0.8289566927485996,0.02466498344910036,15.673192073680736,2.3388264053215218,3.963029620716024,0.2055217416177989,0.7050558164472933,0.04157173497533932,675
Nband,16,2.4010222362588953,0.30698159623002047,0.8291533014509413,0.024373547031799038,15.656113015634043,2.339012604712111,3.9680000947331115,0.20631482863248607,0.7046788743513601,0.04172110744193185,675
Nband,4,2.4034179272475065,0.3037672963861146,0.8287533684130068,0.025402889803298627,15.66920986034252,2.3486063753881443,3.970363949622038,0.21276545160040272,0.7047184769312541,0.04174957295736033,675
FRMSZ_ms,20,2.4325401277895327,0.30078822674529854,0.830075139204661,0.0246737941434454,15.356509568956163,2.254169521253666,4.0139379589588104,0.17734420094390874,0.7082915823812838,0.04116959490373723,675
FRMSZ_ms,25,2.3602187737712153,0.31676261265365196,0.827723652433466,0.026291558501688742,14.62797593858507,2.5270685470791903,4.054075958137049,0.17299889802383853,0.6998837035938544,0.04342565209957654,675
FRMSZ_ms,8,2.417455962675589,0.29275368537847635,0.8290645709744207,0.02334499699677589,17.014029442116065,1.4124257961696787,3.833379747975314,0.2025879932209988,0.7062778817547692,0.0399079996918168,675
OVLP,75,2.5964908108887848,0.26492140567142003,0.8371883207780344,0.02417052785879933,17.878947317335342,0.9985063742927818,3.900742921770394,0.18025732448146214,0.7282432414778958,0.03801845889570868,675
OVLP,25,2.131052827835083,0.17556632935864067,0.8188347261040299,0.022849090380578873,13.17211326599121,1.7173725213040176,3.979058360246352,0.2366380110026848,0.6725226458355232,0.028394297066236075,675
OVLP,50,2.4826712255124694,0.2459876778686182,0.8308403157304834,0.023822322068410645,15.947454366330748,1.1394661216010495,4.0215923830544265,0.18462155652047446,0.7136872804164887,0.03588118048405758,675
Floor,0.7,2.419635127503195,0.29079790062450406,0.8309502077691349,0.023842816421509323,16.12039728046935,2.387880101073538,3.9513673434731307,0.20890358593996794,0.707438616634887,0.03969859228790262,405
Floor,0.3,2.4122015558643106,0.3131109765925185,0.8296979951269833,0.02470058898488762,15.563306047886979,2.211011731468328,3.969911955211749,0.20968146212404576,0.7060691531499226,0.042316159271692626,405
Floor,0.5,2.4215795940823024,0.3014506818862326,0.8304010461877893,0.024136345181222537,15.89626197343991,2.2938345195701766,3.967249297431239,0.2112505127585208,0.7073584825021249,0.041128773341553584,405
Floor,0.8,2.421434552875566,0.28865168898624677,0.8314487938527708,0.02377460640954217,16.17676872206323,2.396455312072598,3.9571643608483016,0.1969382652335632,0.707867852213942,0.039508239098125425,405
Floor,0.001,2.3421739434018547,0.32346644216554665,0.8222742280842346,0.02643357843466109,14.57412422556936,2.033032216585426,3.989963151487535,0.21249507927498468,0.6953545083823028,0.04429538851529696,405
Noisefr,1,2.403404954745446,0.30504445917373957,0.8289544542041826,0.02480586090683387,15.666171649885767,2.3410068133029043,3.967131221690391,0.20814549629504922,0.7048177225766357,0.04166062317910412,2025
