config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_log_N4_F8_O25_FL0p5,11.195847988128662,hybrid,log,4,8,25,1,0.5,1,1
mband_log_N4_F8_O25_FL0p7,1.975193977355957,hybrid,log,4,8,25,1,0.7,1,1
mband_log_N4_F8_O25_FL0p8,1.5991318225860596,hybrid,log,4,8,25,1,0.8,1,1
mband_log_N4_F8_O50_FL0p5,1.7208921909332275,hybrid,log,4,8,50,1,0.5,1,1
mband_log_N4_F8_O50_FL0p7,1.8263838291168213,hybrid,log,4,8,50,1,0.7,1,1
mband_log_N4_F8_O50_FL0p8,1.8055109977722168,hybrid,log,4,8,50,1,0.8,1,1
mband_log_N4_F8_O75_FL0p5,2.430201292037964,hybrid,log,4,8,75,1,0.5,1,1
mband_log_N4_F8_O75_FL0p7,2.430480718612671,hybrid,log,4,8,75,1,0.7,1,1
mband_log_N4_F8_O75_FL0p8,2.348177671432495,hybrid,log,4,8,75,1,0.8,1,1
mband_log_N4_F20_O25_FL0p5,1.1264755725860596,hybrid,log,4,20,25,1,0.5,1,1
mband_log_N4_F20_O25_FL0p7,1.2664685249328613,hybrid,log,4,20,25,1,0.7,1,1
mband_log_N4_F20_O25_FL0p8,1.2166478633880615,hybrid,log,4,20,25,1,0.8,1,1
mband_log_N4_F20_O50_FL0p5,1.326653003692627,hybrid,log,4,20,50,1,0.5,1,1
mband_log_N4_F20_O50_FL0p7,1.284942388534546,hybrid,log,4,20,50,1,0.7,1,1
mband_log_N4_F20_O50_FL0p8,1.4142115116119385,hybrid,log,4,20,50,1,0.8,1,1
mband_log_N4_F20_O75_FL0p5,1.7061774730682373,hybrid,log,4,20,75,1,0.5,1,1
mband_log_N4_F20_O75_FL0p7,1.6659138202667236,hybrid,log,4,20,75,1,0.7,1,1
mband_log_N4_F20_O75_FL0p8,1.6296489238739014,hybrid,log,4,20,75,1,0.8,1,1
mband_log_N4_F25_O25_FL0p5,1.227571725845337,hybrid,log,4,25,25,1,0.5,1,1
mband_log_N4_F25_O25_FL0p7,1.1389532089233398,hybrid,log,4,25,25,1,0.7,1,1
mband_log_N4_F25_O25_FL0p8,1.1242554187774658,hybrid,log,4,25,25,1,0.8,1,1
mband_log_N4_F25_O50_FL0p5,1.2998619079589844,hybrid,log,4,25,50,1,0.5,1,1
mband_log_N4_F25_O50_FL0p7,1.2804644107818604,hybrid,log,4,25,50,1,0.7,1,1
mband_log_N4_F25_O50_FL0p8,1.3477871417999268,hybrid,log,4,25,50,1,0.8,1,1
mband_log_N4_F25_O75_FL0p5,1.6082849502563477,hybrid,log,4,25,75,1,0.5,1,1
mband_log_N4_F25_O75_FL0p7,1.6408021450042725,hybrid,log,4,25,75,1,0.7,1,1
mband_log_N4_F25_O75_FL0p8,1.6423430442810059,hybrid,log,4,25,75,1,0.8,1,1
mband_log_N8_F8_O25_FL0p5,1.6712055206298828,hybrid,log,8,8,25,1,0.5,1,1
mband_log_N8_F8_O25_FL0p7,1.635439395904541,hybrid,log,8,8,25,1,0.7,1,1
mband_log_N8_F8_O25_FL0p8,1.580341100692749,hybrid,log,8,8,25,1,0.8,1,1
mband_log_N8_F8_O50_FL0p5,1.9037401676177979,hybrid,log,8,8,50,1,0.5,1,1
mband_log_N8_F8_O50_FL0p7,1.8865687847137451,hybrid,log,8,8,50,1,0.7,1,1
mband_log_N8_F8_O50_FL0p8,1.8835346698760986,hybrid,log,8,8,50,1,0.8,1,1
mband_log_N8_F8_O75_FL0p5,2.7720932960510254,hybrid,log,8,8,75,1,0.5,1,1
mband_log_N8_F8_O75_FL0p7,2.822011947631836,hybrid,log,8,8,75,1,0.7,1,1
mband_log_N8_F8_O75_FL0p8,3.0326061248779297,hybrid,log,8,8,75,1,0.8,1,1
mband_log_N8_F20_O25_FL0p5,1.2988827228546143,hybrid,log,8,20,25,1,0.5,1,1
mband_log_N8_F20_O25_FL0p7,1.4172279834747314,hybrid,log,8,20,25,1,0.7,1,1
mband_log_N8_F20_O25_FL0p8,1.2735705375671387,hybrid,log,8,20,25,1,0.8,1,1
mband_log_N8_F20_O50_FL0p5,1.4157745838165283,hybrid,log,8,20,50,1,0.5,1,1
mband_log_N8_F20_O50_FL0p7,1.464980125427246,hybrid,log,8,20,50,1,0.7,1,1
mband_log_N8_F20_O50_FL0p8,1.418471097946167,hybrid,log,8,20,50,1,0.8,1,1
mband_log_N8_F20_O75_FL0p5,1.827054500579834,hybrid,log,8,20,75,1,0.5,1,1
mband_log_N8_F20_O75_FL0p7,1.8145837783813477,hybrid,log,8,20,75,1,0.7,1,1
mband_log_N8_F20_O75_FL0p8,1.7505054473876953,hybrid,log,8,20,75,1,0.8,1,1
mband_log_N8_F25_O25_FL0p5,1.1521432399749756,hybrid,log,8,25,25,1,0.5,1,1
mband_log_N8_F25_O25_FL0p7,1.178359031677246,hybrid,log,8,25,25,1,0.7,1,1
mband_log_N8_F25_O25_FL0p8,1.2779266834259033,hybrid,log,8,25,25,1,0.8,1,1
mband_log_N8_F25_O50_FL0p5,1.3343420028686523,hybrid,log,8,25,50,1,0.5,1,1
mband_log_N8_F25_O50_FL0p7,1.312493085861206,hybrid,log,8,25,50,1,0.7,1,1
mband_log_N8_F25_O50_FL0p8,1.4017975330352783,hybrid,log,8,25,50,1,0.8,1,1
mband_log_N8_F25_O75_FL0p5,1.7634289264678955,hybrid,log,8,25,75,1,0.5,1,1
mband_log_N8_F25_O75_FL0p7,1.6582109928131104,hybrid,log,8,25,75,1,0.7,1,1
mband_log_N8_F25_O75_FL0p8,1.7347209453582764,hybrid,log,8,25,75,1,0.8,1,1
mband_log_N16_F8_O25_FL0p5,1.98079252243042,hybrid,log,16,8,25,1,0.5,1,1
mband_log_N16_F8_O25_FL0p7,1.8650939464569092,hybrid,log,16,8,25,1,0.7,1,1
