SNR_dB,Parameter,Best_Objective,Obj_Score,Best_Subjective,Subj_Score,Agrees
-5,Freq_spacing,log,0.4431284287518522,log,0.45770780746093387,True
-5,Nband,16,0.4436223026338551,16,0.4573010154229422,True
-5,FRMSZ_ms,20,0.4440002654325815,25,0.47006954413565527,False
-5,OVLP,75,0.44542733505938176,25,0.47531324180243956,False
-5,Floor,0.8,0.4454554331043405,0.7,0.45866310725831166,False
-5,Noisefr,1,0.44297038856305276,1,0.45544851280544235,True
0,Freq_spacing,mel,0.505187544398249,log,0.5897267819143748,False
0,Nband,4,0.5055008202523361,4,0.5899647060565253,True
0,FRMSZ_ms,8,0.5074898465462673,25,0.6056252386500044,False
0,OVLP,75,0.5099358058340755,25,0.608947076344707,False
0,Floor,0.8,0.5078736117013688,0.7,0.5905065101405711,False
0,Noisefr,1,0.5049617873686332,1,0.5890614811624015,True
5,Freq_spacing,log,0.5681549677619228,log,0.7035873431269981,True
5,Nband,16,0.568059209784755,8,0.7048031852713124,False
5,FRMSZ_ms,8,0.5721728654514124,25,0.7196666837022714,False
5,OVLP,75,0.5787223771265996,25,0.7163527268238078,False
5,Floor,0.7,0.5716579643600762,0.3,0.7082464491448818,False
5,Noisefr,1,0.5677533655358931,1,0.7032641408637967,True
10,Freq_spacing,log,0.626764517515677,mel,0.7649812507726522,False
10,Nband,8,0.6270824422883399,16,0.7649804949371798,False
10,FRMSZ_ms,8,0.6327485651899266,25,0.7808993854084011,False
10,OVLP,75,0.6471319225864646,25,0.7734516845448042,False
10,Floor,0.8,0.6317328678364617,0.5,0.7671972382544372,False
10,Noisefr,1,0.6267428346739874,1,0.764525979748464,True
15,Freq_spacing,log,0.6827545168146675,log,0.7970165895157324,True
15,Nband,8,0.6829572788244412,4,0.7940727899244076,False
15,FRMSZ_ms,8,0.6888599179332638,25,0.8108151916274097,False
15,OVLP,75,0.7156642842439958,50,0.8043184766108853,False
15,Floor,0.8,0.6872626802411099,0.001,0.797992630297507,False
15,Noisefr,1,0.6826485251012653,1,0.7934262443380782,True
