Metric,SNR_dB,Noisy,mband_lin_avr0,mband_lin_avr1,mband_py_lin_avr0_8,mband_py_lin_avr1
PESQ,-5,1.0658,1.1081,1.1162,1.1024,1.1117
PESQ,0,1.0937,1.1844,1.2139,1.1925,1.2307
PESQ,5,1.1733,1.3519,1.4013,1.3441,1.421
PESQ,10,1.3446,1.6302,1.642,1.6283,1.7032
PESQ,15,1.6468,2.0098,2.0225,2.0302,2.0849
SI_SDR,-5,-4.9899,-0.946,-0.5988,-0.8509,0.0649
SI_SDR,0,-0.0263,4.2643,4.4193,3.8968,4.8064
SI_SDR,5,4.9955,8.6082,8.3258,8.6288,8.4561
SI_SDR,10,9.9991,12.6141,11.5108,12.5744,11.7408
SI_SDR,15,14.9989,16.0545,13.6753,16.3049,14.0088
STOI,-5,0.5866,0.5774,0.5877,0.5687,0.5968
STOI,0,0.6549,0.651,0.6617,0.6532,0.6648
STOI,5,0.7153,0.7198,0.7239,0.7204,0.7238
STOI,10,0.774,0.7768,0.778,0.7756,0.78
STOI,15,0.8137,0.8207,0.815,0.8171,0.815
DNSMOS_p808_mos,-5,2.4363,2.5796,2.548,2.6085,2.5739
DNSMOS_p808_mos,0,2.5694,2.6896,2.6875,2.661,2.6779
DNSMOS_p808_mos,5,2.7331,2.722,2.7795,2.7413,2.7922
DNSMOS_p808_mos,10,2.9111,2.8856,2.9114,2.862,2.9342
DNSMOS_p808_mos,15,3.0481,3.034,3.0678,3.0804,3.0487
DNSMOS_mos_sig,-5,3.5517,3.1559,3.6856,2.9568,3.7379
DNSMOS_mos_sig,0,3.8877,3.0563,3.5832,3.0327,3.6902
DNSMOS_mos_sig,5,3.9827,3.1003,3.7546,3.1735,3.7077
DNSMOS_mos_sig,10,4.0784,3.4408,3.8729,3.437,3.9085
DNSMOS_mos_sig,15,4.0454,3.8289,3.9658,3.8361,3.9832
DNSMOS_mos_bak,-5,1.6733,1.8431,2.0799,1.9145,2.2017
DNSMOS_mos_bak,0,1.903,2.035,2.1954,2.0832,2.355
DNSMOS_mos_bak,5,2.1026,2.1893,2.4143,2.3314,2.5025
DNSMOS_mos_bak,10,2.3277,2.4088,2.5688,2.5097,2.7236
DNSMOS_mos_bak,15,2.518,2.6905,2.8934,2.8729,3.0236
DNSMOS_mos_ovr,-5,1.9706,1.889,2.3191,1.8422,2.3967
DNSMOS_mos_ovr,0,2.2631,1.9418,2.3075,1.9574,2.434
DNSMOS_mos_ovr,5,2.4361,2.0662,2.5193,2.1958,2.5347
DNSMOS_mos_ovr,10,2.6382,2.3799,2.6781,2.4015,2.7638
DNSMOS_mos_ovr,15,2.7482,2.7694,2.9388,2.8353,2.9809
