Metric,SNR_dB,Noisy,mband_mel_avr0,mband_mel_avr1,mband_py_mel_avr0_8,mband_py_mel_avr1
PESQ,-5,1.0658,1.1064,1.1123,1.1077,1.1163
PESQ,0,1.0937,1.1834,1.2195,1.1902,1.2204
PESQ,5,1.1733,1.3532,1.4013,1.3706,1.4296
PESQ,10,1.3446,1.6101,1.659,1.639,1.7291
PESQ,15,1.6468,1.9785,1.9835,2.0489,2.0836
SI_SDR,-5,-4.9899,-0.7418,-0.3566,-0.9882,-0.2594
SI_SDR,0,-0.0263,3.9957,4.2041,3.9766,4.4282
SI_SDR,5,4.9955,8.4379,8.0847,8.5245,8.2819
SI_SDR,10,9.9991,12.0428,11.3988,12.402,11.582
SI_SDR,15,14.9989,15.4862,13.3345,16.0156,13.7094
STOI,-5,0.5866,0.5748,0.5878,0.5723,0.5926
STOI,0,0.6549,0.6477,0.6593,0.6497,0.6572
STOI,5,0.7153,0.7201,0.7215,0.7218,0.7247
STOI,10,0.774,0.7759,0.7765,0.7758,0.7766
STOI,15,0.8137,0.8187,0.8147,0.8195,0.8172
DNSMOS_p808_mos,-5,2.4363,2.5481,2.5604,2.5808,2.5741
DNSMOS_p808_mos,0,2.5694,2.6204,2.6722,2.6368,2.6794
DNSMOS_p808_mos,5,2.7331,2.7243,2.826,2.7347,2.8011
DNSMOS_p808_mos,10,2.9111,2.8542,2.9001,2.866,2.9229
DNSMOS_p808_mos,15,3.0481,3.0204,3.072,3.0771,3.0679
DNSMOS_mos_sig,-5,3.5517,3.0306,3.6746,2.9188,3.5972
DNSMOS_mos_sig,0,3.8877,3.1264,3.7527,2.9212,3.7062
DNSMOS_mos_sig,5,3.9827,3.2987,3.8696,3.1544,3.6596
DNSMOS_mos_sig,10,4.0784,3.5216,3.8634,3.5468,3.7991
DNSMOS_mos_sig,15,4.0454,3.7436,4.0196,3.6917,3.9186
DNSMOS_mos_bak,-5,1.6733,1.8218,2.0734,1.943,2.1649
DNSMOS_mos_bak,0,1.903,2.0459,2.2078,2.1146,2.3117
DNSMOS_mos_bak,5,2.1026,2.1608,2.4241,2.2326,2.3996
DNSMOS_mos_bak,10,2.3277,2.3366,2.567,2.5478,2.6486
DNSMOS_mos_bak,15,2.518,2.6215,2.8951,2.8133,3.0503
DNSMOS_mos_ovr,-5,1.9706,1.8397,2.2969,1.8627,2.3211
DNSMOS_mos_ovr,0,2.2631,1.9877,2.4021,1.9311,2.4435
DNSMOS_mos_ovr,5,2.4361,2.1722,2.6053,2.103,2.4612
DNSMOS_mos_ovr,10,2.6382,2.3742,2.671,2.4884,2.6694
DNSMOS_mos_ovr,15,2.7482,2.6701,2.9668,2.7252,2.9578
