clean_file,enhanced_file,sampling_rate,PESQ_Noisy,SI_SDR_Noisy,STOI_Noisy,DNSMOS_p808_mos_Noisy,DNSMOS_mos_sig_Noisy,DNSMOS_mos_bak_Noisy,DNSMOS_mos_ovr_Noisy,source_file,enhanced_file_mband_py_log_avr1_future_frames,sampling_rate_mband_py_log_avr1_future_frames,PESQ_mband_py_log_avr1_future_frames,SI_SDR_mband_py_log_avr1_future_frames,STOI_mband_py_log_avr1_future_frames,DNSMOS_p808_mos_mband_py_log_avr1_future_frames,DNSMOS_mos_sig_mband_py_log_avr1_future_frames,DNSMOS_mos_bak_mband_py_log_avr1_future_frames,DNSMOS_mos_ovr_mband_py_log_avr1_future_frames,source_file_mband_py_log_avr1_future_frames,enhanced_file_mband_py_log_in_stream_avr1_og_wts_xmgasm,sampling_rate_mband_py_log_in_stream_avr1_og_wts_xmgasm,PESQ_mband_py_log_in_stream_avr1_og_wts_xmgasm,SI_SDR_mband_py_log_in_stream_avr1_og_wts_xmgasm,STOI_mband_py_log_in_stream_avr1_og_wts_xmgasm,DNSMOS_p808_mos_mband_py_log_in_stream_avr1_og_wts_xmgasm,DNSMOS_mos_sig_mband_py_log_in_stream_avr1_og_wts_xmgasm,DNSMOS_mos_bak_mband_py_log_in_stream_avr1_og_wts_xmgasm,DNSMOS_mos_ovr_mband_py_log_in_stream_avr1_og_wts_xmgasm,source_file_mband_py_log_in_stream_avr1_og_wts_xmgasm,enhanced_file_mband_py_log_circular_stream_adapt_wts_avr1,sampling_rate_mband_py_log_circular_stream_adapt_wts_avr1,PESQ_mband_py_log_circular_stream_adapt_wts_avr1,SI_SDR_mband_py_log_circular_stream_adapt_wts_avr1,STOI_mband_py_log_circular_stream_adapt_wts_avr1,DNSMOS_p808_mos_mband_py_log_circular_stream_adapt_wts_avr1,DNSMOS_mos_sig_mband_py_log_circular_stream_adapt_wts_avr1,DNSMOS_mos_bak_mband_py_log_circular_stream_adapt_wts_avr1,DNSMOS_mos_ovr_mband_py_log_circular_stream_adapt_wts_avr1,source_file_mband_py_log_circular_stream_adapt_wts_avr1,enhanced_file_mband_py_log_full_stream_og_wts_avr1,sampling_rate_mband_py_log_full_stream_og_wts_avr1,PESQ_mband_py_log_full_stream_og_wts_avr1,SI_SDR_mband_py_log_full_stream_og_wts_avr1,STOI_mband_py_log_full_stream_og_wts_avr1,DNSMOS_p808_mos_mband_py_log_full_stream_og_wts_avr1,DNSMOS_mos_sig_mband_py_log_full_stream_og_wts_avr1,DNSMOS_mos_bak_mband_py_log_full_stream_og_wts_avr1,DNSMOS_mos_ovr_mband_py_log_full_stream_og_wts_avr1,source_file_mband_py_log_full_stream_og_wts_avr1,noise_category
p092_emo_adoration_freeform,BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.1179051399230957,4.982757568359375,0.747296154499054,2.643773039182028,4.331066451329311,2.334779836504334,2.776388626250618,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.364367961883545,6.018507957458496,0.7606191635131836,2.807538628578186,3.748829415038284,2.511773055805248,2.481914260510964,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_log_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.3514878749847412,6.213138580322266,0.7428548336029053,2.829754034678141,3.557933733514556,2.31657864456939,2.371716338443942,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_log_AVR1_p092_emo_adoration_freeform_Noise Recordings_Car Noise_60mph_SNR[5]dB,16000,1.550668478012085,8.247568130493164,0.806326150894165,3.4217853943506875,2.863586465261636,3.372291371524057,2.37412317656162,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_adoration_freeform_Noise Recordings_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_log_AVR1_p092_emo_adoration_freeform_Noise Recordings_Car Noise_60mph_SNR[5]dB,16000,1.5304479598999023,7.929450035095215,0.8087027072906494,3.3802576462427774,3.4810145201676224,3.121258925323924,2.70107399574588,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_adoration_freeform_Noise Recordings_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,Babble
p092_emo_adoration_sentences,BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.1803655624389648,5.005819320678711,0.7374955415725708,3.3973292963845387,3.748244741134378,2.5135954043468502,2.541718000765752,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.55815851688385,8.869613647460938,0.7446662783622742,3.4109390803745816,3.589867295583632,2.6469609104383425,2.517887425178421,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_log_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.561471939086914,8.883384704589844,0.7354498505592346,3.4039723532540456,3.494571830237392,2.9251343138175416,2.626122579341686,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_log_AVR1_p092_emo_adoration_sentences_Noise Recordings_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.5633487701416016,8.386467933654785,0.7024421691894531,3.4826504502977644,3.746976140698599,2.786228160914,2.6408590898469413,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_adoration_sentences_Noise Recordings_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_log_AVR1_p092_emo_adoration_sentences_Noise Recordings_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.5103552341461182,8.21234130859375,0.7111991047859192,3.4724832602909634,3.7002940772704576,3.168696928263547,2.8189465974374976,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_adoration_sentences_Noise Recordings_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,Car
p092_emo_amazement_freeform,BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.0970019102096558,5.015362739562988,0.785666286945343,2.944141353879656,3.992972432977557,2.079351019201946,2.4632286773033867,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.4457930326461792,11.097159385681152,0.7899436950683594,2.855048486164638,3.780901510230576,2.596882078146403,2.6995075568473057,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_log_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.445469856262207,11.361347198486328,0.7883526086807251,2.9428469453539168,3.6100046735922993,2.642460171307919,2.6732061441604573,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_log_AVR1_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.5012505054473877,11.009115219116213,0.7923903465270996,2.9765647820064,3.219416015844757,2.9276105536617663,2.563934118000448,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_log_AVR1_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.4602367877960205,10.866230964660645,0.7811550498008728,2.922338962554932,3.3509017953090128,3.1653562654779286,2.754507518803202,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,Car
p092_emo_amazement_sentences,BASELINE_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.1796753406524658,4.961920261383057,0.7268972992897034,3.1137354373931885,3.610230545933869,2.263053849684021,2.408852349692668,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.562784194946289,10.010385513305664,0.7415708303451538,2.89190411567688,3.821547589081348,2.9812373522711173,2.832514502082323,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_log_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.5249063968658447,9.94738483428955,0.73812335729599,2.9751627445220947,3.680512355907407,2.9890858793129964,2.819203984188278,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_log_AVR1_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[5]dB,16000,1.246976613998413,5.445900917053223,0.7069771885871887,2.812016010284424,3.81826935394966,2.271624680893349,2.509760013018634,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_log_AVR1_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[5]dB,16000,1.1996841430664062,5.541790962219238,0.7054213881492615,2.538004159927368,3.514525245505482,1.7748418326083677,1.9350995291651767,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,Car
p092_emo_amusement_freeform,BASELINE_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0618342161178589,4.9871673583984375,0.7113854885101318,2.5354549884796143,3.3413483928024834,1.4391713217864743,1.7148123868458816,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0849651098251345,7.092752933502197,0.7087286710739136,2.3307982683181763,3.409682373669056,1.7368757591934052,1.817535784010088,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_log_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.094230055809021,7.556973457336426,0.7064986824989319,2.304054021835327,3.477821683615783,1.8944032415891965,2.085155602099816,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_log_AVR1_p092_emo_amusement_freeform_Noise Recordings_Construction_Drilling_SNR[5]dB,16000,1.1875395774841309,10.000005722045898,0.6694118976593018,2.4846673011779785,3.204592596792434,2.457141868356579,2.333674450379413,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amusement_freeform_Noise Recordings_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_log_AVR1_p092_emo_amusement_freeform_Noise Recordings_Construction_Drilling_SNR[5]dB,16000,1.2011051177978516,10.231243133544922,0.666096568107605,2.59905207157135,2.7880132631835086,2.29790620758488,2.026631526762482,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amusement_freeform_Noise Recordings_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,Construction
p092_emo_amusement_sentences,BASELINE_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.0891962051391602,4.963659763336182,0.7565394043922424,2.7873645623524985,4.287304535505876,1.857619612580691,2.413883144315572,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.341397404670715,8.042037963867188,0.7734782099723816,2.938044309616089,2.6959670498337043,2.497194234262545,1.959886899944952,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_log_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.3196780681610107,8.411491394042969,0.7561594247817993,2.9739794731140137,2.7325704775885225,2.365106181529657,1.9594358764176605,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_log_AVR1_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[5]dB,16000,1.2255892753601074,5.745715618133545,0.7840600609779358,2.7917659282684326,3.935245025372447,1.989172854164036,2.31591242776425,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_log_AVR1_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[5]dB,16000,1.201540231704712,5.699076175689697,0.7811514735221863,2.831576188405355,4.131877824366283,1.9604461363784875,2.5465248904141733,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,Construction
p092_emo_anger_freeform,BASELINE_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.1424521207809448,5.010672092437744,0.7959412336349487,2.484922204698836,4.204389554873325,1.555508235594467,2.1025015586557663,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.2885866165161133,7.487539768218994,0.7852193117141724,2.681553738457816,3.0683509925580026,1.8539429500478903,1.8558488648671287,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_log_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.209025740623474,6.80657958984375,0.7821817994117737,2.398570741925921,3.660296587376257,1.5394995634755253,1.8149392713671395,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_log_AVR1_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[5]dB,16000,1.2350001335144043,7.086811065673828,0.743167519569397,2.479030064174107,2.82966372077885,1.7140435001747352,1.7090205495299398,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_log_AVR1_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[5]dB,16000,1.126916766166687,6.7047882080078125,0.7168681621551514,2.277780839375087,3.144284857418849,1.5180201525535348,1.6461989364434826,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,Construction
p092_emo_anger_sentences,BASELINE_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.151146650314331,5.017452716827393,0.6909574866294861,2.4644167763846263,3.405828936502461,1.571353907638284,1.7662565137414783,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.293386459350586,7.482098579406738,0.7230505347251892,2.626601423536028,2.4111329659296694,1.963075332479402,1.647712815982152,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_log_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.230790138244629,7.410026550292969,0.7062212824821472,2.3564062799726213,2.548564498106786,1.8575062407368887,1.6570840029465788,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_log_AVR1_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB,16000,1.5351998805999756,10.402932167053224,0.75870680809021,2.656833410263061,3.7708818107702,2.142634247472007,2.3991816059727262,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_log_AVR1_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB,16000,1.4982028007507324,10.729989051818848,0.7471022605895996,2.5101450511387418,2.9017161573561987,2.094442990124012,1.9498346527140948,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,Construction
p092_emo_confusion_freeform,BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.1362409591674805,5.014190196990967,0.6730671525001526,2.3884407792772566,4.057254154326409,1.7925783631554346,2.395434734256064,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.5384657382965088,9.165555000305176,0.6646854281425476,2.5079368523189,4.046746214152108,2.614617485964877,2.808358575486738,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_log_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.5203746557235718,9.641571998596191,0.660371720790863,2.6135551248277937,3.613842828765077,2.302226558860344,2.4059185860377217,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_log_AVR1_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB,16000,1.374863624572754,8.789536476135254,0.6763283610343933,2.5462865148271834,4.154245614837636,2.4274051184338736,2.762965405919773,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_log_AVR1_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB,16000,1.3748080730438232,8.789485931396484,0.6762745380401611,2.5464912482670377,4.156397168914393,2.428135392386395,2.7647353788271025,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,Construction
p092_emo_confusion_sentences,BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.3481749296188354,4.986920356750488,0.5006161332130432,2.8088293075561523,3.965553456510679,2.47846623532828,2.6571909384516785,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.6777620315551758,9.131216049194336,0.5187890529632568,2.856064558029175,4.040189247848596,3.0439530413616627,3.099457581110346,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_log_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.633535385131836,8.732603073120117,0.5112440586090088,2.8102197647094727,3.9970737674150456,3.130270080343374,3.08370538500117,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_log_AVR1_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[5]dB,16000,1.554569959640503,7.559490203857422,0.5033878087997437,2.4489293098449707,3.729114114344211,2.706339557019992,2.7275227442523087,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_log_AVR1_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[5]dB,16000,1.9679205417633057,9.779584884643556,0.5248721837997437,2.546440839767456,4.212147341077555,3.101506691823459,3.222994989205004,mband_py_N6_log_AVR1_metrics.csv_ENH-mband_py_N6_log_AVR1_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,Flight
