Metric,SNR_dB,Noisy,mband_py_lin_full_stream_og_wts_avr1,mband_py_lin_full_stream_og_wts_avr0,mband_py_lin_hanning_avr1,mband_py_lin_hanning_avr0
PESQ,-5,1.0658,1.1177,1.0996,1.1141,1.1025
PESQ,0,1.0937,1.1996,1.1808,1.2228,1.1896
PESQ,5,1.1733,1.4025,1.36,1.4048,1.3411
PESQ,10,1.3446,1.6926,1.6172,1.7144,1.6253
PESQ,15,1.6468,2.0588,2.0057,2.1117,2.0342
SI_SDR,-5,-4.9899,-0.514,-1.3342,0.1912,-0.7899
SI_SDR,0,-0.0263,4.1934,3.8532,4.6006,3.8698
SI_SDR,5,4.9955,8.5754,8.537,8.4523,8.5875
SI_SDR,10,9.9991,12.1589,12.6153,12.0005,12.4201
SI_SDR,15,14.9989,14.5305,16.0117,14.4546,15.9579
STOI,-5,0.5866,0.5842,0.5745,0.5843,0.5638
STOI,0,0.6549,0.6523,0.6505,0.6552,0.6494
STOI,5,0.7153,0.7191,0.7136,0.7179,0.7167
STOI,10,0.774,0.7733,0.773,0.7777,0.7741
STOI,15,0.8137,0.8115,0.8143,0.8151,0.8161
DNSMOS_p808_mos,-5,2.4363,2.6155,2.6027,2.6266,2.623
DNSMOS_p808_mos,0,2.5694,2.6935,2.6656,2.6648,2.6716
DNSMOS_p808_mos,5,2.7331,2.8472,2.7485,2.792,2.7434
DNSMOS_p808_mos,10,2.9111,2.9557,2.8668,2.9882,2.8854
DNSMOS_p808_mos,15,3.0481,3.1364,3.0341,3.1438,3.0971
DNSMOS_mos_sig,-5,3.5517,3.1442,2.7397,3.2398,2.788
DNSMOS_mos_sig,0,3.8877,3.2003,2.8935,3.3196,2.876
DNSMOS_mos_sig,5,3.9827,3.483,3.0458,3.4373,3.0159
DNSMOS_mos_sig,10,4.0784,3.721,3.398,3.7417,3.3565
DNSMOS_mos_sig,15,4.0454,3.964,3.7045,3.9519,3.823
DNSMOS_mos_bak,-5,1.6733,2.0233,1.9197,2.028,1.9018
DNSMOS_mos_bak,0,1.903,2.2317,2.1675,2.2001,2.1038
DNSMOS_mos_bak,5,2.1026,2.4789,2.4351,2.3902,2.3213
DNSMOS_mos_bak,10,2.3277,2.6906,2.6509,2.6507,2.4987
DNSMOS_mos_bak,15,2.518,2.9038,2.7735,2.9103,2.8437
DNSMOS_mos_ovr,-5,1.9706,2.0125,1.7398,2.0625,1.7707
DNSMOS_mos_ovr,0,2.2631,2.1263,1.9492,2.1636,1.9042
DNSMOS_mos_ovr,5,2.4361,2.4091,2.1748,2.334,2.0973
DNSMOS_mos_ovr,10,2.6382,2.6519,2.4547,2.6459,2.3567
DNSMOS_mos_ovr,15,2.7482,2.9086,2.712,2.9226,2.806
