Metric,SNR_dB,Noisy,mband_py_mel_full_stream_og_wts_avr1,mband_py_mel_full_stream_og_wts_avr0,mband_py_mel_hanning_avr1,mband_py_mel_hanning_avr0
PESQ,-5,1.0658,1.1015,1.1002,1.115,1.1063
PESQ,0,1.0937,1.202,1.1904,1.2152,1.1897
PESQ,5,1.1733,1.3947,1.3537,1.4168,1.3679
PESQ,10,1.3446,1.6973,1.6314,1.7205,1.6406
PESQ,15,1.6468,2.0813,2.0136,2.1059,2.0559
SI_SDR,-5,-4.9899,-0.4274,-0.8777,-0.1779,-0.9294
SI_SDR,0,-0.0263,4.3792,4.3111,4.6399,4.1466
SI_SDR,5,4.9955,8.4708,8.374,8.5334,8.7294
SI_SDR,10,9.9991,11.9946,12.598,12.0623,12.5535
SI_SDR,15,14.9989,14.4427,16.1426,14.4734,16.0948
STOI,-5,0.5866,0.5779,0.5722,0.5821,0.5687
STOI,0,0.6549,0.6539,0.6479,0.6513,0.6471
STOI,5,0.7153,0.7219,0.7163,0.7198,0.7191
STOI,10,0.774,0.7764,0.7711,0.7753,0.7741
STOI,15,0.8137,0.8121,0.8154,0.8184,0.8199
DNSMOS_p808_mos,-5,2.4363,2.6334,2.5884,2.6209,2.5785
DNSMOS_p808_mos,0,2.5694,2.7149,2.6938,2.7242,2.6612
DNSMOS_p808_mos,5,2.7331,2.8389,2.7671,2.7986,2.756
DNSMOS_p808_mos,10,2.9111,2.9562,2.8759,2.9685,2.8821
DNSMOS_p808_mos,15,3.0481,3.1423,3.0433,3.1906,3.0894
DNSMOS_mos_sig,-5,3.5517,3.107,2.6118,3.1537,2.7983
DNSMOS_mos_sig,0,3.8877,3.2162,2.8678,3.3108,2.7474
DNSMOS_mos_sig,5,3.9827,3.4381,3.0672,3.4283,2.9841
DNSMOS_mos_sig,10,4.0784,3.7204,3.3966,3.6803,3.4455
DNSMOS_mos_sig,15,4.0454,3.9098,3.7115,3.9214,3.6989
DNSMOS_mos_bak,-5,1.6733,2.055,2.0266,2.0043,1.9328
DNSMOS_mos_bak,0,1.903,2.2957,2.1875,2.1837,2.12
DNSMOS_mos_bak,5,2.1026,2.4457,2.4678,2.3597,2.2715
DNSMOS_mos_bak,10,2.3277,2.6297,2.6255,2.6829,2.5449
DNSMOS_mos_bak,15,2.518,3.0187,2.9657,3.0255,2.8701
DNSMOS_mos_ovr,-5,1.9706,2.0354,1.7426,1.9974,1.7908
DNSMOS_mos_ovr,0,2.2631,2.1844,1.9248,2.1704,1.8471
DNSMOS_mos_ovr,5,2.4361,2.3957,2.1982,2.3071,2.0252
DNSMOS_mos_ovr,10,2.6382,2.62,2.448,2.6345,2.4251
DNSMOS_mos_ovr,15,2.7482,2.9469,2.7962,2.9582,2.7673
