Metric,SNR_dB,Noisy,specsub,ss_rdc_og,mband_lin_avr0,mband_lin_avr1,mband_log_avr0,mband_log_avr1,mband_mel_avr0,mband_mel_avr1
PESQ,-5,1.0658,1.083,1.0735,1.1081,1.1162,1.1097,1.1059,1.1064,1.1123
PESQ,0,1.0937,1.1444,1.1116,1.1844,1.2139,1.2147,1.2207,1.1834,1.2195
PESQ,5,1.1733,1.2715,1.2208,1.3519,1.4013,1.3896,1.4143,1.3532,1.4013
PESQ,10,1.3446,1.5087,1.4472,1.6302,1.642,1.6788,1.6909,1.6101,1.659
PESQ,15,1.6468,1.8521,1.7814,2.0098,2.0225,2.0459,2.0299,1.9785,1.9835
SI_SDR,-5,-4.9899,-1.7911,-3.058,-0.946,-0.5988,-0.0751,-0.2501,-0.7418,-0.3566
SI_SDR,0,-0.0263,2.9735,1.9952,4.2643,4.4193,4.5475,4.5448,3.9957,4.2041
SI_SDR,5,4.9955,7.635,6.7259,8.6082,8.3258,8.5247,8.134,8.4379,8.0847
SI_SDR,10,9.9991,12.0617,11.0743,12.6141,11.5108,12.6063,11.3432,12.0428,11.3988
SI_SDR,15,14.9989,15.947,14.7902,16.0545,13.6753,15.8209,13.5566,15.4862,13.3345
STOI,-5,0.5866,0.4809,0.555,0.5774,0.5877,0.5805,0.5933,0.5748,0.5878
STOI,0,0.6549,0.5772,0.6253,0.651,0.6617,0.6515,0.6597,0.6477,0.6593
STOI,5,0.7153,0.678,0.696,0.7198,0.7239,0.7148,0.719,0.7201,0.7215
STOI,10,0.774,0.751,0.7622,0.7768,0.778,0.7757,0.7746,0.7759,0.7765
STOI,15,0.8137,0.7998,0.8068,0.8207,0.815,0.816,0.8111,0.8187,0.8147
DNSMOS_p808_mos,-5,2.4363,2.311,2.4841,2.5796,2.548,2.6377,2.5539,2.5481,2.5604
DNSMOS_p808_mos,0,2.5694,2.3687,2.5451,2.6896,2.6875,2.6829,2.6909,2.6204,2.6722
DNSMOS_p808_mos,5,2.7331,2.4702,2.6594,2.722,2.7795,2.7558,2.8141,2.7243,2.826
DNSMOS_p808_mos,10,2.9111,2.6743,2.7874,2.8856,2.9114,2.8971,2.9619,2.8542,2.9001
DNSMOS_p808_mos,15,3.0481,2.9181,2.9876,3.034,3.0678,3.0408,3.0761,3.0204,3.072
DNSMOS_mos_sig,-5,3.5517,1.4917,3.0055,3.1559,3.6856,3.2259,3.7636,3.0306,3.6746
DNSMOS_mos_sig,0,3.8877,1.9922,3.0387,3.0563,3.5832,3.1358,3.7385,3.1264,3.7527
DNSMOS_mos_sig,5,3.9827,2.2979,3.2547,3.1003,3.7546,3.2106,3.7846,3.2987,3.8696
DNSMOS_mos_sig,10,4.0784,2.8452,3.4676,3.4408,3.8729,3.4997,3.8935,3.5216,3.8634
DNSMOS_mos_sig,15,4.0454,3.3772,3.7352,3.8289,3.9658,3.7112,3.98,3.7436,4.0196
DNSMOS_mos_bak,-5,1.6733,2.4644,1.9778,1.8431,2.0799,1.9406,2.1171,1.8218,2.0734
DNSMOS_mos_bak,0,1.903,2.4548,2.1295,2.035,2.1954,2.0594,2.2541,2.0459,2.2078
DNSMOS_mos_bak,5,2.1026,2.5155,2.3254,2.1893,2.4143,2.2587,2.435,2.1608,2.4241
DNSMOS_mos_bak,10,2.3277,2.5738,2.6072,2.4088,2.5688,2.4641,2.6391,2.3366,2.567
DNSMOS_mos_bak,15,2.518,2.655,2.9399,2.6905,2.8934,2.6275,2.9363,2.6215,2.8951
DNSMOS_mos_ovr,-5,1.9706,1.3682,1.9117,1.889,2.3191,2.0119,2.3783,1.8397,2.2969
DNSMOS_mos_ovr,0,2.2631,1.5602,2.0022,1.9418,2.3075,1.9952,2.4276,1.9877,2.4021
DNSMOS_mos_ovr,5,2.4361,1.7586,2.1796,2.0662,2.5193,2.1506,2.5393,2.1722,2.6053
DNSMOS_mos_ovr,10,2.6382,2.0847,2.451,2.3799,2.6781,2.4321,2.7389,2.3742,2.671
DNSMOS_mos_ovr,15,2.7482,2.4515,2.8045,2.7694,2.9388,2.6562,2.9583,2.6701,2.9668
