Metric,SNR_dB,Noisy,mband_py_log_avr1_future_frames,mband_py_log_causal_avr1_og_wts_xmgasm,mband_py_log_in_stream_avr1_og_wts_xmgasm
PESQ,-5,1.0658,1.111,1.1049,1.1133
PESQ,0,1.0937,1.2276,1.2054,1.2264
PESQ,5,1.1733,1.4379,1.4411,1.4222
PESQ,10,1.3446,1.7423,1.7098,1.6994
PESQ,15,1.6468,2.1362,2.1161,2.1434
SI_SDR,-5,-4.9899,-0.7242,-0.4201,-0.6698
SI_SDR,0,-0.0263,4.4491,4.538,4.5402
SI_SDR,5,4.9955,8.4766,8.6478,8.5312
SI_SDR,10,9.9991,11.2924,11.8157,11.5428
SI_SDR,15,14.9989,13.6192,14.215,14.2345
STOI,-5,0.5866,0.5903,0.5834,0.5812
STOI,0,0.6549,0.6598,0.6466,0.6533
STOI,5,0.7153,0.7243,0.7151,0.7182
STOI,10,0.774,0.7725,0.7694,0.7699
STOI,15,0.8137,0.8125,0.8101,0.812
DNSMOS_p808_mos,-5,2.4363,2.5863,2.6329,2.5884
DNSMOS_p808_mos,0,2.5694,2.7083,2.6802,2.7337
DNSMOS_p808_mos,5,2.7331,2.8057,2.7816,2.7952
DNSMOS_p808_mos,10,2.9111,2.9424,2.9412,2.9442
DNSMOS_p808_mos,15,3.0481,3.0382,3.0829,3.0977
DNSMOS_mos_sig,-5,3.5517,3.7267,3.2708,3.3565
DNSMOS_mos_sig,0,3.8877,3.762,3.3975,3.3968
DNSMOS_mos_sig,5,3.9827,3.6878,3.5593,3.5391
DNSMOS_mos_sig,10,4.0784,3.8408,3.7121,3.7885
DNSMOS_mos_sig,15,4.0454,3.9912,3.8803,3.9684
DNSMOS_mos_bak,-5,1.6733,2.2131,2.0569,2.0543
DNSMOS_mos_bak,0,1.903,2.3912,2.2406,2.2748
DNSMOS_mos_bak,5,2.1026,2.5283,2.3832,2.4421
DNSMOS_mos_bak,10,2.3277,2.7483,2.6742,2.651
DNSMOS_mos_bak,15,2.518,3.0619,2.9916,3.1013
DNSMOS_mos_ovr,-5,1.9706,2.4022,2.1128,2.1328
DNSMOS_mos_ovr,0,2.2631,2.5097,2.2479,2.246
DNSMOS_mos_ovr,5,2.4361,2.5373,2.3965,2.4376
DNSMOS_mos_ovr,10,2.6382,2.7283,2.6646,2.6677
DNSMOS_mos_ovr,15,2.7482,3.0043,2.9227,3.0194
