Metric,SNR_dB,Noisy,mband_py_mel_avr1_future_frames,mband_py_mel_causal_avr1_og_wts_xmgasm,mband_py_mel_in_stream_avr1_og_wts_xmgasm
PESQ,-5,1.0658,1.1163,1.1039,1.1142
PESQ,0,1.0937,1.2204,1.209,1.2071
PESQ,5,1.1733,1.4296,1.4017,1.4113
PESQ,10,1.3446,1.7291,1.7147,1.7041
PESQ,15,1.6468,2.0836,2.132,2.0703
SI_SDR,-5,-4.9899,-0.2594,-0.3697,-0.427
SI_SDR,0,-0.0263,4.4282,4.3386,4.3112
SI_SDR,5,4.9955,8.2819,8.3703,8.4059
SI_SDR,10,9.9991,11.582,11.7985,11.8503
SI_SDR,15,14.9989,13.7094,14.1364,14.2527
STOI,-5,0.5866,0.5926,0.5788,0.5815
STOI,0,0.6549,0.6572,0.6525,0.6493
STOI,5,0.7153,0.7247,0.7214,0.7189
STOI,10,0.774,0.7766,0.7756,0.774
STOI,15,0.8137,0.8172,0.811,0.816
DNSMOS_p808_mos,-5,2.4363,2.5741,2.6264,2.6092
DNSMOS_p808_mos,0,2.5694,2.6794,2.6887,2.7101
DNSMOS_p808_mos,5,2.7331,2.8011,2.8216,2.7562
DNSMOS_p808_mos,10,2.9111,2.9229,2.9399,2.9292
DNSMOS_p808_mos,15,3.0481,3.0679,3.1256,3.1367
DNSMOS_mos_sig,-5,3.5517,3.5972,3.2321,3.1545
DNSMOS_mos_sig,0,3.8877,3.7062,3.2579,3.3604
DNSMOS_mos_sig,5,3.9827,3.6596,3.5151,3.421
DNSMOS_mos_sig,10,4.0784,3.7991,3.7335,3.7028
DNSMOS_mos_sig,15,4.0454,3.9186,3.9006,3.9356
DNSMOS_mos_bak,-5,1.6733,2.1649,1.9774,2.0108
DNSMOS_mos_bak,0,1.903,2.3117,2.2543,2.1904
DNSMOS_mos_bak,5,2.1026,2.3996,2.4022,2.3282
DNSMOS_mos_bak,10,2.3277,2.6486,2.5664,2.651
DNSMOS_mos_bak,15,2.518,3.0503,2.9386,2.9682
DNSMOS_mos_ovr,-5,1.9706,2.3211,2.0389,2.0157
DNSMOS_mos_ovr,0,2.2631,2.4435,2.1869,2.1978
DNSMOS_mos_ovr,5,2.4361,2.4612,2.4197,2.295
DNSMOS_mos_ovr,10,2.6382,2.6694,2.6161,2.6397
DNSMOS_mos_ovr,15,2.7482,2.9578,2.917,2.951
