Metric,SNR_dB,Noisy,mband_py_mel_avr1_future_frames,mband_py_mel_full_stream_og_wts_avr1,mband_py_mel_full_stream_og_wts_avr0,mband_py_mel_full_stream_VAD_below_avr1,mband_py_mel_full_stream_VAD_below_avr0
PESQ,-5,1.0658,1.1163,1.1015,1.1002,1.1026,1.1002
PESQ,0,1.0937,1.2204,1.202,1.1904,1.2028,1.1904
PESQ,5,1.1733,1.4296,1.3947,1.3537,1.3943,1.3537
PESQ,10,1.3446,1.7291,1.6973,1.6314,1.6958,1.6314
PESQ,15,1.6468,2.0836,2.0813,2.0136,2.0935,2.0136
SI_SDR,-5,-4.9899,-0.2594,-0.4274,-0.8777,-0.4003,-0.8777
SI_SDR,0,-0.0263,4.4282,4.3792,4.3111,4.3677,4.3111
SI_SDR,5,4.9955,8.2819,8.4708,8.374,8.4461,8.374
SI_SDR,10,9.9991,11.582,11.9946,12.598,11.9337,12.598
SI_SDR,15,14.9989,13.7094,14.4427,16.1426,14.3436,16.1426
STOI,-5,0.5866,0.5926,0.5779,0.5722,0.5786,0.5722
STOI,0,0.6549,0.6572,0.6539,0.6479,0.6523,0.6479
STOI,5,0.7153,0.7247,0.7219,0.7163,0.7212,0.7163
STOI,10,0.774,0.7766,0.7764,0.7711,0.7756,0.7711
STOI,15,0.8137,0.8172,0.8121,0.8154,0.8114,0.8154
DNSMOS_p808_mos,-5,2.4363,2.5741,2.6334,2.5884,2.629,2.5884
DNSMOS_p808_mos,0,2.5694,2.6794,2.7149,2.6938,2.7055,2.6938
DNSMOS_p808_mos,5,2.7331,2.8011,2.8389,2.7671,2.8303,2.7671
DNSMOS_p808_mos,10,2.9111,2.9229,2.9562,2.8759,2.9728,2.8759
DNSMOS_p808_mos,15,3.0481,3.0679,3.1423,3.0433,3.1554,3.0433
DNSMOS_mos_sig,-5,3.5517,3.5972,3.107,2.6118,3.0515,2.6118
DNSMOS_mos_sig,0,3.8877,3.7062,3.2162,2.8678,3.1299,2.8678
DNSMOS_mos_sig,5,3.9827,3.6596,3.4381,3.0672,3.4438,3.0672
DNSMOS_mos_sig,10,4.0784,3.7991,3.7204,3.3966,3.7097,3.3966
DNSMOS_mos_sig,15,4.0454,3.9186,3.9098,3.7115,3.8988,3.7115
DNSMOS_mos_bak,-5,1.6733,2.1649,2.055,2.0266,2.0433,2.0266
DNSMOS_mos_bak,0,1.903,2.3117,2.2957,2.1875,2.3131,2.1875
DNSMOS_mos_bak,5,2.1026,2.3996,2.4457,2.4678,2.4325,2.4678
DNSMOS_mos_bak,10,2.3277,2.6486,2.6297,2.6255,2.6401,2.6255
DNSMOS_mos_bak,15,2.518,3.0503,3.0187,2.9657,3.0566,2.9657
DNSMOS_mos_ovr,-5,1.9706,2.3211,2.0354,1.7426,1.991,1.7426
DNSMOS_mos_ovr,0,2.2631,2.4435,2.1844,1.9248,2.1474,1.9248
DNSMOS_mos_ovr,5,2.4361,2.4612,2.3957,2.1982,2.3934,2.1982
DNSMOS_mos_ovr,10,2.6382,2.6694,2.62,2.448,2.6167,2.448
DNSMOS_mos_ovr,15,2.7482,2.9578,2.9469,2.7962,2.9576,2.7962
