Metric,SNR_dB,Noisy,mband_py_mel_avr0_8,mband_py_mel_deltas_avr0
PESQ,-5,1.0658,1.1077,1.1121
PESQ,0,1.0937,1.1902,1.1953
PESQ,5,1.1733,1.3706,1.3729
PESQ,10,1.3446,1.639,1.6578
PESQ,15,1.6468,2.0489,2.0238
SI_SDR,-5,-4.9899,-0.9882,-0.782
SI_SDR,0,-0.0263,3.9766,4.0699
SI_SDR,5,4.9955,8.5245,8.4665
SI_SDR,10,9.9991,12.402,12.6255
SI_SDR,15,14.9989,16.0156,15.8819
STOI,-5,0.5866,0.5723,0.5754
STOI,0,0.6549,0.6497,0.6474
STOI,5,0.7153,0.7218,0.7201
STOI,10,0.774,0.7758,0.7775
STOI,15,0.8137,0.8195,0.8215
DNSMOS_p808_mos,-5,2.4363,2.5808,2.5782
DNSMOS_p808_mos,0,2.5694,2.6368,2.6746
DNSMOS_p808_mos,5,2.7331,2.7347,2.7494
DNSMOS_p808_mos,10,2.9111,2.866,2.8748
DNSMOS_p808_mos,15,3.0481,3.0771,3.0836
DNSMOS_mos_sig,-5,3.5517,2.9188,2.8785
DNSMOS_mos_sig,0,3.8877,2.9212,3.0882
DNSMOS_mos_sig,5,3.9827,3.1544,3.146
DNSMOS_mos_sig,10,4.0784,3.5468,3.4662
DNSMOS_mos_sig,15,4.0454,3.6917,3.7567
DNSMOS_mos_bak,-5,1.6733,1.943,1.9546
DNSMOS_mos_bak,0,1.903,2.1146,2.0722
DNSMOS_mos_bak,5,2.1026,2.2326,2.269
DNSMOS_mos_bak,10,2.3277,2.5478,2.4852
DNSMOS_mos_bak,15,2.518,2.8133,2.7464
DNSMOS_mos_ovr,-5,1.9706,1.8627,1.8297
DNSMOS_mos_ovr,0,2.2631,1.9311,1.9911
DNSMOS_mos_ovr,5,2.4361,2.103,2.1218
DNSMOS_mos_ovr,10,2.6382,2.4884,2.4227
DNSMOS_mos_ovr,15,2.7482,2.7252,2.7319
