Metric,SNR_dB,Noisy,mband_log_avr0,mband_log_avr1,mband_py_log_avr0_8,mband_py_log_avr1
PESQ,-5,1.0658,1.1097,1.1059,1.1134,1.111
PESQ,0,1.0937,1.2147,1.2207,1.2128,1.2276
PESQ,5,1.1733,1.3896,1.4143,1.4082,1.4379
PESQ,10,1.3446,1.6788,1.6909,1.6858,1.7423
PESQ,15,1.6468,2.0459,2.0299,2.0803,2.1362
SI_SDR,-5,-4.9899,-0.0751,-0.2501,-0.6056,-0.7242
SI_SDR,0,-0.0263,4.5475,4.5448,4.4565,4.4491
SI_SDR,5,4.9955,8.5247,8.134,8.8271,8.4766
SI_SDR,10,9.9991,12.6063,11.3432,12.656,11.2924
SI_SDR,15,14.9989,15.8209,13.5566,15.8372,13.6192
STOI,-5,0.5866,0.5805,0.5933,0.5738,0.5903
STOI,0,0.6549,0.6515,0.6597,0.6468,0.6598
STOI,5,0.7153,0.7148,0.719,0.7176,0.7243
STOI,10,0.774,0.7757,0.7746,0.7746,0.7725
STOI,15,0.8137,0.816,0.8111,0.8194,0.8125
DNSMOS_p808_mos,-5,2.4363,2.6377,2.5539,2.5585,2.5863
DNSMOS_p808_mos,0,2.5694,2.6829,2.6909,2.6337,2.7083
DNSMOS_p808_mos,5,2.7331,2.7558,2.8141,2.7533,2.8057
DNSMOS_p808_mos,10,2.9111,2.8971,2.9619,2.889,2.9424
DNSMOS_p808_mos,15,3.0481,3.0408,3.0761,3.0306,3.0382
DNSMOS_mos_sig,-5,3.5517,3.2259,3.7636,3.0029,3.7267
DNSMOS_mos_sig,0,3.8877,3.1358,3.7385,2.8915,3.762
DNSMOS_mos_sig,5,3.9827,3.2106,3.7846,3.2196,3.6878
DNSMOS_mos_sig,10,4.0784,3.4997,3.8935,3.4458,3.8408
DNSMOS_mos_sig,15,4.0454,3.7112,3.98,3.7382,3.9912
DNSMOS_mos_bak,-5,1.6733,1.9406,2.1171,2.019,2.2131
DNSMOS_mos_bak,0,1.903,2.0594,2.2541,2.1366,2.3912
DNSMOS_mos_bak,5,2.1026,2.2587,2.435,2.3931,2.5283
DNSMOS_mos_bak,10,2.3277,2.4641,2.6391,2.5336,2.7483
DNSMOS_mos_bak,15,2.518,2.6275,2.9363,2.7883,3.0619
DNSMOS_mos_ovr,-5,1.9706,2.0119,2.3783,1.9253,2.4022
DNSMOS_mos_ovr,0,2.2631,1.9952,2.4276,1.9317,2.5097
DNSMOS_mos_ovr,5,2.4361,2.1506,2.5393,2.2266,2.5373
DNSMOS_mos_ovr,10,2.6382,2.4321,2.7389,2.4329,2.7283
DNSMOS_mos_ovr,15,2.7482,2.6562,2.9583,2.7308,3.0043
