Metric,SNR_dB,Noisy,mband_lin_avr0,mband_py_lin_avr0,mband_py_lin_avr0_3
PESQ,-5,1.0658,1.1081,1.1024,
PESQ,0,1.0937,1.1844,1.1925,
PESQ,5,1.1733,1.3519,1.3441,
PESQ,10,1.3446,1.6302,1.6283,
PESQ,15,1.6468,2.0098,2.0302,
SI_SDR,-5,-4.9899,-0.946,-0.8509,
SI_SDR,0,-0.0263,4.2643,3.8968,
SI_SDR,5,4.9955,8.6082,8.6288,
SI_SDR,10,9.9991,12.6141,12.5744,
SI_SDR,15,14.9989,16.0545,16.3049,
STOI,-5,0.5866,0.5774,0.5687,
STOI,0,0.6549,0.651,0.6532,
STOI,5,0.7153,0.7198,0.7204,
STOI,10,0.774,0.7768,0.7756,
STOI,15,0.8137,0.8207,0.8171,
DNSMOS_p808_mos,-5,2.4363,2.5796,2.6085,
DNSMOS_p808_mos,0,2.5694,2.6896,2.661,
DNSMOS_p808_mos,5,2.7331,2.722,2.7413,
DNSMOS_p808_mos,10,2.9111,2.8856,2.862,
DNSMOS_p808_mos,15,3.0481,3.034,3.0804,
DNSMOS_mos_sig,-5,3.5517,3.1559,2.9568,
DNSMOS_mos_sig,0,3.8877,3.0563,3.0327,
DNSMOS_mos_sig,5,3.9827,3.1003,3.1735,
DNSMOS_mos_sig,10,4.0784,3.4408,3.437,
DNSMOS_mos_sig,15,4.0454,3.8289,3.8361,
DNSMOS_mos_bak,-5,1.6733,1.8431,1.9145,
DNSMOS_mos_bak,0,1.903,2.035,2.0832,
DNSMOS_mos_bak,5,2.1026,2.1893,2.3314,
DNSMOS_mos_bak,10,2.3277,2.4088,2.5097,
DNSMOS_mos_bak,15,2.518,2.6905,2.8729,
DNSMOS_mos_ovr,-5,1.9706,1.889,1.8422,
DNSMOS_mos_ovr,0,2.2631,1.9418,1.9574,
DNSMOS_mos_ovr,5,2.4361,2.0662,2.1958,
DNSMOS_mos_ovr,10,2.6382,2.3799,2.4015,
DNSMOS_mos_ovr,15,2.7482,2.7694,2.8353,
