Metric,SNR_dB,Noisy,mband_mel_avr0,mband_py_mel_avr0_7
PESQ,-5,1.0658,1.1064,1.11
PESQ,0,1.0937,1.1834,1.1923
PESQ,5,1.1733,1.3532,1.3683
PESQ,10,1.3446,1.6101,1.6465
PESQ,15,1.6468,1.9785,1.9889
SI_SDR,-5,-4.9899,-0.7418,-0.7875
SI_SDR,0,-0.0263,3.9957,4.0819
SI_SDR,5,4.9955,8.4379,8.4369
SI_SDR,10,9.9991,12.0428,12.4722
SI_SDR,15,14.9989,15.4862,15.5276
STOI,-5,0.5866,0.5748,0.5755
STOI,0,0.6549,0.6477,0.6475
STOI,5,0.7153,0.7201,0.7195
STOI,10,0.774,0.7759,0.777
STOI,15,0.8137,0.8187,0.8199
DNSMOS_p808_mos,-5,2.4363,2.5481,2.6271
DNSMOS_p808_mos,0,2.5694,2.6204,2.6949
DNSMOS_p808_mos,5,2.7331,2.7243,2.7438
DNSMOS_p808_mos,10,2.9111,2.8542,2.8773
DNSMOS_p808_mos,15,3.0481,3.0204,3.0672
DNSMOS_mos_sig,-5,3.5517,3.0306,3.0422
DNSMOS_mos_sig,0,3.8877,3.1264,3.134
DNSMOS_mos_sig,5,3.9827,3.2987,3.1311
DNSMOS_mos_sig,10,4.0784,3.5216,3.36
DNSMOS_mos_sig,15,4.0454,3.7436,3.7273
DNSMOS_mos_bak,-5,1.6733,1.8218,1.8919
DNSMOS_mos_bak,0,1.903,2.0459,2.0226
DNSMOS_mos_bak,5,2.1026,2.1608,2.217
DNSMOS_mos_bak,10,2.3277,2.3366,2.4001
DNSMOS_mos_bak,15,2.518,2.6215,2.7272
DNSMOS_mos_ovr,-5,1.9706,1.8397,1.8869
DNSMOS_mos_ovr,0,2.2631,1.9877,1.9953
DNSMOS_mos_ovr,5,2.4361,2.1722,2.0838
DNSMOS_mos_ovr,10,2.6382,2.3742,2.3402
DNSMOS_mos_ovr,15,2.7482,2.6701,2.7246
