Metric,SNR_dB,Noisy,mband_py_log_avr1,mband_py_log_causal_ogw_avr1
PESQ,-5,1.0658,1.111,1.1141
PESQ,0,1.0937,1.2276,1.2227
PESQ,5,1.1733,1.4379,1.4152
PESQ,10,1.3446,1.7423,1.678
PESQ,15,1.6468,2.1362,2.0887
SI_SDR,-5,-4.9899,-0.7242,-0.8053
SI_SDR,0,-0.0263,4.4491,4.4064
SI_SDR,5,4.9955,8.4766,8.3528
SI_SDR,10,9.9991,11.2924,11.2056
SI_SDR,15,14.9989,13.6192,13.7225
STOI,-5,0.5866,0.5903,0.5823
STOI,0,0.6549,0.6598,0.6529
STOI,5,0.7153,0.7243,0.7176
STOI,10,0.774,0.7725,0.7684
STOI,15,0.8137,0.8125,0.8106
DNSMOS_p808_mos,-5,2.4363,2.5863,2.6152
DNSMOS_p808_mos,0,2.5694,2.7083,2.7465
DNSMOS_p808_mos,5,2.7331,2.8057,2.8193
DNSMOS_p808_mos,10,2.9111,2.9424,2.9705
DNSMOS_p808_mos,15,3.0481,3.0382,3.1241
DNSMOS_mos_sig,-5,3.5517,3.7267,3.4578
DNSMOS_mos_sig,0,3.8877,3.762,3.5355
DNSMOS_mos_sig,5,3.9827,3.6878,3.6972
DNSMOS_mos_sig,10,4.0784,3.8408,3.958
DNSMOS_mos_sig,15,4.0454,3.9912,4.1384
DNSMOS_mos_bak,-5,1.6733,2.2131,2.1057
DNSMOS_mos_bak,0,1.903,2.3912,2.2961
DNSMOS_mos_bak,5,2.1026,2.5283,2.5242
DNSMOS_mos_bak,10,2.3277,2.7483,2.7536
DNSMOS_mos_bak,15,2.518,3.0619,3.2402
DNSMOS_mos_ovr,-5,1.9706,2.4022,2.2204
DNSMOS_mos_ovr,0,2.2631,2.5097,2.3352
DNSMOS_mos_ovr,5,2.4361,2.5373,2.5811
DNSMOS_mos_ovr,10,2.6382,2.7283,2.8344
DNSMOS_mos_ovr,15,2.7482,3.0043,3.2148
