clean_file,enhanced_file,sampling_rate,PESQ,SI_SDR,STOI,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,source_file
p092_emo_cuteness_sentences,mband_py_N6_log_AVR0_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB,16000,1.3544161319732666,10.178306579589844,0.6533170938491821,2.4144445657730103,3.3147888411468576,2.3306301699491603,2.3607109385729985,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv
p092_emo_desire_sentences,mband_py_N6_log_AVR0_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB,16000,1.5177631378173828,7.356318950653076,0.6790195107460022,2.763500769933065,3.928963378251762,2.234962482528362,2.5515424115775054,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_desire_sentences.csv
p092_emo_disappointment_freeform,mband_py_N6_log_AVR0_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[5]dB,16000,1.2845605611801147,4.99968957901001,0.7580171227455139,2.809291567121233,4.062600305959546,2.3578740664091757,2.6134439474597637,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv
p092_emo_amazement_freeform,mband_py_N6_log_AVR0_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.445695877075195,11.715540885925291,0.7930881977081299,2.9171152114868164,2.7524943808393503,2.8987689055161665,2.2529470210626266,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv
p092_emo_amusement_sentences,mband_py_N6_log_AVR0_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[5]dB,16000,1.256600856781006,6.645632266998291,0.7928931713104248,2.652761697769165,2.9583824086770125,1.9233598099301317,1.8892722357664105,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv
p092_emo_desire_freeform,mband_py_N6_log_AVR0_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[5]dB,16000,1.3234548568725586,8.6298246383667,0.7067236304283142,2.6142712831497192,2.8787781076023986,2.5938044772413824,2.1426152916888577,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[5]dB_CLN-p092_emo_desire_freeform.csv
p092_emo_disgust_freeform,mband_py_N6_log_AVR0_p092_emo_disgust_freeform_Noise Recordings_Water Cooler_SNR[5]dB,16000,1.64731764793396,10.723106384277344,0.7934722900390625,2.8290323189326694,3.1826932215307013,2.751218537650149,2.503542394458838,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_disgust_freeform_Noise Recordings_Water Cooler_SNR[5]dB_CLN-p092_emo_disgust_freeform.csv
p092_emo_anger_freeform,mband_py_N6_log_AVR0_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[5]dB,16000,1.1424709558486938,7.182259559631348,0.739605188369751,2.216192483901977,2.455844645668342,1.692171279175391,1.4616969375269964,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_freeform.csv
p092_emo_amazement_sentences,mband_py_N6_log_AVR0_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[5]dB,16000,1.2115910053253174,6.606945037841797,0.6963346600532532,2.239987373352051,3.5160267333978297,1.8398087278961888,2.170140037839308,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv
p092_emo_anger_sentences,mband_py_N6_log_AVR0_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB,16000,1.5038386583328247,11.036434173583984,0.7590035200119019,2.5738517556871687,3.113810034097893,1.9695364571377256,1.9590635691985752,mband_py_N6_log_AVR0_metrics.csv_ENH-mband_py_N6_log_AVR0_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_anger_sentences.csv
