clean_file,enhanced_file,sampling_rate,PESQ,SI_SDR,STOI,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,source_file
p101_emo_adoration_freeform,WF_p101_emo_adoration_freeform_fold10_100648-1-0-0_SNR-5dB.wav,16000,1.1153922080993652,-5.113122463226318,0.4388222396373749,2.42101628439767,2.158853380909851,1.8341054596419648,1.4961519527275964,WF_EXP1p1b_data_ENH-WF_p101_emo_adoration_freeform_fold10_100648-1-0-0_SNR-5dB_CLN-p101_emo_adoration_freeform.csv
p101_emo_adoration_sentences,WF_p101_emo_adoration_sentences_fold10_100648-1-1-0_SNR-5dB.wav,16000,1.0712460279464722,-3.825725078582764,0.549843430519104,2.1129701137542725,1.790629612059145,1.9007969132293157,1.4145301543762097,WF_EXP1p1b_data_ENH-WF_p101_emo_adoration_sentences_fold10_100648-1-1-0_SNR-5dB_CLN-p101_emo_adoration_sentences.csv
p101_emo_amazement_freeform,WF_p101_emo_amazement_freeform_fold10_100648-1-2-0_SNR-5dB.wav,16000,1.1577702760696411,-6.650080680847168,0.3994604647159576,2.138039541244507,2.3230589111561253,1.758449835311556,1.5221915031044904,WF_EXP1p1b_data_ENH-WF_p101_emo_amazement_freeform_fold10_100648-1-2-0_SNR-5dB_CLN-p101_emo_amazement_freeform.csv
p101_emo_amazement_sentences,WF_p101_emo_amazement_sentences_fold10_100648-1-3-0_SNR-5dB.wav,16000,1.090018391609192,-2.391528367996216,0.4212124943733215,2.1338875770568846,2.518365496557715,1.5743882382245815,1.5143605206686317,WF_EXP1p1b_data_ENH-WF_p101_emo_amazement_sentences_fold10_100648-1-3-0_SNR-5dB_CLN-p101_emo_amazement_sentences.csv
p101_emo_amusement_freeform,WF_p101_emo_amusement_freeform_fold10_100648-1-4-0_SNR-5dB.wav,16000,1.1884078979492188,-5.515965461730957,0.7270908951759338,2.817846025739397,3.815105110690569,2.1515471928645757,2.501587033340964,WF_EXP1p1b_data_ENH-WF_p101_emo_amusement_freeform_fold10_100648-1-4-0_SNR-5dB_CLN-p101_emo_amusement_freeform.csv
p101_emo_amusement_sentences,WF_p101_emo_amusement_sentences_fold10_100795-3-0-0_SNR-5dB.wav,16000,1.2196816205978394,-5.061592102050781,0.7956457734107971,3.202931131635393,3.7746209913932782,1.8392998521644488,2.1273393740598388,WF_EXP1p1b_data_ENH-WF_p101_emo_amusement_sentences_fold10_100795-3-0-0_SNR-5dB_CLN-p101_emo_amusement_sentences.csv
p101_emo_anger_freeform,WF_p101_emo_anger_freeform_fold10_100795-3-1-0_SNR-5dB.wav,16000,1.270480990409851,-4.884157180786133,0.7619910836219788,3.0326995168413435,4.060791358848758,1.803017710180822,2.298101511956811,WF_EXP1p1b_data_ENH-WF_p101_emo_anger_freeform_fold10_100795-3-1-0_SNR-5dB_CLN-p101_emo_anger_freeform.csv
p101_emo_anger_sentences,WF_p101_emo_anger_sentences_fold10_100795-3-1-1_SNR-5dB.wav,16000,1.1693676710128784,-5.139960765838623,0.7448495626449585,3.192704336983817,3.736318333261729,1.854882319165461,2.2082332310081987,WF_EXP1p1b_data_ENH-WF_p101_emo_anger_sentences_fold10_100795-3-1-1_SNR-5dB_CLN-p101_emo_anger_sentences.csv
p101_emo_confusion_freeform,WF_p101_emo_confusion_freeform_fold10_100795-3-1-2_SNR-5dB.wav,16000,1.2193284034729004,-5.589139461517334,0.6898135542869568,3.2664783000946045,4.1336038822950405,1.8307345770065389,2.3227170673384125,WF_EXP1p1b_data_ENH-WF_p101_emo_confusion_freeform_fold10_100795-3-1-2_SNR-5dB_CLN-p101_emo_confusion_freeform.csv
p101_emo_confusion_sentences,WF_p101_emo_confusion_sentences_fold10_101382-2-0-10_SNR-5dB.wav,16000,1.1340887546539309,-4.545438766479492,0.3923195898532867,2.4969203812735423,3.801884895862525,1.6017331015333265,2.008419750220912,WF_EXP1p1b_data_ENH-WF_p101_emo_confusion_sentences_fold10_101382-2-0-10_SNR-5dB_CLN-p101_emo_confusion_sentences.csv
p101_emo_contentment_freeform,WF_p101_emo_contentment_freeform_fold10_101382-2-0-12_SNR-5dB.wav,16000,1.1270809173583984,-5.913246154785156,0.5942854881286621,2.66471038545881,4.07006442434372,1.735301280929214,2.178444348161609,WF_EXP1p1b_data_ENH-WF_p101_emo_contentment_freeform_fold10_101382-2-0-12_SNR-5dB_CLN-p101_emo_contentment_freeform.csv
p101_emo_contentment_sentences,WF_p101_emo_contentment_sentences_fold10_101382-2-0-20_SNR-5dB.wav,16000,1.0878270864486694,-5.44345760345459,0.6398210525512695,2.914332866668701,4.06851228443802,1.889586430106876,2.412733147646195,WF_EXP1p1b_data_ENH-WF_p101_emo_contentment_sentences_fold10_101382-2-0-20_SNR-5dB_CLN-p101_emo_contentment_sentences.csv
p101_emo_cuteness_freeform,WF_p101_emo_cuteness_freeform_fold10_101382-2-0-21_SNR-5dB.wav,16000,1.143846035003662,-5.806193828582764,0.5926804542541504,2.6846116185188293,4.092265731482,1.8801230743297084,2.428788718728665,WF_EXP1p1b_data_ENH-WF_p101_emo_cuteness_freeform_fold10_101382-2-0-21_SNR-5dB_CLN-p101_emo_cuteness_freeform.csv
p101_emo_cuteness_sentences,WF_p101_emo_cuteness_sentences_fold10_101382-2-0-29_SNR-5dB.wav,16000,1.1107902526855469,-5.17690896987915,0.6108174324035645,2.984941244125366,3.433353889355148,1.5973579933539677,1.8759390956189816,WF_EXP1p1b_data_ENH-WF_p101_emo_cuteness_sentences_fold10_101382-2-0-29_SNR-5dB_CLN-p101_emo_cuteness_sentences.csv
p101_emo_desire_freeform,WF_p101_emo_desire_freeform_fold10_101382-2-0-33_SNR-5dB.wav,16000,1.0913461446762085,-5.788851737976074,0.5810520052909851,2.6337369680404663,4.002016867531787,1.7280644458300278,2.299178020249232,WF_EXP1p1b_data_ENH-WF_p101_emo_desire_freeform_fold10_101382-2-0-33_SNR-5dB_CLN-p101_emo_desire_freeform.csv
p101_emo_desire_sentences,WF_p101_emo_desire_sentences_fold10_101382-2-0-42_SNR-5dB.wav,16000,1.1672650575637815,-5.108587265014648,0.5769181251525879,2.270873478480748,3.433230839772857,1.4184484948170393,1.598907435264694,WF_EXP1p1b_data_ENH-WF_p101_emo_desire_sentences_fold10_101382-2-0-42_SNR-5dB_CLN-p101_emo_desire_sentences.csv
