clean_file,enhanced_file,sampling_rate,PESQ,SI_SDR,STOI,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,source_file
p092_emo_adoration_freeform,WF_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[-5]dB.wav,16000,1.0652506351470947,-4.057608127593994,0.5415670871734619,2.314001599947612,3.874734136240484,1.906108081835874,2.2526359242512743,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[-5]dB_CLN-p092_emo_adoration_freeform.csv
p092_emo_adoration_sentences,WF_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[-5]dB.wav,16000,1.0661410093307495,-3.512580394744873,0.6167709827423096,3.255814756665911,3.723610680201013,2.214785793807396,2.488971868978312,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[-5]dB_CLN-p092_emo_adoration_sentences.csv
p092_emo_amazement_freeform,WF_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[-5]dB.wav,16000,1.060760736465454,-0.5133917331695557,0.6999490261077881,2.704678501401629,4.161342515331145,1.817239963386897,2.35370220728205,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[-5]dB_CLN-p092_emo_amazement_freeform.csv
p092_emo_amazement_sentences,WF_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[-5]dB.wav,16000,1.102323293685913,-0.1668658107519149,0.6083971261978149,2.596700429916382,3.116910695462112,1.904824041248832,1.9486411027952435,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[-5]dB_CLN-p092_emo_amazement_sentences.csv
p092_emo_amusement_freeform,WF_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[-5]dB.wav,16000,1.0287069082260132,-4.516542434692383,0.5762302279472351,2.2950127124786377,3.0433585309844826,1.3967424598228555,1.5771081546587946,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[-5]dB_CLN-p092_emo_amusement_freeform.csv
p092_emo_amusement_sentences,WF_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[-5]dB.wav,16000,1.0499249696731567,-2.2757296562194824,0.6077049374580383,2.346388975779216,3.405557623273778,1.5903081063240634,1.9000321091483008,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[-5]dB_CLN-p092_emo_amusement_sentences.csv
p092_emo_anger_freeform,WF_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[-5]dB.wav,16000,1.0657882690429688,-4.429573059082031,0.6155503988265991,2.200052567890712,3.1245126864202137,1.3338561362618866,1.5225537805329534,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[-5]dB_CLN-p092_emo_anger_freeform.csv
p092_emo_anger_sentences,WF_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[-5]dB.wav,16000,1.0762171745300293,-3.0411336421966557,0.516655683517456,2.12602128301348,2.998873903318438,1.6126229837590211,1.7073591597968265,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[-5]dB_CLN-p092_emo_anger_sentences.csv
p092_emo_confusion_freeform,WF_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[-5]dB.wav,16000,1.058491349220276,-1.3318421840667725,0.5154262781143188,2.376804113388061,3.7465343151748254,1.778145671379834,2.1503260137861786,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[-5]dB_CLN-p092_emo_confusion_freeform.csv
p092_emo_confusion_sentences,WF_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[-5]dB.wav,16000,1.193297266960144,-3.093059062957764,0.4099500179290771,2.482611656188965,4.12693098146906,2.1193900031117803,2.589630788513988,WF_EXP1p2_data_SNR[-5]dB_MU[0.123]_AADD[0.98]_ETA[0.15]_FRAME[25]ms_ENH-WF_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[-5]dB_CLN-p092_emo_confusion_sentences.csv
