clean_file,enhanced_file,sampling_rate,PESQ,SI_SDR,STOI,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,source_file
p092_emo_adoration_freeform,WF_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_THRESH[0.20].wav,16000,1.207174301147461,6.662370681762695,0.7421075701713562,2.623986562093099,3.584809703141289,2.252495414614414,2.3662573375179883,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_adoration_freeform.csv
p092_emo_adoration_sentences,WF_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_THRESH[0.20].wav,16000,1.341222047805786,8.256379127502441,0.7355978488922119,3.254176889147077,3.548474664712678,2.778792365049835,2.661020594992306,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_adoration_sentences.csv
p092_emo_amazement_freeform,WF_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_THRESH[0.20].wav,16000,1.203440546989441,9.437426567077637,0.7937451601028442,2.8292802401951382,3.4525628153904866,2.090912367423549,2.333892237430072,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_amazement_freeform.csv
p092_emo_amazement_sentences,WF_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_THRESH[0.20].wav,16000,1.385570049285889,9.88802433013916,0.7409970164299011,2.92803168296814,3.4956158264920467,2.049293681785837,2.2331482334388943,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_amazement_sentences.csv
p092_emo_amusement_freeform,WF_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_THRESH[0.20].wav,16000,1.0951181650161743,5.391521453857422,0.7002792954444885,2.1854320764541626,3.10647663068342,1.777775485202141,1.8257109950523436,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_amusement_freeform.csv
p092_emo_amusement_sentences,WF_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_THRESH[0.20].wav,16000,1.2315661907196045,8.785985946655273,0.7649937868118286,2.63072673479716,2.2506231021053527,1.9796750337248727,1.5987713712413492,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_amusement_sentences.csv
p092_emo_anger_freeform,WF_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_THRESH[0.20].wav,16000,1.1856061220169067,5.940145969390869,0.7653647661209106,2.2764341490609303,2.956346254460327,1.4922644971846164,1.5017221388754842,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_anger_freeform.csv
p092_emo_anger_sentences,WF_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_THRESH[0.20].wav,16000,1.2149863243103027,5.785771369934082,0.7115074992179871,2.1922291687556674,2.6903859893088504,1.7830782275143833,1.585667660503159,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_anger_sentences.csv
p092_emo_confusion_freeform,WF_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_THRESH[0.20].wav,16000,1.222223162651062,5.207634449005127,0.6513524055480957,2.490521158490862,3.39031148898156,2.0284682517728845,2.13838666835043,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_confusion_freeform.csv
p092_emo_confusion_sentences,WF_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_THRESH[0.20].wav,16000,1.464176893234253,5.555386543273926,0.477825790643692,2.5590054988861084,3.494916086940092,2.480039521532905,2.457521864206224,WF_EXP2p2a_data_SNR[5]dB_THRESH[0.20]_ENH-WF_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_THRESH[0.20]_CLN-p092_emo_confusion_sentences.csv
