clean_file,enhanced_file,sampling_rate,PESQ,SI_SDR,STOI,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,source_file
p092_emo_contentment_freeform,GTCRN_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[10]dB,16000,2.235739231109619,14.51963233947754,0.8527783751487732,3.902193375996181,3.897774630041656,3.7257498756652,3.2550002160734963,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[10]dB_CLN-p092_emo_contentment_freeform.csv
p092_emo_contentment_sentences,GTCRN_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[10]dB,16000,1.8471773862838743,15.27185344696045,0.7968456745147705,3.648453712463379,3.660681514919105,3.808812498324879,3.1522215593268883,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[10]dB_CLN-p092_emo_contentment_sentences.csv
p092_emo_disgust_freeform,GTCRN_p092_emo_disgust_freeform_Noise Recordings_Water Cooler_SNR[10]dB,16000,2.291334629058838,15.95679759979248,0.8904228806495667,3.517949274608067,3.964629297835372,2.8998278768568686,2.944603138591043,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disgust_freeform_Noise Recordings_Water Cooler_SNR[10]dB_CLN-p092_emo_disgust_freeform.csv
p092_emo_desire_freeform,GTCRN_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[10]dB,16000,1.781299114227295,14.227776527404783,0.817567765712738,3.213882048924764,3.2979837914589347,3.38905870874016,2.682822814205059,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[10]dB_CLN-p092_emo_desire_freeform.csv
p092_emo_desire_sentences,GTCRN_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[10]dB,16000,2.0460216999053955,14.758368492126465,0.7848647236824036,3.611936012903849,3.947152777927693,3.69578912245338,3.328718042289122,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[10]dB_CLN-p092_emo_desire_sentences.csv
p092_emo_cuteness_freeform,GTCRN_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[10]dB,16000,1.938525438308716,15.060317993164062,0.6907485723495483,2.639592695236206,3.831056759945909,4.125513677616998,3.346552786029206,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[10]dB_CLN-p092_emo_cuteness_freeform.csv
p092_emo_confusion_sentences,GTCRN_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[10]dB,16000,2.4478981494903564,17.266361236572266,0.5884427428245544,3.2564916610717773,3.616421858856429,4.21331279429995,3.254939498850996,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[10]dB_CLN-p092_emo_confusion_sentences.csv
p092_emo_disappointment_sentences,GTCRN_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[10]dB,16000,2.093472719192505,16.236669540405273,0.7640936374664307,3.551557898521424,4.334815522661986,4.212815180360843,3.907324114506294,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[10]dB_CLN-p092_emo_disappointment_sentences.csv
p092_emo_disgust_sentences,GTCRN_p092_emo_disgust_sentences_Noise Recordings_cafeteria_babble_SNR[10]dB,16000,2.171837329864502,14.562599182128906,0.7602918744087219,3.542518949508667,4.164607841085977,3.512609344907659,3.404098332264187,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disgust_sentences_Noise Recordings_cafeteria_babble_SNR[10]dB_CLN-p092_emo_disgust_sentences.csv
p092_emo_anger_sentences,GTCRN_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[10]dB,16000,1.6520200967788696,8.27658462524414,0.8258680701255798,2.9600626059940884,3.3307583479048355,3.3086504098364213,2.75177728128935,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[10]dB_CLN-p092_emo_anger_sentences.csv
