clean_file,enhanced_file,sampling_rate,PESQ,SI_SDR,STOI,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,source_file
p092_emo_adoration_freeform,GTCRN_MWF_25ms_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB.wav,16000,2.1022045612335205,17.574573516845703,0.8720958232879639,3.952621301015218,4.222559696866423,4.231574980973746,3.810528677562076,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[15]dB_CLN-p092_emo_adoration_freeform.csv
p092_emo_adoration_sentences,GTCRN_MWF_25ms_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB.wav,16000,2.368335008621216,19.772424697875977,0.8439286351203918,3.973646129880633,4.075585106500627,3.61113509935656,3.3678574226112183,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[15]dB_CLN-p092_emo_adoration_sentences.csv
p092_emo_amazement_freeform,GTCRN_MWF_25ms_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB.wav,16000,2.420604944229126,21.355960845947266,0.8759607076644897,3.4970096860613142,4.156789159159961,4.1827839049014015,3.7302145820451895,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[15]dB_CLN-p092_emo_amazement_freeform.csv
p092_emo_amazement_sentences,GTCRN_MWF_25ms_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[15]dB.wav,16000,2.67875337600708,20.05088996887207,0.847949743270874,3.718989849090576,4.081808595730013,4.074082510724561,3.6723054049350967,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[15]dB_CLN-p092_emo_amazement_sentences.csv
p092_emo_amusement_freeform,GTCRN_MWF_25ms_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[15]dB.wav,16000,1.6165175437927246,10.15259838104248,0.8073384761810303,3.1740604639053345,3.927273476130457,4.388092780630277,3.5553632614967343,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[15]dB_CLN-p092_emo_amusement_freeform.csv
p092_emo_amusement_sentences,GTCRN_MWF_25ms_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[15]dB.wav,16000,2.1389870643615723,16.690200805664062,0.887363851070404,3.498409112294515,3.978988784424995,3.5167473008545005,3.276899476138539,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[15]dB_CLN-p092_emo_amusement_sentences.csv
p092_emo_anger_freeform,GTCRN_MWF_25ms_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[15]dB.wav,16000,1.9648195505142207,12.643758773803713,0.9089699387550354,3.2160324369158064,3.617347142748736,3.692697697913992,3.101362700339989,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[15]dB_CLN-p092_emo_anger_freeform.csv
p092_emo_anger_sentences,GTCRN_MWF_25ms_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[15]dB.wav,16000,1.816189765930176,12.308990478515623,0.859045147895813,3.14992128099714,3.661593815326005,2.5957627283184763,2.5930062609025706,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[15]dB_CLN-p092_emo_anger_sentences.csv
p092_emo_confusion_freeform,GTCRN_MWF_25ms_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[15]dB.wav,16000,2.3215994834899902,18.418678283691406,0.785471498966217,3.361768824713571,4.532019306549297,4.223415819470054,3.9713800468376528,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[15]dB_CLN-p092_emo_confusion_freeform.csv
p092_emo_confusion_sentences,GTCRN_MWF_25ms_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB.wav,16000,3.0702059268951416,19.73953056335449,0.613922655582428,3.3382697105407715,3.539482341507268,4.312023901772143,3.259118973270349,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB_CLN-p092_emo_confusion_sentences.csv
p092_emo_contentment_freeform,GTCRN_MWF_25ms_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB.wav,16000,2.5925018787384038,18.891590118408203,0.8760160207748413,3.8981773853302,4.221305107894856,4.159737592147719,3.708155204607945,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB_CLN-p092_emo_contentment_freeform.csv
p092_emo_contentment_sentences,GTCRN_MWF_25ms_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB.wav,16000,2.585699796676636,19.6795654296875,0.8424793481826782,3.699523448944092,3.857677465516823,3.952436192535476,3.319605567460856,GTCRN_MWF_EXP3p2a_25ms_data_ENH-GTCRN_MWF_25ms_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB_CLN-p092_emo_contentment_sentences.csv
