clean_file,enhanced_file,sampling_rate,PESQ,SI_SDR,STOI,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,source_file
p092_emo_contentment_sentences,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR-5dB,16000,1.142668604850769,-4.217111587524414,0.5892188549041748,2.6979761123657227,2.374119036053402,2.833395968280203,1.88240741485912,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR-5dB_CLN-p092_emo_contentment_sentences.csv
p092_emo_amazement_sentences,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR-5dB,16000,1.0603485107421875,-3.9941611289978023,0.5345815420150757,2.3260278701782227,2.8734813607292464,1.5228521966404591,1.6657254310421274,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR-5dB_CLN-p092_emo_amazement_sentences.csv
p092_emo_contentment_freeform,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR-5dB,16000,1.1020046472549438,-2.6826171875,0.6305701732635498,3.0470214230673656,2.1250879597861765,2.036335069800215,1.4176497099324177,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR-5dB_CLN-p092_emo_contentment_freeform.csv
p092_emo_desire_sentences,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR-5dB,16000,1.111823797225952,-1.5065139532089231,0.5323305726051331,2.218878984451294,2.872893054778663,1.8019233822434209,1.7493676129022766,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR-5dB_CLN-p092_emo_desire_sentences.csv
p092_emo_adoration_sentences,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_adoration_sentences_Noise Recordings_Car Noise_Idle Noise_40mph_SNR-5dB,16000,1.0904014110565186,0.7799553871154785,0.6165048480033875,3.1543897560664584,2.608008907622164,2.2893024102308006,1.8422853657272975,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_adoration_sentences_Noise Recordings_Car Noise_Idle Noise_40mph_SNR-5dB_CLN-p092_emo_adoration_sentences.csv
p092_emo_desire_freeform,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR-5dB,16000,1.0470311641693115,-0.0789608061313629,0.5357526540756226,2.564919869105021,2.6850465038875697,1.7673545833536988,1.5568523099547165,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR-5dB_CLN-p092_emo_desire_freeform.csv
p092_emo_cuteness_sentences,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR-5dB,16000,1.0500649213790894,0.4153278470039367,0.5052059292793274,2.60476291179657,3.072129960817173,1.7112150476280568,1.8880522794152723,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR-5dB_CLN-p092_emo_cuteness_sentences.csv
p092_emo_confusion_sentences,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR-5dB,16000,1.126236915588379,-6.020510673522949,0.394129067659378,2.4153802394866943,3.122306299298858,1.808457261020843,1.78650690192856,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR-5dB_CLN-p092_emo_confusion_sentences.csv
p092_emo_disgust_freeform,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_disgust_freeform_Noise Recordings_Water Cooler_SNR-5dB,16000,1.177606225013733,2.7837953567504883,0.6400941014289856,2.7768599646432057,3.970201149874305,2.327524222168779,2.633282199995469,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_disgust_freeform_Noise Recordings_Water Cooler_SNR-5dB_CLN-p092_emo_disgust_freeform.csv
p092_emo_amusement_freeform,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_amusement_freeform_Noise Recordings_Construction_Drilling_SNR-5dB,16000,1.0313490629196167,-2.030146360397339,0.4206717610359192,2.4470852613449097,2.599107375013574,1.522415500367948,1.5082778963401005,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_amusement_freeform_Noise Recordings_Construction_Drilling_SNR-5dB_CLN-p092_emo_amusement_freeform.csv
p092_emo_amazement_freeform,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR-5dB,16000,1.058332443237305,1.2559144496917725,0.6891673803329468,2.908563102994646,3.478986458749977,2.09325110773414,2.220351475006636,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR-5dB_CLN-p092_emo_amazement_freeform.csv
p092_emo_cuteness_freeform,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR-5dB,16000,1.0527371168136597,3.134143352508545,0.6207473278045654,2.5546469688415527,3.86289153876155,2.271498118830036,2.662705160146802,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR-5dB_CLN-p092_emo_cuteness_freeform.csv
p092_emo_confusion_freeform,SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR-5dB,16000,1.0730547904968262,-0.4924011826515198,0.5270407199859619,2.5700673035212924,3.289215009836969,1.9718844713143888,2.120557594043805,mband_linear_N8_F8_O75_FL0p02_metrics.csv_ENH-SS_mband_linear_N8_F8_O75_FL0p02_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR-5dB_CLN-p092_emo_confusion_freeform.csv
