SNR_dB,Parameter,PESQ_Winner,PESQ_Score,STOI_Winner,STOI_Score
-5,Freq_spacing,log,1.131033552036364,linear,0.6030490980962667
-5,Nband,4,1.1295208773985812,16,0.6030859262854965
-5,FRMSZ_ms,20,1.136314868927002,25,0.6051702929867638
-5,OVLP,50,1.133592102753282,50,0.6047423550621472
-5,Floor,0.001,1.141427962868302,0.2,0.6122664588469046
-5,Noisefr,1,1.1287290307556488,1,0.6026295347468843
0,Freq_spacing,log,1.2301324512732863,linear,0.6719687191056617
0,Nband,8,1.2248746730663158,8,0.6707836011800256
0,FRMSZ_ms,20,1.235745590410115,20,0.6730610836189961
0,OVLP,50,1.233388773207802,50,0.6728095039418696
0,Floor,0.001,1.2583855993953752,0.2,0.67829760259071
0,Noisefr,1,1.2236907961273717,1,0.6701567427284597
5,Freq_spacing,log,1.4437224997414484,linear,0.7352194388707479
5,Nband,16,1.4375516578493786,8,0.7346992267012106
5,FRMSZ_ms,20,1.4603310460416379,20,0.7374402758025338
5,OVLP,50,1.4608721654601549,75,0.7353651440192642
5,Floor,0.001,1.5024960845586204,0.2,0.7378471268057333
5,Noisefr,1,1.43617094200825,1,0.7332097130874875
10,Freq_spacing,log,1.7958046688464444,linear,0.7827357075832508
10,Nband,16,1.793542610764994,8,0.781347809014497
10,FRMSZ_ms,20,1.81680815259125,20,0.7825507126717901
10,OVLP,75,1.8300706123618922,75,0.7842485909599336
10,Floor,0.001,1.8579899381708216,0.2,0.7833247491361673
10,Noisefr,1,1.7804153936880607,1,0.7806218264034256
15,Freq_spacing,log,2.20095536247693,linear,0.8154957108046292
15,Nband,16,2.2047911794097335,8,0.8144692758964412
15,FRMSZ_ms,20,2.2388990003876237,8,0.8147148843164798
15,OVLP,75,2.303659552409325,75,0.8193678046450202
15,Floor,0.001,2.255078093995773,0.2,0.8157507296452307
15,Noisefr,1,2.1888449599222883,1,0.8139069479352325
