Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N16_F20_O25_FL0p001,linear,16,20,25,0.001,1,0.5208,0.5562,0.5385,1.572,0.7167,7.1518,2.7808
mband_linear_N16_F20_O25_FL0p02,linear,16,20,25,0.02,1,0.5155,0.5547,0.5351,1.5423,0.7141,6.8598,2.7734
mband_linear_N16_F20_O25_FL0p2,linear,16,20,25,0.2,1,0.5035,0.5854,0.5444,1.4365,0.7239,6.1895,2.9268
mband_linear_N16_F20_O50_FL0p001,linear,16,20,50,0.001,1,0.5404,0.5672,0.5538,1.6886,0.723,8.2622,2.8361
mband_linear_N16_F20_O50_FL0p02,linear,16,20,50,0.02,1,0.5357,0.5593,0.5475,1.6471,0.724,8.2654,2.7965
mband_linear_N16_F20_O50_FL0p2,linear,16,20,50,0.2,1,0.5158,0.5884,0.5521,1.4998,0.7267,7.3507,2.9422
mband_linear_N16_F20_O75_FL0p001,linear,16,20,75,0.001,1,0.5426,0.5149,0.5287,1.6999,0.7205,8.7394,2.5744
mband_linear_N16_F20_O75_FL0p02,linear,16,20,75,0.02,1,0.536,0.5237,0.5299,1.6444,0.7213,8.6975,2.6186
mband_linear_N16_F20_O75_FL0p2,linear,16,20,75,0.2,1,0.5198,0.5582,0.539,1.508,0.73,7.9537,2.791
mband_linear_N16_F25_O25_FL0p001,linear,16,25,25,0.001,1,0.5126,0.5862,0.5494,1.5183,0.7164,6.6284,2.9308
mband_linear_N16_F25_O25_FL0p02,linear,16,25,25,0.02,1,0.5098,0.5946,0.5522,1.5027,0.7152,6.4622,2.9729
mband_linear_N16_F25_O25_FL0p2,linear,16,25,25,0.2,1,0.4953,0.5944,0.5449,1.3874,0.7222,5.6498,2.9721
mband_linear_N16_F25_O50_FL0p001,linear,16,25,50,0.001,1,0.535,0.5762,0.5556,1.6585,0.7194,8.0454,2.8809
mband_linear_N16_F25_O50_FL0p02,linear,16,25,50,0.02,1,0.5329,0.5794,0.5562,1.629,0.7239,8.0812,2.8972
mband_linear_N16_F25_O50_FL0p2,linear,16,25,50,0.2,1,0.5135,0.5925,0.553,1.4849,0.7285,7.0281,2.9626
mband_linear_N16_F25_O75_FL0p001,linear,16,25,75,0.001,1,0.5416,0.5384,0.54,1.6826,0.7236,8.7893,2.6921
mband_linear_N16_F25_O75_FL0p02,linear,16,25,75,0.02,1,0.5425,0.5401,0.5413,1.6759,0.7277,8.9247,2.7003
mband_linear_N16_F25_O75_FL0p2,linear,16,25,75,0.2,1,0.518,0.56,0.539,1.5079,0.7265,7.736,2.7998
mband_linear_N16_F8_O25_FL0p001,linear,16,8,25,0.001,1,0.5124,0.5085,0.5104,1.5165,0.7079,7.4043,2.5425
mband_linear_N16_F8_O25_FL0p02,linear,16,8,25,0.02,1,0.5104,0.502,0.5062,1.4908,0.7105,7.5107,2.5102
mband_linear_N16_F8_O25_FL0p2,linear,16,8,25,0.2,1,0.5039,0.5557,0.5298,1.4252,0.7236,6.7372,2.7783
mband_linear_N16_F8_O50_FL0p001,linear,16,8,50,0.001,1,0.521,0.4896,0.5053,1.5657,0.7119,7.869,2.4478
mband_linear_N16_F8_O50_FL0p02,linear,16,8,50,0.02,1,0.5236,0.5085,0.516,1.5709,0.7165,8.0336,2.5426
mband_linear_N16_F8_O50_FL0p2,linear,16,8,50,0.2,1,0.5116,0.5328,0.5222,1.4747,0.724,7.243,2.6639
mband_linear_N16_F8_O75_FL0p001,linear,16,8,75,0.001,1,0.5207,0.4853,0.503,1.5607,0.7145,7.7211,2.4265
mband_linear_N16_F8_O75_FL0p02,linear,16,8,75,0.02,1,0.519,0.4987,0.5088,1.5522,0.7122,7.7239,2.4934
mband_linear_N16_F8_O75_FL0p2,linear,16,8,75,0.2,1,0.5118,0.5438,0.5278,1.4651,0.7269,7.378,2.7189
mband_linear_N4_F20_O25_FL0p001,linear,4,20,25,0.001,1,0.518,0.5699,0.5439,1.5469,0.7197,6.9359,2.8493
mband_linear_N4_F20_O25_FL0p02,linear,4,20,25,0.02,1,0.5149,0.5753,0.5451,1.5228,0.7208,6.7925,2.8766
mband_linear_N4_F20_O25_FL0p2,linear,4,20,25,0.2,1,0.5031,0.5936,0.5484,1.4271,0.7278,6.0554,2.9679
mband_linear_N4_F20_O50_FL0p001,linear,4,20,50,0.001,1,0.5361,0.548,0.5421,1.643,0.7266,8.2872,2.7402
mband_linear_N4_F20_O50_FL0p02,linear,4,20,50,0.02,1,0.5353,0.5587,0.547,1.652,0.7237,7.9879,2.7934
mband_linear_N4_F20_O50_FL0p2,linear,4,20,50,0.2,1,0.5155,0.5778,0.5467,1.4934,0.7301,7.1858,2.8889
mband_linear_N4_F20_O75_FL0p001,linear,4,20,75,0.001,1,0.5392,0.512,0.5256,1.6601,0.7253,8.7122,2.5601
mband_linear_N4_F20_O75_FL0p02,linear,4,20,75,0.02,1,0.5323,0.5153,0.5238,1.6267,0.7198,8.3469,2.5766
mband_linear_N4_F20_O75_FL0p2,linear,4,20,75,0.2,1,0.5177,0.5589,0.5383,1.494,0.7313,7.7183,2.7947
mband_linear_N4_F25_O25_FL0p001,linear,4,25,25,0.001,1,0.5098,0.5749,0.5424,1.4966,0.7179,6.4575,2.8747
