config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N4_F8_O25_FL0p001,79.51746535301208,hybrid,mel,4,8,25,1,0.001,1,1
mband_mel_N4_F8_O25_FL0p3,57.69541001319885,hybrid,mel,4,8,25,1,0.3,1,1
mband_mel_N4_F8_O25_FL0p5,54.341896772384644,hybrid,mel,4,8,25,1,0.5,1,1
mband_mel_N4_F8_O25_FL0p7,55.56712794303894,hybrid,mel,4,8,25,1,0.7,1,1
mband_mel_N4_F8_O25_FL0p8,56.2187762260437,hybrid,mel,4,8,25,1,0.8,1,1
mband_mel_N4_F8_O25_FL0p001,56.3064239025116,hybrid,mel,4,8,25,3,0.001,1,1
mband_mel_N4_F8_O25_FL0p3,55.99689269065857,hybrid,mel,4,8,25,3,0.3,1,1
mband_mel_N4_F8_O25_FL0p5,55.499664306640625,hybrid,mel,4,8,25,3,0.5,1,1
mband_mel_N4_F8_O25_FL0p7,58.47504734992981,hybrid,mel,4,8,25,3,0.7,1,1
mband_mel_N4_F8_O25_FL0p8,56.518516063690186,hybrid,mel,4,8,25,3,0.8,1,1
mband_mel_N4_F8_O50_FL0p001,66.36278319358826,hybrid,mel,4,8,50,1,0.001,1,1
mband_mel_N4_F8_O50_FL0p3,63.169477701187134,hybrid,mel,4,8,50,1,0.3,1,1
mband_mel_N4_F8_O50_FL0p5,66.81060862541199,hybrid,mel,4,8,50,1,0.5,1,1
mband_mel_N4_F8_O50_FL0p7,66.08059668540955,hybrid,mel,4,8,50,1,0.7,1,1
mband_mel_N4_F8_O50_FL0p8,64.79202055931091,hybrid,mel,4,8,50,1,0.8,1,1
mband_mel_N4_F8_O50_FL0p001,63.87627291679382,hybrid,mel,4,8,50,3,0.001,1,1
mband_mel_N4_F8_O50_FL0p3,65.68453240394592,hybrid,mel,4,8,50,3,0.3,1,1
mband_mel_N4_F8_O50_FL0p5,62.12323260307312,hybrid,mel,4,8,50,3,0.5,1,1
mband_mel_N4_F8_O50_FL0p7,62.8765172958374,hybrid,mel,4,8,50,3,0.7,1,1
mband_mel_N4_F8_O50_FL0p8,63.31395983695984,hybrid,mel,4,8,50,3,0.8,1,1
mband_mel_N4_F8_O75_FL0p001,93.6406524181366,hybrid,mel,4,8,75,1,0.001,1,1
mband_mel_N4_F8_O75_FL0p3,91.16668152809143,hybrid,mel,4,8,75,1,0.3,1,1
mband_mel_N4_F8_O75_FL0p5,90.0393693447113,hybrid,mel,4,8,75,1,0.5,1,1
mband_mel_N4_F8_O75_FL0p7,91.62798237800598,hybrid,mel,4,8,75,1,0.7,1,1
mband_mel_N4_F8_O75_FL0p8,91.25158214569092,hybrid,mel,4,8,75,1,0.8,1,1
mband_mel_N4_F8_O75_FL0p001,90.83888363838196,hybrid,mel,4,8,75,3,0.001,1,1
mband_mel_N4_F8_O75_FL0p3,91.34664583206177,hybrid,mel,4,8,75,3,0.3,1,1
mband_mel_N4_F8_O75_FL0p5,93.92211961746216,hybrid,mel,4,8,75,3,0.5,1,1
mband_mel_N4_F8_O75_FL0p7,90.49532008171082,hybrid,mel,4,8,75,3,0.7,1,1
mband_mel_N4_F8_O75_FL0p8,89.5147852897644,hybrid,mel,4,8,75,3,0.8,1,1
mband_mel_N4_F20_O25_FL0p001,46.72417759895325,hybrid,mel,4,20,25,1,0.001,1,1
mband_mel_N4_F20_O25_FL0p3,50.09165644645691,hybrid,mel,4,20,25,1,0.3,1,1
mband_mel_N4_F20_O25_FL0p5,45.17703676223755,hybrid,mel,4,20,25,1,0.5,1,1
mband_mel_N4_F20_O25_FL0p7,47.37899947166443,hybrid,mel,4,20,25,1,0.7,1,1
mband_mel_N4_F20_O25_FL0p8,47.836631536483765,hybrid,mel,4,20,25,1,0.8,1,1
mband_mel_N4_F20_O25_FL0p001,48.82761216163635,hybrid,mel,4,20,25,3,0.001,1,1
mband_mel_N4_F20_O25_FL0p3,45.796109437942505,hybrid,mel,4,20,25,3,0.3,1,1
mband_mel_N4_F20_O25_FL0p5,47.48605537414551,hybrid,mel,4,20,25,3,0.5,1,1
mband_mel_N4_F20_O25_FL0p7,45.388421058654785,hybrid,mel,4,20,25,3,0.7,1,1
mband_mel_N4_F20_O25_FL0p8,44.722063302993774,hybrid,mel,4,20,25,3,0.8,1,1
mband_mel_N4_F20_O50_FL0p001,49.673638582229614,hybrid,mel,4,20,50,1,0.001,1,1
mband_mel_N4_F20_O50_FL0p3,50.494873046875,hybrid,mel,4,20,50,1,0.3,1,1
mband_mel_N4_F20_O50_FL0p5,51.87191939353943,hybrid,mel,4,20,50,1,0.5,1,1
mband_mel_N4_F20_O50_FL0p7,48.81387257575989,hybrid,mel,4,20,50,1,0.7,1,1
