Parameter,Value,PESQ_mean,PESQ_std,STOI_mean,STOI_std,SI_SDR_mean,SI_SDR_std,DNSMOS_mean,DNSMOS_std,Weighted_mean,Weighted_std,Count
Freq_spacing,mel,1.2736735026041666,0.13021495513807457,0.6133334415047257,0.0767956955100087,3.819644653910288,3.122187811028187,2.2714304279018176,0.5674498802441904,0.4840340710127795,0.050306496378425186,675
Freq_spacing,log,1.2766221911818894,0.13095876851473748,0.6127698348186634,0.07744854917575718,3.830844609327959,3.118240955499584,2.2885390373046692,0.5653382878484916,0.4840471365275206,0.05055180429804674,675
Freq_spacing,linear,1.2733524917673182,0.13013910507811896,0.6133418844364308,0.07670887490503356,3.8214612952040303,3.121305632946637,2.271758226875149,0.5675300500286571,0.4840061913949472,0.05026510893607742,675
Nband,8,1.2727772599679452,0.1307270699532424,0.6128627606232961,0.07535027710440118,3.804179111763283,3.0983547187394107,2.2678535285227475,0.5706058788310335,0.48370910630844255,0.049644909364931676,675
Nband,16,1.2758488195913809,0.129119326910626,0.6143247820271386,0.077141162924804,3.8669029024243353,3.1252684623113516,2.286505077114711,0.5590476495670499,0.4847472729727074,0.05019815069172635,675
Nband,4,1.2750221059940479,0.13146253774793903,0.6122576181093852,0.07841962655530936,3.800868544254659,3.1375511127086626,2.2773690864441773,0.5706043213607489,0.48363101965409744,0.051259744447290756,675
FRMSZ_ms,20,1.277157361595719,0.1309625261216152,0.615223698174512,0.07744350813951519,3.8522817766224895,3.111697305240843,2.33019918805671,0.5651782439597576,0.48532758524682784,0.05059736077349973,675
FRMSZ_ms,25,1.2705702748122039,0.1214645651020849,0.6120281866744712,0.07553140650898779,3.6145667919185427,3.067469050020078,2.3503477206782764,0.5713424980991542,0.4830711208184561,0.04873097160600058,675
FRMSZ_ms,8,1.2759205491454513,0.13827310296436393,0.6121932759108367,0.07791886475487135,4.005101989901245,3.16930641176369,2.1511807833466494,0.542175387677607,0.48368869286996347,0.05172317021474156,675
OVLP,75,1.2833383710296065,0.13889207351079888,0.6148949670791626,0.07682312374089535,4.087472123624067,3.221251155575073,2.150486305243323,0.5428830171453717,0.485781320642542,0.051209437445382935,675
OVLP,25,1.2619631760208696,0.11851702903021975,0.6118649834615213,0.07597820527157613,3.5535285960082654,2.9545781646444635,2.376566209012198,0.564479286435592,0.4821288093328477,0.04872623510573193,675
OVLP,50,1.278346638502898,0.13214039047239207,0.612685210219136,0.07810841126007372,3.830949838809945,3.156783366962319,2.3046751778261143,0.5690391431356074,0.4841772689598578,0.05108272502178629,675
Floor,0.7,1.279485978314906,0.13095501029110101,0.6155308639561688,0.07537218521103564,3.7768523202818116,3.12292302522494,2.293315536291558,0.5644583147737069,0.485714029809575,0.04962350677258576,405
Floor,0.3,1.2765873273213704,0.132944154215821,0.6138432379122134,0.07773695084227727,3.869504785740081,3.1424366273220015,2.2706563542075533,0.5639651149064793,0.4845803516882437,0.051054986455346736,405
Floor,0.5,1.2759538797684657,0.13294514060915363,0.6148194029743289,0.07789476727681478,3.8708887693949365,3.0926525418093367,2.282224204426684,0.5542531317170182,0.485005089464011,0.05091518252060876,405
Floor,0.8,1.2832479120772562,0.12911987674286912,0.6178032183352812,0.07510927152278095,3.837415446345637,3.128503150008508,2.292271707310039,0.5583353899929409,0.48722640037536624,0.04936575024777808,405
Floor,0.001,1.2574718784402918,0.12488840632118338,0.6037452114217076,0.07817213335878796,3.7652562756413297,3.1222822671879884,2.247745017900225,0.5924872875804378,0.4776197935548829,0.050463930837675156,405
Noisefr,1,1.274549395184458,0.13038198066468715,0.61314838691994,0.0769475014216549,3.823983519480759,3.119040285888691,2.277242564027212,0.5665499089238277,0.48402913297841577,0.05034973686814759,2025
