Parameter,Value,PESQ_mean,PESQ_std,STOI_mean,STOI_std,SI_SDR_mean,SI_SDR_std,DNSMOS_mean,DNSMOS_std,Weighted_mean,Weighted_std,Count
Freq_spacing,mel,1.463770351409912,0.22316625597045317,0.6994804999563429,0.05642393072399719,7.907285672646982,2.060040884034476,2.943440760417198,0.5341309047262143,0.5461172851191626,0.049137159668443196,675
Freq_spacing,log,1.4642167165544298,0.225946870062103,0.697924807159989,0.056615668639310605,7.830279958866261,2.087311870647699,2.948633909571874,0.5446342909852748,0.5453840752354374,0.04962261665027899,675
Freq_spacing,linear,1.4637959688681144,0.22310147792258744,0.6994283936641834,0.05638294085466635,7.908820604041771,2.0594001010149374,2.9438475474469517,0.5338496205746422,0.5460937937189032,0.04911593167731033,675
Nband,8,1.4609603369677508,0.22713832040746404,0.6981674680886445,0.0563222811726167,7.879639527709396,2.0742727818091318,2.938055203376126,0.5255368120353863,0.5451797677410973,0.049564804461578585,675
Nband,16,1.4626808210655495,0.2222365613481054,0.6999443824202926,0.05556408694342096,7.854574793356436,2.064205058382182,2.948043483777271,0.5521960335105416,0.5462402733167012,0.04869540576957221,675
Nband,4,1.4681418787991558,0.22275658105635576,0.6987218502715782,0.05751843851089225,7.912171914489181,2.0689579727955087,2.9498235302826266,0.5345507104513025,0.5461751130157046,0.049608135524434514,675
FRMSZ_ms,20,1.46847457991706,0.22057953507776268,0.7002337941416987,0.05602842885294444,7.783393268231992,2.0504214990390586,2.997238360242679,0.5233989160211427,0.5469643550625555,0.04876536202697825,675
FRMSZ_ms,25,1.4528925491262366,0.21711750618384898,0.6966448075683028,0.057632555565960204,7.546970600198816,2.012089937444616,3.028126193250022,0.5392175194299331,0.5436116586967751,0.0491390403837675,675
FRMSZ_ms,8,1.4704159077891596,0.23377210926350758,0.6999550990705137,0.05568584333585349,8.316022367124205,2.06936454763107,2.8105576639433227,0.5239065879914284,0.5470191403141729,0.049892402141391214,675
OVLP,75,1.4878957902060614,0.24074488365074417,0.7005558073962176,0.05683457381571045,8.366470637144866,2.115690539869209,2.7963550908202572,0.5036566180321782,0.549067482718715,0.05121903430723465,675
OVLP,25,1.4291948687588727,0.19386438748328857,0.6970885072814094,0.0556629940244671,7.278689847522312,1.8648094680711693,3.0447353817235356,0.5498287562871134,0.541463740516592,0.04600288770876833,675
OVLP,50,1.474692377867522,0.2306263864177765,0.6991893861028883,0.056876583282771044,8.001225750887835,2.068411910225615,2.9948317448922315,0.5257149495692975,0.5470639308381964,0.05018786136067391,675
Floor,0.7,1.4746410363986169,0.22623513839755455,0.7010346942477756,0.056352722586402004,7.9350455549028185,2.0544293314511295,2.952532550702856,0.5346158595527563,0.5479814507637495,0.04942091698709313,405
Floor,0.3,1.462261806299657,0.22322379163247105,0.6992085823306331,0.056447014211793795,7.883824745225318,2.079053491225525,2.950073343849824,0.5480187748459722,0.5458304717952822,0.04912846571657102,405
Floor,0.5,1.4700295748534027,0.2266372983658561,0.6993706305821736,0.05608333072761051,7.868194955072285,2.095733770745228,2.952305007734501,0.5381581814516864,0.5466882727764271,0.049253760391421174,405
Floor,0.8,1.476370166260519,0.2229890432016987,0.7025247385472427,0.05558389873565591,7.985531055780105,2.0539947955224607,2.9488900569973158,0.5158314263698528,0.5488993858996732,0.0488771391523989,405
Floor,0.001,1.4363358109085649,0.21937295440920498,0.6925841889263671,0.05753498142437282,7.7380474149444956,2.0596614405752125,2.9227360697755427,0.5512155482775503,0.53992567555404,0.0494027906760454,405
Noisefr,1,1.463927678944152,0.22396481698005435,0.6989445669268385,0.05645097380940779,7.882128745185004,2.0682612816109582,2.945307405812008,0.537301219991866,0.5458650513578344,0.049269273511196164,2025
