SNR_dB,Parameter,PESQ_Winner,PESQ_Score,STOI_Winner,STOI_Score
-5,Freq_spacing,log,1.2766221911818894,linear,0.6133418844364308
-5,Nband,16,1.2758488195913809,16,0.6143247820271386
-5,FRMSZ_ms,20,1.277157361595719,20,0.615223698174512
-5,OVLP,75,1.2833383710296065,75,0.6148949670791626
-5,Floor,0.8,1.2832479120772562,0.8,0.6178032183352812
-5,Noisefr,1,1.274549395184458,1,0.61314838691994
0,Freq_spacing,log,1.4642167165544298,mel,0.6994804999563429
0,Nband,4,1.4681418787991558,16,0.6999443824202926
0,FRMSZ_ms,8,1.4704159077891596,20,0.7002337941416987
0,OVLP,75,1.4878957902060614,75,0.7005558073962176
0,Floor,0.8,1.476370166260519,0.8,0.7025247385472427
0,Noisefr,1,1.463927678944152,1,0.6989445669268385
5,Freq_spacing,log,1.747769754551075,mel,0.7608589390472129
5,Nband,4,1.7447540790063363,16,0.7615093095214278
5,FRMSZ_ms,8,1.759257549179925,8,0.7619445448451572
5,OVLP,75,1.803610649285493,75,0.7636425617889122
5,Floor,0.7,1.7644555539260676,0.7,0.763860575210901
5,Noisefr,1,1.7435636463871709,1,0.760732191639182
10,Freq_spacing,log,2.0644860076904297,log,0.8013920844042742
10,Nband,8,2.0653786108228895,8,0.8013941902584499
10,FRMSZ_ms,8,2.084194881827743,20,0.8016943359375
10,OVLP,75,2.1795695370214956,75,0.8063043560805144
10,Floor,0.8,2.0878403495859215,0.8,0.8042160803889051
10,Noisefr,1,2.063500336187857,1,0.8009675233746752
15,Freq_spacing,log,2.4077176023412634,mel,0.8290911211790862
15,Nband,8,2.405774700729935,16,0.8291533014509413
15,FRMSZ_ms,20,2.4325401277895327,20,0.830075139204661
15,OVLP,75,2.5964908108887848,75,0.8371883207780344
15,Floor,0.5,2.4215795940823024,0.8,0.8314487938527708
15,Noisefr,1,2.403404954745446,1,0.8289544542041826
