SNR_dB,Parameter,Best_Value,Score
-5,Freq_spacing,log,0.4431284287518522
-5,Nband,16,0.4436223026338551
-5,FRMSZ_ms,20,0.4440002654325815
-5,OVLP,75,0.44542733505938176
-5,Floor,0.8,0.4454554331043405
-5,Noisefr,1,0.44297038856305276
0,Freq_spacing,mel,0.505187544398249
0,Nband,4,0.5055008202523361
0,FRMSZ_ms,8,0.5074898465462673
0,OVLP,75,0.5099358058340755
0,Floor,0.8,0.5078736117013688
0,Noisefr,1,0.5049617873686332
5,Freq_spacing,log,0.5681549677619228
5,Nband,16,0.568059209784755
5,FRMSZ_ms,8,0.5721728654514124
5,OVLP,75,0.5787223771265996
5,Floor,0.7,0.5716579643600762
5,Noisefr,1,0.5677533655358931
10,Freq_spacing,log,0.626764517515677
10,Nband,8,0.6270824422883399
10,FRMSZ_ms,8,0.6327485651899266
10,OVLP,75,0.6471319225864646
10,Floor,0.8,0.6317328678364617
10,Noisefr,1,0.6267428346739874
15,Freq_spacing,log,0.6827545168146675
15,Nband,8,0.6829572788244412
15,FRMSZ_ms,8,0.6888599179332638
15,OVLP,75,0.7156642842439958
15,Floor,0.8,0.6872626802411099
15,Noisefr,1,0.6826485251012653
