SNR_dB,Parameter,Best_Value,Score
-5,Freq_spacing,log,1.2766221911818894
-5,Nband,16,1.2758488195913809
-5,FRMSZ_ms,20,1.277157361595719
-5,OVLP,75,1.2833383710296065
-5,Floor,0.8,1.2832479120772562
-5,Noisefr,1,1.274549395184458
0,Freq_spacing,log,1.4642167165544298
0,Nband,4,1.4681418787991558
0,FRMSZ_ms,8,1.4704159077891596
0,OVLP,75,1.4878957902060614
0,Floor,0.8,1.476370166260519
0,Noisefr,1,1.463927678944152
5,Freq_spacing,log,1.747769754551075
5,Nband,4,1.7447540790063363
5,FRMSZ_ms,8,1.759257549179925
5,OVLP,75,1.803610649285493
5,Floor,0.7,1.7644555539260676
5,Noisefr,1,1.7435636463871709
10,Freq_spacing,log,2.0644860076904297
10,Nband,8,2.0653786108228895
10,FRMSZ_ms,8,2.084194881827743
10,OVLP,75,2.1795695370214956
10,Floor,0.8,2.0878403495859215
10,Noisefr,1,2.063500336187857
15,Freq_spacing,log,2.4077176023412634
15,Nband,8,2.405774700729935
15,FRMSZ_ms,20,2.4325401277895327
15,OVLP,75,2.5964908108887848
15,Floor,0.5,2.4215795940823024
15,Noisefr,1,2.403404954745446
