Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SI_SDR,PESQ,STOI,DNSMOS_mos_ovr
mband_linear_N16_F20_O25_FL0p001,linear,16,20,25,0.001,1,8.5928,1.6418,0.7308,3.4956
mband_linear_N16_F20_O25_FL0p3,linear,16,20,25,0.3,1,8.786,1.6713,0.7404,3.4547
mband_linear_N16_F20_O25_FL0p5,linear,16,20,25,0.5,1,8.9788,1.6861,0.741,3.5301
mband_linear_N16_F20_O25_FL0p7,linear,16,20,25,0.7,1,8.9387,1.6937,0.7389,3.4399
mband_linear_N16_F20_O25_FL0p8,linear,16,20,25,0.8,1,9.0739,1.709,0.7387,3.4719
mband_linear_N16_F20_O50_FL0p001,linear,16,20,50,0.001,1,10.2464,1.7852,0.7394,3.3753
mband_linear_N16_F20_O50_FL0p3,linear,16,20,50,0.3,1,10.6115,1.8347,0.7428,3.4247
mband_linear_N16_F20_O50_FL0p5,linear,16,20,50,0.5,1,10.6194,1.8371,0.746,3.345
mband_linear_N16_F20_O50_FL0p7,linear,16,20,50,0.7,1,10.6911,1.856,0.7466,3.3652
mband_linear_N16_F20_O50_FL0p8,linear,16,20,50,0.8,1,10.5495,1.853,0.7426,3.3713
mband_linear_N16_F20_O75_FL0p001,linear,16,20,75,0.001,1,10.9654,1.84,0.7393,3.1294
mband_linear_N16_F20_O75_FL0p3,linear,16,20,75,0.3,1,11.3608,1.8896,0.7403,3.2108
mband_linear_N16_F20_O75_FL0p5,linear,16,20,75,0.5,1,11.4163,1.885,0.7463,3.2225
mband_linear_N16_F20_O75_FL0p7,linear,16,20,75,0.7,1,11.5609,1.8756,0.7497,3.1762
mband_linear_N16_F20_O75_FL0p8,linear,16,20,75,0.8,1,11.8322,1.8793,0.7452,3.2421
mband_linear_N16_F25_O25_FL0p001,linear,16,25,25,0.001,1,7.8048,1.5923,0.7249,3.4855
mband_linear_N16_F25_O25_FL0p3,linear,16,25,25,0.3,1,8.231,1.6383,0.7314,3.5113
mband_linear_N16_F25_O25_FL0p5,linear,16,25,25,0.5,1,8.2422,1.6341,0.7316,3.5185
mband_linear_N16_F25_O25_FL0p7,linear,16,25,25,0.7,1,8.2899,1.6468,0.7325,3.4414
mband_linear_N16_F25_O25_FL0p8,linear,16,25,25,0.8,1,8.3559,1.6429,0.7334,3.4267
mband_linear_N16_F25_O50_FL0p001,linear,16,25,50,0.001,1,9.6432,1.766,0.7394,3.373
mband_linear_N16_F25_O50_FL0p3,linear,16,25,50,0.3,1,10.1043,1.8052,0.7413,3.4296
mband_linear_N16_F25_O50_FL0p5,linear,16,25,50,0.5,1,10.1477,1.8144,0.7403,3.4607
mband_linear_N16_F25_O50_FL0p7,linear,16,25,50,0.7,1,10.2606,1.8156,0.7439,3.3978
mband_linear_N16_F25_O50_FL0p8,linear,16,25,50,0.8,1,10.4739,1.8162,0.7521,3.4768
mband_linear_N16_F25_O75_FL0p001,linear,16,25,75,0.001,1,10.6481,1.8284,0.7354,3.2075
mband_linear_N16_F25_O75_FL0p3,linear,16,25,75,0.3,1,11.1278,1.8641,0.7464,3.2262
mband_linear_N16_F25_O75_FL0p5,linear,16,25,75,0.5,1,11.3888,1.8609,0.7463,3.2485
mband_linear_N16_F25_O75_FL0p7,linear,16,25,75,0.7,1,11.7815,1.8966,0.7487,3.344
mband_linear_N16_F25_O75_FL0p8,linear,16,25,75,0.8,1,11.5608,1.8795,0.7505,3.285
