SNR_dB,Parameter,Best_Value,Score
-5,Freq_spacing,log,0.45770780746093387
-5,Nband,16,0.4573010154229422
-5,FRMSZ_ms,25,0.47006954413565527
-5,OVLP,25,0.47531324180243956
-5,Floor,0.7,0.45866310725831166
-5,Noisefr,1,0.45544851280544235
0,Freq_spacing,log,0.5897267819143748
0,Nband,4,0.5899647060565253
0,FRMSZ_ms,25,0.6056252386500044
0,OVLP,25,0.608947076344707
0,Floor,0.7,0.5905065101405711
0,Noisefr,1,0.5890614811624015
5,Freq_spacing,log,0.7035873431269981
5,Nband,8,0.7048031852713124
5,FRMSZ_ms,25,0.7196666837022714
5,OVLP,25,0.7163527268238078
5,Floor,0.3,0.7082464491448818
5,Noisefr,1,0.7032641408637967
10,Freq_spacing,mel,0.7649812507726522
10,Nband,16,0.7649804949371798
10,FRMSZ_ms,25,0.7808993854084011
10,OVLP,25,0.7734516845448042
10,Floor,0.5,0.7671972382544372
10,Noisefr,1,0.764525979748464
15,Freq_spacing,log,0.7970165895157324
15,Nband,4,0.7940727899244076
15,FRMSZ_ms,25,0.8108151916274097
15,OVLP,50,0.8043184766108853
15,Floor,0.001,0.797992630297507
15,Noisefr,1,0.7934262443380782
