SNR_dB,Noise_Type,Metric,Best_Config,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,GTCRN_Value,Best_Value,Improvement_%,PESQ,STOI,SI_SDR,DNSMOS
-5,Construction_Trucks_Unloading,PESQ,mband_linear_N4_F8_O75_FL0p3,linear,4,8,75,0.3,1,1.1749839782714844,1.4504244327545166,23.44206045160138,1.4504244327545166,0.5989384055137634,2.89333724975586,2.3949548806554155
-5,Construction_Trucks_Unloading,STOI,mband_log_N16_F25_O25_FL0p8,log,16,25,25,0.8,1,0.5203683972358704,0.6561328768730164,26.090070103855144,1.2434120178222656,0.6561328768730164,3.930129051208496,2.0531504938303207
-5,Construction_Trucks_Unloading,SI_SDR,mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,1.725311279296875,5.742725372314453,232.85155213584505,1.2585647106170654,0.6554193496704102,5.742725372314453,2.3630199842267605
-5,Construction_Trucks_Unloading,DNSMOS_mos_ovr,mband_linear_N4_F20_O25_FL0p3,linear,4,20,25,0.3,1,2.331890889576503,3.1315512044390097,34.29235554875098,1.2832865715026855,0.6235708594322205,4.872629165649414,3.1315512044390097
-5,Inside Train_1,PESQ,mband_linear_N4_F20_O75_FL0p3,linear,4,20,75,0.3,1,1.2238317728042605,1.3906577825546265,13.631449473492966,1.3906577825546265,0.6114577054977417,4.804612636566162,1.676542116990792
-5,Inside Train_1,STOI,mband_log_N4_F25_O25_FL0p5,log,4,25,25,0.5,1,0.6741400957107544,0.6777431964874268,0.5344735908155068,1.2361178398132324,0.6777431964874268,4.351715087890625,2.0647692858782296
-5,Inside Train_1,SI_SDR,mband_log_N8_F8_O75_FL0p8,log,8,8,75,0.8,1,3.967399835586548,5.439210414886475,37.09761154139715,1.2173645496368408,0.6320803761482239,5.439210414886475,2.265082315834141
-5,Inside Train_1,DNSMOS_mos_ovr,mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,2.852545397622245,2.648122057033317,-7.166348369401103,1.1751219034194946,0.6236797571182251,3.3862826824188232,2.648122057033317
-5,cafeteria_babble,PESQ,mband_log_N8_F20_O50_FL0p7,log,8,20,50,0.7,1,1.1163796186447144,1.417224407196045,26.948251609659117,1.417224407196045,0.4781458675861358,-1.9184691905975344,1.986307723568582
-5,cafeteria_babble,STOI,mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,0.5,1,0.5726821422576904,0.5899370312690735,3.012995820571415,1.1429991722106934,0.5899370312690735,-1.566762924194336,1.6535280449532603
-5,cafeteria_babble,SI_SDR,mband_mel_N4_F25_O50_FL0p7,mel,4,25,50,0.7,1,-1.0086028575897217,-2.4867966175079346,146.55855362641762,1.1490875482559204,0.5354993939399719,-2.4867966175079346,1.5867512371540684
-5,cafeteria_babble,DNSMOS_mos_ovr,mband_linear_N16_F20_O25_FL0p8,linear,16,20,25,0.8,1,2.715708374977112,2.358707720996165,-13.145765475792508,1.1572309732437134,0.499222069978714,-1.082788586616516,2.358707720996165
