Config_ID,Mode,Status,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SNR_dB,Noise_Category,clean_file,enhanced_file,PESQ,STOI,SI_SDR,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,sampling_rate,source_file
mband_linear_N16_F20_O25_FL0p5,hybrid,Success,linear,16,20,25,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O25_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.453312873840332,0.746573269367218,8.055240631103516,3.310460329055786,3.990185730302065,4.3019510194810735,3.5784030901275554,16000,mband_linear_N16_F20_O25_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O25_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F20_O25_FL0p7,hybrid,Success,linear,16,20,25,0.7,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O25_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.502274751663208,0.7475486397743225,8.29283332824707,3.290647029876709,3.783435852037468,3.8793839742644782,3.267949135904584,16000,mband_linear_N16_F20_O25_FL0p7_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O25_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F20_O25_FL0p8,hybrid,Success,linear,16,20,25,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O25_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.426572561264038,0.7528972029685974,8.321420669555664,3.192760944366455,3.6007193064658565,3.476719099412714,2.918001506038677,16000,mband_linear_N16_F20_O25_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O25_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F20_O50_FL0p5,hybrid,Success,linear,16,20,50,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O50_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.512751221656799,0.7379723787307739,8.416213035583496,3.467937469482422,3.837516779147276,4.098556017416639,3.359141229420724,16000,mband_linear_N16_F20_O50_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O50_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F20_O50_FL0p7,hybrid,Success,linear,16,20,50,0.7,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O50_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.550886631011963,0.7416054010391235,9.30848503112793,3.297724485397339,4.013611229077055,3.950678290728333,3.4802858373581764,16000,mband_linear_N16_F20_O50_FL0p7_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O50_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F20_O50_FL0p8,hybrid,Success,linear,16,20,50,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O50_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.495556354522705,0.751615047454834,9.263425827026367,3.373501777648926,3.4705230512325245,3.8770736571486784,3.038938759145557,16000,mband_linear_N16_F20_O50_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O50_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F20_O75_FL0p5,hybrid,Success,linear,16,20,75,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O75_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.5420092344284058,0.7353724241256714,9.693699836730955,3.640215396881104,3.3965022439261348,3.949673377851601,2.9810624745467966,16000,mband_linear_N16_F20_O75_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O75_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F20_O75_FL0p7,hybrid,Success,linear,16,20,75,0.7,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O75_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.533436298370361,0.7546882033348083,9.158543586730955,3.29329800605774,3.316019542104228,3.798889312387974,2.8996094784751847,16000,mband_linear_N16_F20_O75_FL0p7_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O75_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F20_O75_FL0p8,hybrid,Success,linear,16,20,75,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F20_O75_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4658944606781006,0.7396941781044006,9.44089126586914,3.1906800270080566,3.005791181939307,3.3498677157306203,2.4931067907296947,16000,mband_linear_N16_F20_O75_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F20_O75_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F25_O25_FL0p5,hybrid,Success,linear,16,25,25,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F25_O25_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4973944425582886,0.7417897582054138,7.48568058013916,3.2490456104278564,3.764020412947839,3.454407563065881,3.0874535990914342,16000,mband_linear_N16_F25_O25_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F25_O25_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F25_O25_FL0p7,hybrid,Success,linear,16,25,25,0.7,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F25_O25_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.396115779876709,0.7410228252410889,7.488644599914551,3.309279680252075,3.9951876431557496,4.040928865478032,3.5115274142706205,16000,mband_linear_N16_F25_O25_FL0p7_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F25_O25_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F25_O25_FL0p8,hybrid,Success,linear,16,25,25,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F25_O25_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.357652187347412,0.7369954586029053,7.185478687286377,3.2695016860961914,3.837937834817083,3.998624403957584,3.368305924315025,16000,mband_linear_N16_F25_O25_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F25_O25_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F25_O50_FL0p5,hybrid,Success,linear,16,25,50,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F25_O50_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.5077319145202637,0.735950767993927,8.79786491394043,3.434579372406006,3.838819762221494,3.934442538377115,3.333092882562525,16000,mband_linear_N16_F25_O50_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F25_O50_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F25_O50_FL0p7,hybrid,Success,linear,16,25,50,0.7,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F25_O50_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4828040599822998,0.7350907921791077,9.057814598083496,3.3902523517608643,3.635040667088153,3.7846291854355023,3.132224124451332,16000,mband_linear_N16_F25_O50_FL0p7_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F25_O50_FL0p7_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F25_O50_FL0p8,hybrid,Success,linear,16,25,50,0.8,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F25_O50_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.4703117609024048,0.7479113936424255,8.770429611206055,3.3890187740325928,3.84421269387538,3.982129163607959,3.3729400152262885,16000,mband_linear_N16_F25_O50_FL0p8_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F25_O50_FL0p8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
mband_linear_N16_F25_O75_FL0p5,hybrid,Success,linear,16,25,75,0.5,1,0,Car,p092_emo_contentment_sentences,GTCRN+SS_mband_linear_N16_F25_O75_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB,1.474834680557251,0.7369462847709656,9.131216049194336,3.246539831161499,3.381147147988457,3.8591190074576462,2.981228529856401,16000,mband_linear_N16_F25_O75_FL0p5_metrics.csv_ENH-GTCRN+SS_mband_linear_N16_F25_O75_FL0p5_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR0dB_CLN-p092_emo_contentment_sentences.csv
