clean_file,enhanced_file,sampling_rate,PESQ,SI_SDR,STOI,DNSMOS_p808_mos,DNSMOS_mos_sig,DNSMOS_mos_bak,DNSMOS_mos_ovr,source_file
p092_emo_adoration_freeform,TD_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[10]dB.wav,16000,1.2574880123138428,10.00657558441162,0.8185598254203796,2.9504956007003784,4.281956949477535,2.554987566413945,2.871608366603747,TD_EXP3p1a_data_ENH-TD_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[10]dB_CLN-p092_emo_adoration_freeform.csv
p092_emo_adoration_sentences,TD_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[10]dB.wav,16000,1.363513469696045,10.001263618469238,0.7820776700973511,3.5838582515716557,3.751353505013396,2.9889287373121234,2.810382121384466,TD_EXP3p1a_data_ENH-TD_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[10]dB_CLN-p092_emo_adoration_sentences.csv
p092_emo_amazement_freeform,TD_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[10]dB.wav,16000,1.2392902374267578,9.897032737731934,0.8265364170074463,3.0398197855268205,4.047622895431685,2.1823110611716503,2.6409142249656057,TD_EXP3p1a_data_ENH-TD_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[10]dB_CLN-p092_emo_amazement_freeform.csv
p092_emo_amazement_sentences,TD_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[10]dB.wav,16000,1.3685829639434814,10.004281997680664,0.7819168567657471,3.239098310470581,4.002524589843963,2.675633051213972,2.816563130508848,TD_EXP3p1a_data_ENH-TD_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[10]dB_CLN-p092_emo_amazement_sentences.csv
p092_emo_amusement_freeform,TD_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[10]dB.wav,16000,1.14170503616333,9.046778678894045,0.777126133441925,2.5920780897140503,4.137511668911962,1.7226759711944852,2.288986261803302,TD_EXP3p1a_data_ENH-TD_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[10]dB_CLN-p092_emo_amusement_freeform.csv
p092_emo_amusement_sentences,TD_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[10]dB.wav,16000,1.188562035560608,9.819900512695312,0.8223103284835815,2.918914238611857,4.1606712215986255,2.0583047454697314,2.585964538892501,TD_EXP3p1a_data_ENH-TD_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[10]dB_CLN-p092_emo_amusement_sentences.csv
p092_emo_anger_freeform,TD_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[10]dB.wav,16000,1.265928030014038,8.521881103515625,0.858574628829956,2.656208549227033,4.140259352215653,1.5953517286255323,2.1678921814726557,TD_EXP3p1a_data_ENH-TD_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[10]dB_CLN-p092_emo_anger_freeform.csv
p092_emo_anger_sentences,TD_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[10]dB.wav,16000,1.239048719406128,5.051095962524414,0.7613775134086609,2.764897516795567,3.868634188178422,1.743431506084026,2.161289096995771,TD_EXP3p1a_data_ENH-TD_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[10]dB_CLN-p092_emo_anger_sentences.csv
p092_emo_confusion_freeform,TD_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[10]dB.wav,16000,1.264873743057251,9.867304801940918,0.7232492566108704,2.666773932320731,4.428262610934515,2.163278398360356,2.7370287967556863,TD_EXP3p1a_data_ENH-TD_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[10]dB_CLN-p092_emo_confusion_freeform.csv
p092_emo_confusion_sentences,TD_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[10]dB.wav,16000,1.5673205852508545,9.995161056518556,0.5337998270988464,2.866204738616944,4.012649442617212,2.6831309123308387,2.808585730196092,TD_EXP3p1a_data_ENH-TD_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[10]dB_CLN-p092_emo_confusion_sentences.csv
