Metric,SNR_dB,Noisy,specsub,ss_rdc,mband_lin_avr0,mband_log_avr0,mband_mel_avr0
PESQ,-5,1.0658,1.083,1.0712,1.1081,1.1097,1.1064
PESQ,0,1.0937,1.1444,1.1203,1.1844,1.2147,1.1834
PESQ,5,1.1733,1.2715,1.2163,1.3519,1.3896,1.3532
PESQ,10,1.3446,1.5087,1.4324,1.6302,1.6788,1.6101
PESQ,15,1.6468,1.8521,1.7564,2.0098,2.0459,1.9785
SI_SDR,-5,-4.9899,-1.7911,-3.4778,-0.946,-0.0751,-0.7418
SI_SDR,0,-0.0263,2.9735,2.0513,4.2643,4.5475,3.9957
SI_SDR,5,4.9955,7.635,6.8147,8.6082,8.5247,8.4379
SI_SDR,10,9.9991,12.0617,11.001,12.6141,12.6063,12.0428
SI_SDR,15,14.9989,15.947,14.6751,16.0545,15.8209,15.4862
STOI,-5,0.5866,0.4809,0.5486,0.5774,0.5805,0.5748
STOI,0,0.6549,0.5772,0.6258,0.651,0.6515,0.6477
STOI,5,0.7153,0.678,0.6979,0.7198,0.7148,0.7201
STOI,10,0.774,0.751,0.7605,0.7768,0.7757,0.7759
STOI,15,0.8137,0.7998,0.8075,0.8207,0.816,0.8187
DNSMOS_p808_mos,-5,2.4363,2.311,2.4785,2.5796,2.6377,2.5481
DNSMOS_p808_mos,0,2.5694,2.3687,2.5699,2.6896,2.6829,2.6204
DNSMOS_p808_mos,5,2.7331,2.4702,2.6688,2.722,2.7558,2.7243
DNSMOS_p808_mos,10,2.9111,2.6743,2.7891,2.8856,2.8971,2.8542
DNSMOS_p808_mos,15,3.0481,2.9181,2.9788,3.034,3.0408,3.0204
DNSMOS_mos_sig,-5,3.5517,1.4917,2.8912,3.1559,3.2259,3.0306
DNSMOS_mos_sig,0,3.8877,1.9922,3.1763,3.0563,3.1358,3.1264
DNSMOS_mos_sig,5,3.9827,2.2979,3.3017,3.1003,3.2106,3.2987
DNSMOS_mos_sig,10,4.0784,2.8452,3.5066,3.4408,3.4997,3.5216
DNSMOS_mos_sig,15,4.0454,3.3772,3.7756,3.8289,3.7112,3.7436
DNSMOS_mos_bak,-5,1.6733,2.4644,1.9787,1.8431,1.9406,1.8218
DNSMOS_mos_bak,0,1.903,2.4548,2.1202,2.035,2.0594,2.0459
DNSMOS_mos_bak,5,2.1026,2.5155,2.4074,2.1893,2.2587,2.1608
DNSMOS_mos_bak,10,2.3277,2.5738,2.5478,2.4088,2.4641,2.3366
DNSMOS_mos_bak,15,2.518,2.655,2.9342,2.6905,2.6275,2.6215
DNSMOS_mos_ovr,-5,1.9706,1.3682,1.8768,1.889,2.0119,1.8397
DNSMOS_mos_ovr,0,2.2631,1.5602,2.0459,1.9418,1.9952,1.9877
DNSMOS_mos_ovr,5,2.4361,1.7586,2.2833,2.0662,2.1506,2.1722
DNSMOS_mos_ovr,10,2.6382,2.0847,2.4394,2.3799,2.4321,2.3742
DNSMOS_mos_ovr,15,2.7482,2.4515,2.8178,2.7694,2.6562,2.6701
