Metric,SNR_dB,Noisy,specsub,ss_rdc,mband_lin_avr1,mband_log_avr1,mband_mel_avr1
PESQ,-5,1.0658,1.083,1.0712,1.1162,1.1059,1.1123
PESQ,0,1.0937,1.1444,1.1203,1.2139,1.2207,1.2195
PESQ,5,1.1733,1.2715,1.2163,1.4013,1.4143,1.4013
PESQ,10,1.3446,1.5087,1.4324,1.642,1.6909,1.659
PESQ,15,1.6468,1.8521,1.7564,2.0225,2.0299,1.9835
SI_SDR,-5,-4.9899,-1.7911,-3.4778,-0.5988,-0.2501,-0.3566
SI_SDR,0,-0.0263,2.9735,2.0513,4.4193,4.5448,4.2041
SI_SDR,5,4.9955,7.635,6.8147,8.3258,8.134,8.0847
SI_SDR,10,9.9991,12.0617,11.001,11.5108,11.3432,11.3988
SI_SDR,15,14.9989,15.947,14.6751,13.6753,13.5566,13.3345
STOI,-5,0.5866,0.4809,0.5486,0.5877,0.5933,0.5878
STOI,0,0.6549,0.5772,0.6258,0.6617,0.6597,0.6593
STOI,5,0.7153,0.678,0.6979,0.7239,0.719,0.7215
STOI,10,0.774,0.751,0.7605,0.778,0.7746,0.7765
STOI,15,0.8137,0.7998,0.8075,0.815,0.8111,0.8147
DNSMOS_p808_mos,-5,2.4363,2.311,2.4785,2.548,2.5539,2.5604
DNSMOS_p808_mos,0,2.5694,2.3687,2.5699,2.6875,2.6909,2.6722
DNSMOS_p808_mos,5,2.7331,2.4702,2.6688,2.7795,2.8141,2.826
DNSMOS_p808_mos,10,2.9111,2.6743,2.7891,2.9114,2.9619,2.9001
DNSMOS_p808_mos,15,3.0481,2.9181,2.9788,3.0678,3.0761,3.072
DNSMOS_mos_sig,-5,3.5517,1.4917,2.8912,3.6856,3.7636,3.6746
DNSMOS_mos_sig,0,3.8877,1.9922,3.1763,3.5832,3.7385,3.7527
DNSMOS_mos_sig,5,3.9827,2.2979,3.3017,3.7546,3.7846,3.8696
DNSMOS_mos_sig,10,4.0784,2.8452,3.5066,3.8729,3.8935,3.8634
DNSMOS_mos_sig,15,4.0454,3.3772,3.7756,3.9658,3.98,4.0196
DNSMOS_mos_bak,-5,1.6733,2.4644,1.9787,2.0799,2.1171,2.0734
DNSMOS_mos_bak,0,1.903,2.4548,2.1202,2.1954,2.2541,2.2078
DNSMOS_mos_bak,5,2.1026,2.5155,2.4074,2.4143,2.435,2.4241
DNSMOS_mos_bak,10,2.3277,2.5738,2.5478,2.5688,2.6391,2.567
DNSMOS_mos_bak,15,2.518,2.655,2.9342,2.8934,2.9363,2.8951
DNSMOS_mos_ovr,-5,1.9706,1.3682,1.8768,2.3191,2.3783,2.2969
DNSMOS_mos_ovr,0,2.2631,1.5602,2.0459,2.3075,2.4276,2.4021
DNSMOS_mos_ovr,5,2.4361,1.7586,2.2833,2.5193,2.5393,2.6053
DNSMOS_mos_ovr,10,2.6382,2.0847,2.4394,2.6781,2.7389,2.671
DNSMOS_mos_ovr,15,2.7482,2.4515,2.8178,2.9388,2.9583,2.9668
