Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,Noisefr,VAD,Floor,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
1,linear,4,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn0_B4_Flinear_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS4_SPACINGLINEAR_FRAME20ms.wav': System error.
2,linear,8,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn0_B8_Flinear_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS8_SPACINGLINEAR_FRAME20ms.wav': System error.
3,log,4,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn0_B4_Flog_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS4_SPACINGLOG_FRAME20ms.wav': System error.
4,log,8,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn0_B8_Flog_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS8_SPACINGLOG_FRAME20ms.wav': System error.
5,mel,4,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn0_B4_Fmel_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS4_SPACINGMEL_FRAME20ms.wav': System error.
6,mel,8,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn0_B8_Fmel_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS8_SPACINGMEL_FRAME20ms.wav': System error.
1,linear,4,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn5_B4_Flinear_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS4_SPACINGLINEAR_FRAME20ms.wav': System error.
2,linear,8,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn5_B8_Flinear_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS8_SPACINGLINEAR_FRAME20ms.wav': System error.
3,log,4,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn5_B4_Flog_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS4_SPACINGLOG_FRAME20ms.wav': System error.
4,log,8,20,50,1,1,1,0.002,,,,,,,Error: Error opening 'c:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\sound_data\\processed\\spectral_processed_outputs\\PARAM_SWEEP\\python_non-causal_sp21_station_sn5_B8_Flog_C:\\Users\\gabi\\Documents\\University\\Uni2025\\Investigation\\PROJECT-25P85\\Random\\Matlab2025Files\\SS\\validation_dataset\\clean_speech\\S_56_02.wav_BANDS8_SPACINGLOG_FRAME20ms.wav': System error.
