Metric,SNR_dB,Noisy,mband_py_lin_avr1,mband_py_lin_conservative_wts_avr1,mband_py_lin_stream_avr1
PESQ,-5,1.0658,1.1117,1.1097,
PESQ,0,1.0937,1.2307,1.2194,
PESQ,5,1.1733,1.421,1.3971,
PESQ,10,1.3446,1.7032,1.6808,
PESQ,15,1.6468,2.0849,2.0674,
SI_SDR,-5,-4.9899,0.0649,-0.0214,
SI_SDR,0,-0.0263,4.8064,4.6032,
SI_SDR,5,4.9955,8.4561,8.2453,
SI_SDR,10,9.9991,11.7408,11.5293,
SI_SDR,15,14.9989,14.0088,13.8195,
STOI,-5,0.5866,0.5968,0.5845,
STOI,0,0.6549,0.6648,0.6551,
STOI,5,0.7153,0.7238,0.7158,
STOI,10,0.774,0.78,0.774,
STOI,15,0.8137,0.815,0.8098,
DNSMOS_p808_mos,-5,2.4363,2.5739,2.6103,
DNSMOS_p808_mos,0,2.5694,2.6779,2.6642,
DNSMOS_p808_mos,5,2.7331,2.7922,2.782,
DNSMOS_p808_mos,10,2.9111,2.9342,2.9432,
DNSMOS_p808_mos,15,3.0481,3.0487,3.0986,
DNSMOS_mos_sig,-5,3.5517,3.7379,3.3115,
DNSMOS_mos_sig,0,3.8877,3.6902,3.427,
DNSMOS_mos_sig,5,3.9827,3.7077,3.5293,
DNSMOS_mos_sig,10,4.0784,3.9085,3.7995,
DNSMOS_mos_sig,15,4.0454,3.9832,3.9781,
DNSMOS_mos_bak,-5,1.6733,2.2017,2.0316,
DNSMOS_mos_bak,0,1.903,2.355,2.2454,
DNSMOS_mos_bak,5,2.1026,2.5025,2.4321,
DNSMOS_mos_bak,10,2.3277,2.7236,2.646,
DNSMOS_mos_bak,15,2.518,3.0236,2.9477,
DNSMOS_mos_ovr,-5,1.9706,2.3967,2.0922,
DNSMOS_mos_ovr,0,2.2631,2.434,2.2483,
DNSMOS_mos_ovr,5,2.4361,2.5347,2.4163,
DNSMOS_mos_ovr,10,2.6382,2.7638,2.6772,
DNSMOS_mos_ovr,15,2.7482,2.9809,2.9595,
