Metric,SNR_dB,Noisy,mband_py_lin_stream_avr1_wts_cons_wts_xmgasm,mband_py_log_stream_avr1_wts_cons_wts_xmgasm,mband_py_mel_stream_avr1_wts_cons_wts_xmgasm,mband_py_lin_stream_avr0_wts_cons_wts_xmgasm,mband_py_log_stream_avr0_wts_cons_wts_xmgasm,mband_py_mel_stream_avr0_wts_cons_wts_xmgasm
PESQ,-5,1.0658,1.1097,1.113,1.1162,1.1024,1.1134,1.1077
PESQ,0,1.0937,1.2194,1.2259,1.2092,1.1925,1.2128,1.1902
PESQ,5,1.1733,1.3971,1.4236,1.4143,1.3441,1.4082,1.3706
PESQ,10,1.3446,1.6808,1.7,1.7045,1.6283,1.6858,1.639
PESQ,15,1.6468,2.0674,2.1245,2.0612,2.0302,2.0803,2.0489
SI_SDR,-5,-4.9899,-0.0214,-0.7115,-0.418,-0.8509,-0.6056,-0.9882
SI_SDR,0,-0.0263,4.6032,4.4252,4.2216,3.8968,4.4565,3.9766
SI_SDR,5,4.9955,8.2453,8.3121,8.1963,8.6288,8.8271,8.5245
SI_SDR,10,9.9991,11.5293,11.1461,11.4104,12.5744,12.656,12.402
SI_SDR,15,14.9989,13.8195,13.5173,13.5383,16.3049,15.8372,16.0156
STOI,-5,0.5866,0.5845,0.5812,0.5818,0.5687,0.5738,0.5723
STOI,0,0.6549,0.6551,0.6521,0.6484,0.6532,0.6468,0.6497
STOI,5,0.7153,0.7158,0.7162,0.7171,0.7204,0.7176,0.7218
STOI,10,0.774,0.774,0.7668,0.7711,0.7756,0.7746,0.7758
STOI,15,0.8137,0.8098,0.8084,0.8124,0.8171,0.8194,0.8195
DNSMOS_p808_mos,-5,2.4363,2.6103,2.5895,2.6066,2.6085,2.5585,2.5808
DNSMOS_p808_mos,0,2.5694,2.6642,2.7168,2.6984,2.661,2.6337,2.6368
DNSMOS_p808_mos,5,2.7331,2.782,2.7936,2.7659,2.7413,2.7533,2.7347
DNSMOS_p808_mos,10,2.9111,2.9432,2.9521,2.928,2.862,2.889,2.866
DNSMOS_p808_mos,15,3.0481,3.0986,3.0817,3.1243,3.0804,3.0306,3.0771
DNSMOS_mos_sig,-5,3.5517,3.3115,3.4477,3.2448,2.9568,3.0029,2.9188
DNSMOS_mos_sig,0,3.8877,3.427,3.4806,3.4283,3.0327,2.8915,2.9212
DNSMOS_mos_sig,5,3.9827,3.5293,3.5795,3.5175,3.1735,3.2196,3.1544
DNSMOS_mos_sig,10,4.0784,3.7995,3.8085,3.7598,3.437,3.4458,3.5468
DNSMOS_mos_sig,15,4.0454,3.9781,3.9959,3.9623,3.8361,3.7382,3.6917
DNSMOS_mos_bak,-5,1.6733,2.0316,2.0792,2.023,1.9145,2.019,1.943
DNSMOS_mos_bak,0,1.903,2.2454,2.2801,2.2294,2.0832,2.1366,2.1146
DNSMOS_mos_bak,5,2.1026,2.4321,2.4509,2.3226,2.3314,2.3931,2.2326
DNSMOS_mos_bak,10,2.3277,2.646,2.6862,2.66,2.5097,2.5336,2.5478
DNSMOS_mos_bak,15,2.518,2.9477,3.1269,2.9774,2.8729,2.7883,2.8133
DNSMOS_mos_ovr,-5,1.9706,2.0922,2.1917,2.074,1.8422,1.9253,1.8627
DNSMOS_mos_ovr,0,2.2631,2.2483,2.2972,2.2442,1.9574,1.9317,1.9311
DNSMOS_mos_ovr,5,2.4361,2.4163,2.4686,2.3353,2.1958,2.2266,2.103
DNSMOS_mos_ovr,10,2.6382,2.6772,2.695,2.6741,2.4015,2.4329,2.4884
DNSMOS_mos_ovr,15,2.7482,2.9595,3.0503,2.9712,2.8353,2.7308,2.7252
