Metric,SNR_dB,Noisy,mband_py_log_avr0_8,mband_py_log_avr1,mband_py_log_stream_avr1_og_wts_xmgasm,mband_py_log_stream_avr0_og_wts_xmgasm
PESQ,-5,1.0658,1.1134,1.111,1.1133,1.1134
PESQ,0,1.0937,1.2128,1.2276,1.2264,1.2128
PESQ,5,1.1733,1.4082,1.4379,1.4222,1.4082
PESQ,10,1.3446,1.6858,1.7423,1.6994,1.6858
PESQ,15,1.6468,2.0803,2.1362,2.1434,2.0803
SI_SDR,-5,-4.9899,-0.6056,-0.7242,-0.6698,-0.6056
SI_SDR,0,-0.0263,4.4565,4.4491,4.5402,4.4565
SI_SDR,5,4.9955,8.8271,8.4766,8.5312,8.8271
SI_SDR,10,9.9991,12.656,11.2924,11.5428,12.656
SI_SDR,15,14.9989,15.8372,13.6192,14.2345,15.8372
STOI,-5,0.5866,0.5738,0.5903,0.5812,0.5738
STOI,0,0.6549,0.6468,0.6598,0.6533,0.6468
STOI,5,0.7153,0.7176,0.7243,0.7182,0.7176
STOI,10,0.774,0.7746,0.7725,0.7699,0.7746
STOI,15,0.8137,0.8194,0.8125,0.812,0.8194
DNSMOS_p808_mos,-5,2.4363,2.5585,2.5863,2.5884,2.5585
DNSMOS_p808_mos,0,2.5694,2.6337,2.7083,2.7337,2.6337
DNSMOS_p808_mos,5,2.7331,2.7533,2.8057,2.7952,2.7533
DNSMOS_p808_mos,10,2.9111,2.889,2.9424,2.9442,2.889
DNSMOS_p808_mos,15,3.0481,3.0306,3.0382,3.0977,3.0306
DNSMOS_mos_sig,-5,3.5517,3.0029,3.7267,3.3565,3.0029
DNSMOS_mos_sig,0,3.8877,2.8915,3.762,3.3968,2.8915
DNSMOS_mos_sig,5,3.9827,3.2196,3.6878,3.5391,3.2196
DNSMOS_mos_sig,10,4.0784,3.4458,3.8408,3.7885,3.4458
DNSMOS_mos_sig,15,4.0454,3.7382,3.9912,3.9684,3.7382
DNSMOS_mos_bak,-5,1.6733,2.019,2.2131,2.0543,2.019
DNSMOS_mos_bak,0,1.903,2.1366,2.3912,2.2748,2.1366
DNSMOS_mos_bak,5,2.1026,2.3931,2.5283,2.4421,2.3931
DNSMOS_mos_bak,10,2.3277,2.5336,2.7483,2.651,2.5336
DNSMOS_mos_bak,15,2.518,2.7883,3.0619,3.1013,2.7883
DNSMOS_mos_ovr,-5,1.9706,1.9253,2.4022,2.1328,1.9253
DNSMOS_mos_ovr,0,2.2631,1.9317,2.5097,2.246,1.9317
DNSMOS_mos_ovr,5,2.4361,2.2266,2.5373,2.4376,2.2266
DNSMOS_mos_ovr,10,2.6382,2.4329,2.7283,2.6677,2.4329
DNSMOS_mos_ovr,15,2.7482,2.7308,3.0043,3.0194,2.7308
