Metric,SNR_dB,Noisy,mband_py_lin_avr1_future_frames,mband_py_lin_stream_avr1_og_wts_xmgasm,mband_py_lin_stream_avr0_og_wts_xmgasm,mband_py_lin_full_stream_og_wts_avr1,mband_py_lin_circular_stream_avr0
PESQ,-5,1.0658,1.1117,1.1109,1.1024,1.1177,1.0996
PESQ,0,1.0937,1.2307,1.2175,1.1925,1.1996,1.1808
PESQ,5,1.1733,1.421,1.3922,1.3441,1.4025,1.36
PESQ,10,1.3446,1.7032,1.6816,1.6283,1.6926,1.6172
PESQ,15,1.6468,2.0849,2.0761,2.0302,2.0588,2.0057
SI_SDR,-5,-4.9899,0.0649,0.015,-0.8509,-0.514,-1.3342
SI_SDR,0,-0.0263,4.8064,4.662,3.8968,4.1934,3.8532
SI_SDR,5,4.9955,8.4561,8.3557,8.6288,8.5754,8.537
SI_SDR,10,9.9991,11.7408,11.9808,12.5744,12.1589,12.6153
SI_SDR,15,14.9989,14.0088,14.5702,16.3049,14.5305,16.0117
STOI,-5,0.5866,0.5968,0.5839,0.5687,0.5842,0.5745
STOI,0,0.6549,0.6648,0.6557,0.6532,0.6523,0.6505
STOI,5,0.7153,0.7238,0.7174,0.7204,0.7191,0.7136
STOI,10,0.774,0.78,0.7769,0.7756,0.7733,0.773
STOI,15,0.8137,0.815,0.8133,0.8171,0.8115,0.8143
DNSMOS_p808_mos,-5,2.4363,2.5739,2.6149,2.6085,2.6155,2.6027
DNSMOS_p808_mos,0,2.5694,2.6779,2.6739,2.661,2.6935,2.6656
DNSMOS_p808_mos,5,2.7331,2.7922,2.7656,2.7413,2.8472,2.7485
DNSMOS_p808_mos,10,2.9111,2.9342,2.9329,2.862,2.9557,2.8668
DNSMOS_p808_mos,15,3.0481,3.0487,3.1132,3.0804,3.1364,3.0341
DNSMOS_mos_sig,-5,3.5517,3.7379,3.2476,2.9568,3.1442,2.7397
DNSMOS_mos_sig,0,3.8877,3.6902,3.283,3.0327,3.2003,2.8935
DNSMOS_mos_sig,5,3.9827,3.7077,3.4356,3.1735,3.483,3.0458
DNSMOS_mos_sig,10,4.0784,3.9085,3.7778,3.437,3.721,3.398
DNSMOS_mos_sig,15,4.0454,3.9832,3.9385,3.8361,3.964,3.7045
DNSMOS_mos_bak,-5,1.6733,2.2017,2.0364,1.9145,2.0233,1.9197
DNSMOS_mos_bak,0,1.903,2.355,2.2221,2.0832,2.2317,2.1675
DNSMOS_mos_bak,5,2.1026,2.5025,2.3956,2.3314,2.4789,2.4351
DNSMOS_mos_bak,10,2.3277,2.7236,2.6216,2.5097,2.6906,2.6509
DNSMOS_mos_bak,15,2.518,3.0236,2.9488,2.8729,2.9038,2.7735
DNSMOS_mos_ovr,-5,1.9706,2.3967,2.0586,1.8422,2.0125,1.7398
DNSMOS_mos_ovr,0,2.2631,2.434,2.1593,1.9574,2.1263,1.9492
DNSMOS_mos_ovr,5,2.4361,2.5347,2.3499,2.1958,2.4091,2.1748
DNSMOS_mos_ovr,10,2.6382,2.7638,2.6571,2.4015,2.6519,2.4547
DNSMOS_mos_ovr,15,2.7482,2.9809,2.9377,2.8353,2.9086,2.712
