Metric,SNR_dB,Noisy,GTCRN,GTCRN_WF,mband_py_log_avr1_future_frames,mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,mband_py_lin_optimized_N8_20ms_ov50_fl0p001_noisefr1
PESQ,-5,1.0751,1.2394,1.2287,1.1203,1.1105,1.1046
PESQ,0,1.1086,1.4197,1.4001,1.2461,1.2025,1.1784
PESQ,5,1.2038,1.7413,1.6411,1.4849,1.4429,1.4027
PESQ,10,1.3882,2.0438,1.9339,1.7869,1.7386,1.6746
PESQ,15,1.7284,2.3784,2.3504,2.2015,2.2274,2.1394
SI_SDR,-5,-5.0132,3.8175,4.5274,-1.1507,-0.2785,-0.8207
SI_SDR,0,-0.0328,7.5701,7.4534,4.4069,3.8209,3.3888
SI_SDR,5,4.9972,11.472,10.9067,8.6194,7.9825,7.9823
SI_SDR,10,9.9995,14.5717,13.3063,11.2301,11.5877,11.7637
SI_SDR,15,14.9983,18.4455,15.7518,13.3745,14.3316,14.7958
STOI,-5,0.5692,0.5839,0.5765,0.5721,0.5648,0.5679
STOI,0,0.6387,0.6607,0.6532,0.6444,0.6376,0.6383
STOI,5,0.6961,0.7258,0.7155,0.7048,0.6936,0.6959
STOI,10,0.7539,0.7754,0.7664,0.7538,0.7515,0.7539
STOI,15,0.7911,0.8091,0.7991,0.7913,0.7893,0.7897
DNSMOS_p808_mos,-5,2.4054,2.7985,2.8177,2.536,2.4654,2.5479
DNSMOS_p808_mos,0,2.5219,2.9849,3.0853,2.6756,2.5692,2.6384
DNSMOS_p808_mos,5,2.6909,3.2097,3.2361,2.7976,2.5918,2.6803
DNSMOS_p808_mos,10,2.8637,3.3136,3.3723,2.9239,2.793,2.8688
DNSMOS_p808_mos,15,2.9952,3.4446,3.4843,3.0055,3.0581,3.0893
DNSMOS_mos_sig,-5,3.5547,2.2821,2.5533,3.7068,3.5075,3.5165
DNSMOS_mos_sig,0,3.8728,2.9035,3.1264,3.8661,3.4459,3.5705
DNSMOS_mos_sig,5,4.061,3.5316,3.5953,3.9359,3.656,3.7437
DNSMOS_mos_sig,10,4.0771,3.8657,3.8993,3.9342,3.8082,3.858
DNSMOS_mos_sig,15,4.0568,4.0531,4.0363,4.0769,3.9808,3.9566
DNSMOS_mos_bak,-5,1.6786,3.2563,3.3858,2.1668,2.0348,1.9293
DNSMOS_mos_bak,0,1.9375,3.4157,3.5266,2.408,2.2116,2.145
DNSMOS_mos_bak,5,2.2032,3.5685,3.7801,2.6482,2.4032,2.388
DNSMOS_mos_bak,10,2.365,3.7111,3.8778,2.8419,2.5696,2.5413
DNSMOS_mos_bak,15,2.625,3.8715,4.0532,3.2127,3.0381,2.9007
DNSMOS_mos_ovr,-5,1.9776,1.99,2.2149,2.3609,2.2227,2.1586
DNSMOS_mos_ovr,0,2.3044,2.4802,2.6475,2.5854,2.2596,2.2881
DNSMOS_mos_ovr,5,2.5446,2.9533,3.1056,2.7444,2.4768,2.5183
DNSMOS_mos_ovr,10,2.6548,3.2509,3.3664,2.843,2.6753,2.6941
DNSMOS_mos_ovr,15,2.8061,3.4574,3.5393,3.12,2.988,2.8992
