Metric,SNR_dB,Noisy,GTCRN,GTCRN_WF,mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4
PESQ,-5,1.0658,1.2372,1.2072,1.2425
PESQ,0,1.0937,1.4445,1.3827,1.4566
PESQ,5,1.1733,1.6587,1.6035,1.6762
PESQ,10,1.3446,1.9819,1.898,2.001
PESQ,15,1.6468,2.3292,2.2476,2.3568
SI_SDR,-5,-4.9899,4.1551,4.0671,4.1359
SI_SDR,0,-0.0263,7.6075,7.2992,7.506
SI_SDR,5,4.9955,11.1759,10.6039,10.9753
SI_SDR,10,9.9991,14.6065,13.3957,14.2071
SI_SDR,15,14.9989,17.6965,15.4331,16.8564
STOI,-5,0.5866,0.6053,0.5834,0.6043
STOI,0,0.6549,0.6772,0.6631,0.6763
STOI,5,0.7153,0.7471,0.7352,0.7461
STOI,10,0.774,0.7944,0.7856,0.7933
STOI,15,0.8137,0.8305,0.8221,0.8292
DNSMOS_p808_mos,-5,2.4363,2.818,2.9009,2.8518
DNSMOS_p808_mos,0,2.5694,3.0576,3.1293,3.0755
DNSMOS_p808_mos,5,2.7331,3.2209,3.2742,3.2354
DNSMOS_p808_mos,10,2.9111,3.3772,3.3996,3.3887
DNSMOS_p808_mos,15,3.0481,3.4748,3.5,3.4813
DNSMOS_mos_sig,-5,3.5517,2.3993,2.5324,2.5197
DNSMOS_mos_sig,0,3.8877,3.039,3.0788,3.1502
DNSMOS_mos_sig,5,3.9827,3.4324,3.4678,3.5122
DNSMOS_mos_sig,10,4.0784,3.8664,3.8584,3.9228
DNSMOS_mos_sig,15,4.0454,4.0371,4.0491,4.096
DNSMOS_mos_bak,-5,1.6733,3.3151,3.3415,3.335
DNSMOS_mos_bak,0,1.903,3.4424,3.5126,3.4889
DNSMOS_mos_bak,5,2.1026,3.5915,3.6751,3.6115
DNSMOS_mos_bak,10,2.3277,3.756,3.8814,3.8567
DNSMOS_mos_bak,15,2.518,3.8859,4.0104,3.9815
DNSMOS_mos_ovr,-5,1.9706,2.0878,2.1821,2.1674
DNSMOS_mos_ovr,0,2.2631,2.5763,2.6207,2.6666
DNSMOS_mos_ovr,5,2.4361,2.9105,2.9766,2.9665
DNSMOS_mos_ovr,10,2.6382,3.2896,3.34,3.3775
DNSMOS_mos_ovr,15,2.7482,3.4715,3.5415,3.557
