Metric,SNR_dB,Noisy,GTCRN,GTCRN_SS_old,mband_py_log_avr1_future_frames,mband_py_log_hybrid_20ms_ov75_fl0p7_nf1_N4
PESQ,-5,1.0751,1.2394,1.2706,1.1203,1.2677
PESQ,0,1.1086,1.4197,1.485,1.2461,1.4854
PESQ,5,1.2038,1.7413,1.7425,1.4849,1.7286
PESQ,10,1.3882,2.0438,2.0739,1.7869,2.0576
PESQ,15,1.7284,2.3784,2.4954,2.2015,2.4816
SI_SDR,-5,-5.0132,3.8175,4.6096,-1.1507,4.6404
SI_SDR,0,-0.0328,7.5701,7.6497,4.4069,7.685
SI_SDR,5,4.9972,11.472,11.2791,8.6194,11.3856
SI_SDR,10,9.9995,14.5717,14.0301,11.2301,14.2745
SI_SDR,15,14.9983,18.4455,17.5328,13.3745,17.5632
STOI,-5,0.5692,0.5839,0.593,0.5721,0.5938
STOI,0,0.6387,0.6607,0.6633,0.6444,0.664
STOI,5,0.6961,0.7258,0.7249,0.7048,0.7269
STOI,10,0.7539,0.7754,0.7726,0.7538,0.7741
STOI,15,0.7911,0.8091,0.805,0.7913,0.8075
DNSMOS_p808_mos,-5,2.4054,2.7985,2.7943,2.536,2.8202
DNSMOS_p808_mos,0,2.5219,2.9849,3.0176,2.6756,3.0466
DNSMOS_p808_mos,5,2.6909,3.2097,3.2079,2.7976,3.2113
DNSMOS_p808_mos,10,2.8637,3.3136,3.3111,2.9239,3.3502
DNSMOS_p808_mos,15,2.9952,3.4446,3.4332,3.0055,3.4638
DNSMOS_mos_sig,-5,3.5547,2.2821,2.5285,3.7068,2.6035
DNSMOS_mos_sig,0,3.8728,2.9035,3.1765,3.8661,3.2422
DNSMOS_mos_sig,5,4.061,3.5316,3.5967,3.9359,3.6471
DNSMOS_mos_sig,10,4.0771,3.8657,3.9089,3.9342,3.9693
DNSMOS_mos_sig,15,4.0568,4.0531,4.077,4.0769,4.0846
DNSMOS_mos_bak,-5,1.6786,3.2563,3.3921,2.1668,3.3683
DNSMOS_mos_bak,0,1.9375,3.4157,3.472,2.408,3.5438
DNSMOS_mos_bak,5,2.2032,3.5685,3.7765,2.6482,3.6983
DNSMOS_mos_bak,10,2.365,3.7111,3.7448,2.8419,3.8169
DNSMOS_mos_bak,15,2.625,3.8715,3.9319,3.2127,3.943
DNSMOS_mos_ovr,-5,1.9776,1.99,2.2055,2.3609,2.2433
DNSMOS_mos_ovr,0,2.3044,2.4802,2.6687,2.5854,2.7395
DNSMOS_mos_ovr,5,2.5446,2.9533,3.0958,2.7444,3.093
DNSMOS_mos_ovr,10,2.6548,3.2509,3.3134,2.843,3.3975
DNSMOS_mos_ovr,15,2.8061,3.4574,3.5152,3.12,3.5185
