clean_file,enhanced_file,sampling_rate,PESQ_Noisy,SI_SDR_Noisy,STOI_Noisy,DNSMOS_p808_mos_Noisy,DNSMOS_mos_sig_Noisy,DNSMOS_mos_bak_Noisy,DNSMOS_mos_ovr_Noisy,source_file,enhanced_file_GTCRN,sampling_rate_GTCRN,PESQ_GTCRN,SI_SDR_GTCRN,STOI_GTCRN,DNSMOS_p808_mos_GTCRN,DNSMOS_mos_sig_GTCRN,DNSMOS_mos_bak_GTCRN,DNSMOS_mos_ovr_GTCRN,source_file_GTCRN,enhanced_file_GTCRN_WF,sampling_rate_GTCRN_WF,PESQ_GTCRN_WF,SI_SDR_GTCRN_WF,STOI_GTCRN_WF,DNSMOS_p808_mos_GTCRN_WF,DNSMOS_mos_sig_GTCRN_WF,DNSMOS_mos_bak_GTCRN_WF,DNSMOS_mos_ovr_GTCRN_WF,source_file_GTCRN_WF,enhanced_file_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,sampling_rate_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,PESQ_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,SI_SDR_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,STOI_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,DNSMOS_p808_mos_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,DNSMOS_mos_sig_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,DNSMOS_mos_bak_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,DNSMOS_mos_ovr_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,source_file_mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,noise_category
p092_emo_confusion_freeform,BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.1362409591674805,5.014190196990967,0.6730671525001526,2.3884407792772566,4.057254154326409,1.7925783631554346,2.395434734256064,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,GTCRN_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB,16000,1.918831825256348,12.423123359680176,0.722101628780365,3.144176278795515,4.160976406091892,3.961885950331853,3.5608026272797155,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,GTCRNWF_25ms_quality_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB.wav,16000,1.5128357410430908,10.510014533996582,0.6825366616249084,2.9272997038705006,3.792488147820361,3.4794412040656284,3.080417145838097,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,GTCRN+SS_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.5846185684204102,10.913657188415527,0.6917251944541931,2.9338036945887973,4.074898585457735,3.661026944430297,3.3672537655969115,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,Construction
p092_emo_confusion_sentences,BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.3481749296188354,4.986920356750488,0.5006161332130432,2.8088293075561523,3.965553456510679,2.47846623532828,2.6571909384516785,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,GTCRN_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[5]dB,16000,2.019969701766968,13.902554512023926,0.533235490322113,3.0219593048095703,3.3597650945269817,3.975876494567076,2.9831660608404333,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,GTCRNWF_25ms_quality_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB.wav,16000,2.305363655090332,12.90056324005127,0.5844666361808777,3.1022987365722656,3.883523620240848,4.675868800670354,3.688220479552854,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,GTCRN+SS_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,2.2281737327575684,13.537193298339844,0.5841381549835205,3.0658717155456543,3.837318455110064,4.4413148553293365,3.5443764725430897,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,Flight
p092_emo_contentment_freeform,BASELINE_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[5]dB,16000,1.144642353057861,4.993890285491943,0.7538378834724426,2.917049748556954,3.951794630141464,2.3571005951877666,2.633090251017413,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[5]dB_CLN-p092_emo_contentment_freeform.csv,GTCRN_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[5]dB,16000,1.8132033348083496,10.741534233093262,0.8190769553184509,3.659267391477312,3.524043091800117,2.893484429077702,2.6063749773026705,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[5]dB_CLN-p092_emo_contentment_freeform.csv,GTCRNWF_25ms_quality_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[5]dB.wav,16000,1.6807310581207275,10.41486644744873,0.8020304441452026,3.6585077217647006,4.034656239230997,3.936753244353355,3.481564974448761,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[5]dB_CLN-p092_emo_contentment_freeform.csv,GTCRN+SS_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[5]dB,16000,1.844115972518921,11.64450740814209,0.813191294670105,3.663928883416312,4.188377425824559,3.9276483239650366,3.5551936141930622,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[5]dB_CLN-p092_emo_contentment_freeform.csv,Train
p092_emo_contentment_sentences,BASELINE_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[5]dB,16000,1.2281261682510376,4.944716453552246,0.7432219386100769,2.87857985496521,3.6920945206636895,2.241140155166131,2.360782563172789,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,GTCRN_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[5]dB,16000,1.595847249031067,11.694997787475586,0.7729394435882568,3.52134108543396,3.325536515402776,3.5312859510095773,2.808040724880809,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,GTCRNWF_25ms_quality_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[5]dB.wav,16000,1.7645087242126465,11.24234676361084,0.7606556415557861,3.449369668960572,3.438494029845484,3.723335744323229,2.94129141521889,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,GTCRN+SS_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[5]dB,16000,1.835138797760009,12.093143463134766,0.7867605686187744,3.523175001144409,3.533981810173759,4.111799254475879,3.1255028343518063,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,Train
p092_emo_cuteness_freeform,BASELINE_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[5]dB,16000,1.1110844612121582,5.008038520812988,0.6462132930755615,2.6366936683654787,4.193130961490691,2.101252993051141,2.4852800088022136,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,GTCRN_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[5]dB,16000,1.7926936149597168,12.955244064331056,0.6679540872573853,2.6561138153076174,3.4539725007520814,3.924388896183145,3.003022828332848,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,GTCRNWF_25ms_quality_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[5]dB.wav,16000,1.22496235370636,4.355180263519287,0.552022397518158,2.6531885147094725,2.7103664798223708,3.0906601525907345,2.213762808988774,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,GTCRN+SS_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[5]dB,16000,1.226164698600769,4.3599348068237305,0.5627264380455017,2.7126321315765383,2.7530645395823767,3.0386160871637955,2.2474988928961017,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,Train
p092_emo_cuteness_sentences,BASELINE_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[5]dB,16000,1.1085968017578125,5.000204563140869,0.7359492182731628,2.659536838531494,4.170729586244379,2.418429816895064,2.810385284406732,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,GTCRN_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB,16000,1.479744791984558,8.340773582458496,0.638659656047821,2.740087151527405,3.3972160075856834,3.6728111458129495,2.9342536580738003,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,GTCRNWF_25ms_quality_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[5]dB.wav,16000,1.9562749862670896,16.37990951538086,0.7168972492218018,2.748479962348938,4.150589701163462,3.911405269799505,3.565687155470882,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,GTCRN+SS_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[5]dB,16000,2.024797439575196,16.086835861206055,0.7289101481437683,2.7098456621170044,4.046689157662091,3.5883496125677308,3.350703892329021,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,Stationary
p092_emo_desire_freeform,BASELINE_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[5]dB,16000,1.089728593826294,5.002087593078613,0.702524721622467,2.5243990421295166,3.914153375592317,2.0925459594136924,2.4183726965319354,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[5]dB_CLN-p092_emo_desire_freeform.csv,GTCRN_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[5]dB,16000,1.5471835136413574,10.374232292175291,0.7372520565986633,2.938867251078288,2.267402393691297,3.220027127256021,1.895816180631448,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[5]dB_CLN-p092_emo_desire_freeform.csv,GTCRNWF_25ms_quality_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[5]dB.wav,16000,1.422844648361206,10.260087013244627,0.7280363440513611,3.1426901817321777,2.8540625929442154,3.763137110888986,2.525506993974701,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[5]dB_CLN-p092_emo_desire_freeform.csv,GTCRN+SS_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[5]dB,16000,1.5035912990570068,10.417933464050291,0.7365311980247498,3.129955848058065,3.0775563764584,3.691382727827198,2.618959226198175,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[5]dB_CLN-p092_emo_desire_freeform.csv,Stationary
p092_emo_desire_sentences,BASELINE_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[5]dB,16000,1.2084531784057615,4.996852874755859,0.6806891560554504,2.6312081813812256,3.811826219224997,2.48911054911319,2.5077782842719087,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,GTCRN_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB,16000,1.6268560886383057,12.505764961242676,0.7363725900650024,3.4079657395680747,3.610594359401312,3.590835701026384,2.976581411700729,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,GTCRNWF_25ms_quality_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[5]dB.wav,16000,1.529472589492798,10.30057144165039,0.7142618894577026,3.445315678914388,3.2421874532023893,3.785313845800352,2.843149273026272,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,GTCRN+SS_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[5]dB,16000,1.7070562839508057,11.654474258422852,0.7339439988136292,3.427842934926351,3.3952577310433614,3.462581695145683,2.7982229846896995,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,Street
p092_emo_disappointment_freeform,BASELINE_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[5]dB,16000,1.2262486219406128,5.009315490722656,0.7373664975166321,2.562143564224243,4.172790446837565,2.0656821754377512,2.4758848009649195,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv,GTCRN_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[5]dB,16000,1.5048953294754028,9.27743148803711,0.7682998180389404,3.3254342760358537,3.4788625725137536,3.150945704574217,2.693425809108295,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv,GTCRNWF_25ms_quality_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[5]dB.wav,16000,1.5988527536392212,11.164607048034668,0.7633959054946899,3.4420127868652344,3.954082374141471,3.780053336253715,3.346514684124298,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv,GTCRN+SS_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[5]dB,16000,1.6680810451507568,11.431333541870115,0.773372232913971,3.358579124723162,3.898452990268538,3.5764556706810984,3.203644054436797,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv,Street
p092_emo_disappointment_sentences,BASELINE_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[5]dB,16000,1.163309931755066,4.996565818786621,0.6903466582298279,2.761068642139435,4.232750839077994,2.066483073987045,2.5095589654384485,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,GTCRN_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[5]dB,16000,1.9455976486206048,12.42363452911377,0.7477921843528748,3.482390284538269,4.485754836041343,4.2962076252939205,4.049814164887857,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,GTCRNWF_25ms_quality_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[5]dB.wav,16000,1.231838345527649,10.157760620117188,0.712652325630188,3.6214945912361145,4.378457708319419,4.509208497624847,4.025062684430726,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,GTCRN+SS_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[5]dB,16000,1.3049176931381226,11.23749828338623,0.7173941731452942,3.4928066730499268,4.313288361460256,4.376578223478012,3.914326394042762,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,Train
