Noise_Category,Metric,Baseline_Noisy,GTCRN_baseline,GTCRN_SS,SS_GTCRN
Babble/SSN,PESQ,1.372,1.592 (+0.220),1.507 (+0.135),1.963 (+0.590)
Babble/SSN,SI_SDR,9.995,9.456 (-0.539),8.860 (-1.135),12.585 (+2.590)
Babble/SSN,STOI,0.702,0.681 (-0.021),0.666 (-0.036),0.737 (+0.035)
Babble/SSN,DNSMOS_mos_ovr,2.843,2.931 (+0.088),2.746 (-0.097),3.210 (+0.367)
Stationary,PESQ,1.354,1.886 (+0.532),1.818 (+0.464),1.349 (-0.005)
Stationary,SI_SDR,10.002,12.611 (+2.609),11.030 (+1.028),6.252 (-3.750)
Stationary,STOI,0.770,0.744 (-0.026),0.719 (-0.050),0.656 (-0.113)
Stationary,DNSMOS_mos_ovr,2.842,3.188 (+0.346),3.370 (+0.528),2.418 (-0.424)
Street,PESQ,1.289,1.587 (+0.298),1.404 (+0.115),1.440 (+0.152)
Street,SI_SDR,10.003,11.440 (+1.437),10.772 (+0.770),8.989 (-1.014)
Street,STOI,0.771,0.737 (-0.034),0.722 (-0.048),0.712 (-0.058)
Street,DNSMOS_mos_ovr,2.832,2.436 (-0.396),2.564 (-0.268),2.335 (-0.497)
Train,PESQ,1.481,1.776 (+0.295),1.703 (+0.223),1.785 (+0.305)
Train,SI_SDR,9.998,11.608 (+1.610),11.143 (+1.145),10.497 (+0.499)
Train,STOI,0.739,0.728 (-0.011),0.720 (-0.019),0.712 (-0.027)
Train,DNSMOS_mos_ovr,2.566,3.028 (+0.462),3.063 (+0.496),2.955 (+0.389)
