Noise_Category,Metric,Baseline_Noisy,GTCRN_baseline,GTCRN_SS,SS_GTCRN,GTCRN_SS_wovad_lowerfloor,GTCRN_WF
Babble/SSN,PESQ,1.520,1.704 (+0.184),1.620 (+0.100),1.878 (+0.358),2.214 (+0.694),2.105 (+0.585)
Babble/SSN,SI_SDR,9.984,10.570 (+0.587),10.169 (+0.185),10.105 (+0.121),11.967 (+1.983),12.460 (+2.476)
Babble/SSN,STOI,0.715,0.724 (+0.009),0.718 (+0.004),0.739 (+0.024),0.769 (+0.055),0.752 (+0.037)
Babble/SSN,DNSMOS_mos_ovr,2.838,2.928 (+0.090),2.717 (-0.121),2.789 (-0.049),3.270 (+0.433),2.610 (-0.228)
Stationary,PESQ,1.322,1.784 (+0.463),1.712 (+0.390),1.523 (+0.202),1.622 (+0.301),1.562 (+0.240)
Stationary,SI_SDR,10.003,11.543 (+1.540),10.160 (+0.157),8.455 (-1.548),10.159 (+0.156),10.879 (+0.876)
Stationary,STOI,0.750,0.718 (-0.032),0.693 (-0.057),0.676 (-0.074),0.693 (-0.057),0.703 (-0.047)
Stationary,DNSMOS_mos_ovr,2.844,3.125 (+0.281),3.222 (+0.378),2.722 (-0.122),3.205 (+0.361),2.691 (-0.153)
Street,PESQ,1.289,1.587 (+0.298),1.404 (+0.115),1.440 (+0.152),1.634 (+0.345),1.560 (+0.271)
Street,SI_SDR,10.003,11.440 (+1.437),10.772 (+0.770),8.989 (-1.014),11.205 (+1.202),11.147 (+1.144)
Street,STOI,0.771,0.737 (-0.034),0.722 (-0.048),0.712 (-0.058),0.736 (-0.034),0.730 (-0.040)
Street,DNSMOS_mos_ovr,2.832,2.436 (-0.396),2.564 (-0.268),2.335 (-0.497),2.724 (-0.108),2.542 (-0.290)
Train,PESQ,1.481,1.776 (+0.295),1.703 (+0.223),1.785 (+0.305),1.837 (+0.356),1.754 (+0.274)
Train,SI_SDR,9.998,11.608 (+1.610),11.143 (+1.145),10.497 (+0.499),11.698 (+1.700),12.108 (+2.110)
Train,STOI,0.739,0.728 (-0.011),0.720 (-0.019),0.712 (-0.027),0.736 (-0.003),0.729 (-0.010)
Train,DNSMOS_mos_ovr,2.566,3.028 (+0.462),3.063 (+0.496),2.955 (+0.389),3.443 (+0.877),3.339 (+0.773)
