Noise_Category,Metric,Baseline_Noisy,GTCRN_baseline,SS_GTCRN,GTCRN_SS_wovad_lowerfloor,GTCRN_WF,GTCRN_WF_eta08_25ms
Babble,PESQ,1.520,1.704 (+0.184),1.878 (+0.358),2.214 (+0.694),2.112 (+0.591),2.171 (+0.650)
Babble,SI_SDR,9.984,10.570 (+0.587),10.105 (+0.121),11.967 (+1.983),12.490 (+2.506),12.100 (+2.116)
Babble,STOI,0.715,0.724 (+0.009),0.739 (+0.024),0.769 (+0.055),0.765 (+0.050),0.754 (+0.039)
Babble,DNSMOS_mos_ovr,2.838,2.928 (+0.090),2.789 (-0.049),3.270 (+0.433),3.027 (+0.189),3.055 (+0.217)
Stationary,PESQ,1.322,1.784 (+0.463),1.523 (+0.202),1.622 (+0.301),1.541 (+0.219),1.546 (+0.224)
Stationary,SI_SDR,10.003,11.543 (+1.540),8.455 (-1.548),10.159 (+0.156),10.844 (+0.841),10.702 (+0.699)
Stationary,STOI,0.750,0.718 (-0.032),0.676 (-0.074),0.693 (-0.057),0.700 (-0.050),0.701 (-0.049)
Stationary,DNSMOS_mos_ovr,2.844,3.125 (+0.281),2.722 (-0.122),3.205 (+0.361),2.797 (-0.047),2.689 (-0.155)
Street,PESQ,1.289,1.587 (+0.298),1.440 (+0.152),1.634 (+0.345),1.540 (+0.251),1.531 (+0.242)
Street,SI_SDR,10.003,11.440 (+1.437),8.989 (-1.014),11.205 (+1.202),10.852 (+0.849),10.339 (+0.337)
Street,STOI,0.771,0.737 (-0.034),0.712 (-0.058),0.736 (-0.034),0.728 (-0.042),0.729 (-0.042)
Street,DNSMOS_mos_ovr,2.832,2.436 (-0.396),2.335 (-0.497),2.724 (-0.108),2.701 (-0.131),2.677 (-0.155)
Train,PESQ,1.481,1.776 (+0.295),1.785 (+0.305),1.837 (+0.356),1.760 (+0.279),1.761 (+0.281)
Train,SI_SDR,9.998,11.608 (+1.610),10.497 (+0.499),11.698 (+1.700),11.850 (+1.852),11.228 (+1.230)
Train,STOI,0.739,0.728 (-0.011),0.712 (-0.027),0.736 (-0.003),0.731 (-0.008),0.729 (-0.010)
Train,DNSMOS_mos_ovr,2.566,3.028 (+0.462),2.955 (+0.389),3.443 (+0.877),3.452 (+0.886),3.470 (+0.904)
