Noise_Category,Metric,Baseline_Noisy,SS_TD,TD_baseline
Babble/SSN,PESQ,1.372,1.538 (+0.166),1.538 (+0.166)
Babble/SSN,SI_SDR,9.995,8.849 (-1.146),8.849 (-1.146)
Babble/SSN,STOI,0.702,0.764 (+0.062),0.764 (+0.062)
Babble/SSN,DNSMOS_mos_ovr,2.843,2.864 (+0.020),2.864 (+0.020)
Car,PESQ,1.334,1.287 (-0.048),1.287 (-0.048)
Car,SI_SDR,9.996,9.968 (-0.027),9.968 (-0.027)
Car,STOI,0.827,0.809 (-0.018),0.809 (-0.018)
Car,DNSMOS_mos_ovr,2.785,2.774 (-0.011),2.774 (-0.011)
Construction,PESQ,1.239,1.241 (+0.002),1.241 (+0.002)
Construction,SI_SDR,9.995,8.489 (-1.507),8.489 (-1.507)
Construction,STOI,0.792,0.800 (+0.009),0.800 (+0.009)
Construction,DNSMOS_mos_ovr,2.236,2.404 (+0.168),2.404 (+0.168)
Stationary,PESQ,1.354,1.316 (-0.038),1.316 (-0.038)
Stationary,SI_SDR,10.002,9.267 (-0.735),9.267 (-0.735)
Stationary,STOI,0.770,0.755 (-0.015),0.755 (-0.015)
Stationary,DNSMOS_mos_ovr,2.842,2.583 (-0.259),2.583 (-0.259)
Street,PESQ,1.289,1.301 (+0.012),1.301 (+0.012)
Street,SI_SDR,10.003,10.014 (+0.012),10.014 (+0.012)
Street,STOI,0.771,0.769 (-0.002),0.769 (-0.002)
Street,DNSMOS_mos_ovr,2.832,2.671 (-0.161),2.671 (-0.161)
Train,PESQ,1.481,1.421 (-0.059),1.421 (-0.059)
Train,SI_SDR,9.998,9.998 (-0.000),9.998 (-0.000)
Train,STOI,0.739,0.736 (-0.003),0.736 (-0.003)
Train,DNSMOS_mos_ovr,2.566,2.700 (+0.134),2.700 (+0.134)
