Noise_Category,Metric,Baseline_Noisy,Spectral_SS_v1,Spectral_GRU_VAD,VAD_mband_GRU
Babble/SSN,PESQ,1.168,1.459 (+0.291),1.506 (+0.337),1.337 (+0.169)
Babble/SSN,SI_SDR,4.967,9.157 (+4.190),10.019 (+5.052),4.795 (-0.172)
Babble/SSN,STOI,0.648,0.725 (+0.077),0.710 (+0.062),0.712 (+0.064)
Babble/SSN,DNSMOS_mos_ovr,2.681,2.706 (+0.025),2.569 (-0.112),2.825 (+0.144)
Car,PESQ,1.152,1.318 (+0.166),1.282 (+0.130),1.184 (+0.032)
Car,SI_SDR,5.010,7.955 (+2.945),8.064 (+3.053),4.763 (-0.248)
Car,STOI,0.775,0.749 (-0.025),0.745 (-0.029),0.755 (-0.020)
Car,DNSMOS_mos_ovr,2.696,2.307 (-0.389),2.147 (-0.549),2.635 (-0.061)
Construction,PESQ,1.124,1.176 (+0.052),1.194 (+0.070),1.153 (+0.029)
Construction,SI_SDR,4.996,6.749 (+1.753),7.837 (+2.841),4.059 (-0.937)
Construction,STOI,0.729,0.730 (+0.002),0.725 (-0.004),0.711 (-0.018)
Construction,DNSMOS_mos_ovr,2.097,1.998 (-0.099),1.758 (-0.340),2.043 (-0.054)
Stationary,PESQ,1.173,1.263 (+0.090),1.302 (+0.129),1.188 (+0.015)
Stationary,SI_SDR,5.000,7.147 (+2.147),7.487 (+2.487),3.730 (-1.270)
Stationary,STOI,0.719,0.690 (-0.029),0.679 (-0.040),0.692 (-0.027)
Stationary,DNSMOS_mos_ovr,2.742,2.132 (-0.611),2.059 (-0.683),2.352 (-0.391)
Street,PESQ,1.130,1.308 (+0.178),1.379 (+0.248),1.190 (+0.060)
Street,SI_SDR,5.001,7.909 (+2.907),7.539 (+2.538),4.886 (-0.116)
Street,STOI,0.699,0.689 (-0.010),0.686 (-0.013),0.691 (-0.008)
Street,DNSMOS_mos_ovr,2.622,2.205 (-0.417),1.965 (-0.657),2.487 (-0.135)
Train,PESQ,1.262,1.346 (+0.084),1.370 (+0.108),1.294 (+0.032)
Train,SI_SDR,5.003,7.045 (+2.043),7.613 (+2.610),4.776 (-0.227)
Train,STOI,0.696,0.685 (-0.011),0.680 (-0.016),0.677 (-0.018)
Train,DNSMOS_mos_ovr,2.488,2.471 (-0.017),2.381 (-0.107),2.646 (+0.158)
