clean_file,enhanced_file,sampling_rate,PESQ_Baseline_Noisy,SI_SDR_Baseline_Noisy,STOI_Baseline_Noisy,DNSMOS_p808_mos_Baseline_Noisy,DNSMOS_mos_sig_Baseline_Noisy,DNSMOS_mos_bak_Baseline_Noisy,DNSMOS_mos_ovr_Baseline_Noisy,source_file,enhanced_file_GTCRN_baseline,sampling_rate_GTCRN_baseline,PESQ_GTCRN_baseline,SI_SDR_GTCRN_baseline,STOI_GTCRN_baseline,DNSMOS_p808_mos_GTCRN_baseline,DNSMOS_mos_sig_GTCRN_baseline,DNSMOS_mos_bak_GTCRN_baseline,DNSMOS_mos_ovr_GTCRN_baseline,source_file_GTCRN_baseline,enhanced_file_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,sampling_rate_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,PESQ_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,SI_SDR_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,STOI_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,DNSMOS_p808_mos_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,DNSMOS_mos_sig_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,DNSMOS_mos_bak_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,DNSMOS_mos_ovr_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,source_file_SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,enhanced_file_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,sampling_rate_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,PESQ_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,SI_SDR_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,STOI_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,DNSMOS_p808_mos_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,DNSMOS_mos_sig_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,DNSMOS_mos_bak_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,DNSMOS_mos_ovr_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,source_file_WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,noise_category
p092_emo_disappointment_sentences,BASELINE_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[5]dB.wav,16000,1.131717085838318,5.001913070678711,0.6879149079322815,2.800613582134247,3.796276538742382,2.180783626463068,2.353097817024972,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,GTCRN_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[5]dB,16000,1.9455976486206048,12.42363452911377,0.7477921843528748,3.482390284538269,4.485754836041343,4.2962076252939205,4.049814164887857,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,GTCRN+SS_p092_emo_disappointment_sentences_Noise Recordings_Train1_SNR[5]dB,16000,1.2887661457061768,10.694395065307615,0.7158008813858032,3.4602507948875427,4.288920868413774,4.403813089128252,3.904119281439099,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_disappointment_sentences_Noise Recordings_Train1_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,GTCRN_MWF_p092_emo_disappointment_sentences_Noise Recordings_Train1_SNR[5]dB.wav,16000,1.254749774932861,10.776077270507812,0.7129247784614563,3.5425865650177,4.284120863274039,4.473705251607079,3.924502596883121,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_disappointment_sentences_Noise Recordings_Train1_SNR[5]dB_CLN-p092_emo_disappointment_sentences.csv,Train
p092_emo_cuteness_sentences,BASELINE_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB.wav,16000,1.0841732025146484,4.946779727935791,0.6215542554855347,2.5228575468063354,4.13701924430932,2.2675343026385564,2.778494353005472,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,GTCRN_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB,16000,1.479744791984558,8.340773582458496,0.638659656047821,2.740087151527405,3.3972160075856834,3.6728111458129495,2.9342536580738003,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,GTCRN+SS_p092_emo_cuteness_sentences_Noise Recordings_PC Fan Noise_SNR[5]dB,16000,2.058822631835937,16.301490783691406,0.7290461659431458,2.718216300010681,4.023065092026429,4.083466564428613,3.556839942805752,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_cuteness_sentences_Noise Recordings_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,GTCRN_MWF_p092_emo_cuteness_sentences_Noise Recordings_PC Fan Noise_SNR[5]dB.wav,16000,1.958439588546753,16.599109649658203,0.7279164791107178,2.7336632013320923,3.8133964681373103,3.6385285285071696,3.2295319750816174,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_cuteness_sentences_Noise Recordings_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_sentences.csv,Stationary
p092_emo_contentment_sentences,BASELINE_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[5]dB.wav,16000,1.2456626892089844,5.044288635253906,0.7344706654548645,2.9548938274383545,3.4990890425649974,2.1860902376127003,2.298251437599736,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,GTCRN_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[5]dB,16000,1.595847249031067,11.694997787475586,0.7729394435882568,3.52134108543396,3.325536515402776,3.5312859510095773,2.808040724880809,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,GTCRN+SS_p092_emo_contentment_sentences_Noise Recordings_Inside Train_2_SNR[5]dB,16000,1.8479571342468264,11.948102951049805,0.7829607129096985,3.4670331478118896,3.4669387823647,3.9661671717319904,3.0203336104770084,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_contentment_sentences_Noise Recordings_Inside Train_2_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,GTCRN_MWF_p092_emo_contentment_sentences_Noise Recordings_Inside Train_2_SNR[5]dB.wav,16000,1.8150286674499512,12.194581031799316,0.7784527540206909,3.4527907371521,3.470674354094715,3.841054413580894,3.017459454006015,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_contentment_sentences_Noise Recordings_Inside Train_2_SNR[5]dB_CLN-p092_emo_contentment_sentences.csv,Train
p092_emo_desire_sentences,BASELINE_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB.wav,16000,1.1648695468902588,4.988389015197754,0.6940234899520874,2.7610482374827066,4.235379992195427,2.275634220891924,2.7195838434630226,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,GTCRN_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB,16000,1.6268560886383057,12.505764961242676,0.7363725900650024,3.4079657395680747,3.610594359401312,3.590835701026384,2.976581411700729,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,GTCRN+SS_p092_emo_desire_sentences_Noise Recordings_Street Noise_SNR[5]dB,16000,1.693758487701416,11.604686737060549,0.7321466207504272,3.436649401982625,3.27663747018137,3.477880502427556,2.722477466811154,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_desire_sentences_Noise Recordings_Street Noise_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,GTCRN_MWF_p092_emo_desire_sentences_Noise Recordings_Street Noise_SNR[5]dB.wav,16000,1.6116224527359009,11.18026351928711,0.7222360372543335,3.4274839560190835,3.397441629760668,3.7367046449468657,2.926739369933427,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_desire_sentences_Noise Recordings_Street Noise_SNR[5]dB_CLN-p092_emo_desire_sentences.csv,Street
p092_emo_cuteness_freeform,BASELINE_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[5]dB.wav,16000,1.0750921964645386,4.998791694641113,0.7057397365570068,2.6209930896759035,4.132907106196642,2.2863348348926222,2.778806901286951,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,GTCRN_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[5]dB,16000,1.7926936149597168,12.955244064331056,0.6679540872573853,2.6561138153076174,3.4539725007520814,3.924388896183145,3.003022828332848,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,GTCRN+SS_p092_emo_cuteness_freeform_Noise Recordings_Inside Train_3_SNR[5]dB,16000,1.2171928882598877,4.284661769866943,0.5629444122314453,2.685825729370117,2.6853938061623173,3.079994167423989,2.211076240391677,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_cuteness_freeform_Noise Recordings_Inside Train_3_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,GTCRN_MWF_p092_emo_cuteness_freeform_Noise Recordings_Inside Train_3_SNR[5]dB.wav,16000,1.2150532007217407,4.334311008453369,0.5582820773124695,2.6893962383270265,2.549621506760379,2.976956292708521,2.1231371272256454,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_cuteness_freeform_Noise Recordings_Inside Train_3_SNR[5]dB_CLN-p092_emo_cuteness_freeform.csv,Stationary
p092_emo_desire_freeform,BASELINE_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[5]dB.wav,16000,1.0955950021743774,5.014443874359131,0.703833818435669,2.7179759740829468,3.914504011261829,2.178301578299908,2.5234886203490445,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[5]dB_CLN-p092_emo_desire_freeform.csv,GTCRN_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[5]dB,16000,1.5471835136413574,10.374232292175291,0.7372520565986633,2.938867251078288,2.267402393691297,3.220027127256021,1.895816180631448,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[5]dB_CLN-p092_emo_desire_freeform.csv,GTCRN+SS_p092_emo_desire_freeform_Noise Recordings_SSN_IEEE_SNR[5]dB,16000,1.5019681453704834,10.115838050842283,0.7344004511833191,3.1545881827672324,2.950330306946222,3.807386537976008,2.5752881506374847,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_desire_freeform_Noise Recordings_SSN_IEEE_SNR[5]dB_CLN-p092_emo_desire_freeform.csv,GTCRN_MWF_p092_emo_desire_freeform_Noise Recordings_SSN_IEEE_SNR[5]dB.wav,16000,1.4692332744598389,10.52350902557373,0.73439621925354,3.16616427898407,2.883176896545032,3.623092100528684,2.4761519816348017,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_desire_freeform_Noise Recordings_SSN_IEEE_SNR[5]dB_CLN-p092_emo_desire_freeform.csv,Street
p092_emo_disappointment_freeform,BASELINE_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[5]dB.wav,16000,1.2341595888137815,4.959454536437988,0.7612045407295227,2.6844087668827603,4.4794978580763045,2.4905555017140104,2.8923363201553784,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv,GTCRN_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[5]dB,16000,1.5048953294754028,9.27743148803711,0.7682998180389404,3.3254342760358537,3.4788625725137536,3.150945704574217,2.693425809108295,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv,GTCRN+SS_p092_emo_disappointment_freeform_Noise Recordings_Street Noise_downtown_SNR[5]dB,16000,1.6594293117523191,11.433125495910645,0.7708871960639954,3.390805789402553,3.961964286690392,3.564879202875938,3.2509941504919224,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_disappointment_freeform_Noise Recordings_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv,GTCRN_MWF_p092_emo_disappointment_freeform_Noise Recordings_Street Noise_downtown_SNR[5]dB.wav,16000,1.64054274559021,11.538147926330566,0.7696223258972168,3.410468510219029,3.909902815849213,3.443713358165473,3.156639186128379,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_disappointment_freeform_Noise Recordings_Street Noise_downtown_SNR[5]dB_CLN-p092_emo_disappointment_freeform.csv,Train
p092_emo_contentment_freeform,BASELINE_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[5]dB.wav,16000,1.3537213802337646,4.975010395050049,0.7961254119873047,3.0632461139134,3.573731276977643,2.2322324204828266,2.2575956545464595,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[5]dB_CLN-p092_emo_contentment_freeform.csv,GTCRN_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[5]dB,16000,1.8132033348083496,10.741534233093262,0.8190769553184509,3.659267391477312,3.524043091800117,2.893484429077702,2.6063749773026705,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[5]dB_CLN-p092_emo_contentment_freeform.csv,GTCRN+SS_p092_emo_contentment_freeform_Noise Recordings_Inside Train_1_SNR[5]dB,16000,1.818552732467652,11.583075523376465,0.8107544183731079,3.6263742787497386,4.016852551828194,3.94099702282236,3.431493479878099,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_contentment_freeform_Noise Recordings_Inside Train_1_SNR[5]dB_CLN-p092_emo_contentment_freeform.csv,GTCRN_MWF_p092_emo_contentment_freeform_Noise Recordings_Inside Train_1_SNR[5]dB.wav,16000,1.7733148336410522,11.632194519042969,0.8105517625808716,3.66009647505624,4.141039103761555,3.793489991499125,3.471792639058809,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_contentment_freeform_Noise Recordings_Inside Train_1_SNR[5]dB_CLN-p092_emo_contentment_freeform.csv,Train
p092_emo_confusion_freeform,BASELINE_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB.wav,16000,1.1515237092971802,5.009213447570801,0.6622921228408813,2.751896585736956,4.28295509816449,2.161126448730371,2.684780762991555,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,GTCRN_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB,16000,1.918831825256348,12.423123359680176,0.722101628780365,3.144176278795515,4.160976406091892,3.961885950331853,3.5608026272797155,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,GTCRN+SS_p092_emo_confusion_freeform_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB,16000,1.5945874452590942,10.712952613830566,0.688725471496582,2.8385325840541293,4.06903230305028,3.840531799874768,3.460581435096287,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_confusion_freeform_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,GTCRN_MWF_p092_emo_confusion_freeform_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB.wav,16000,1.5147488117218018,10.905487060546877,0.6819961667060852,3.027430704661778,3.96971997298091,3.560264611102749,3.248418769626756,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_confusion_freeform_Noise Recordings_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,Other
p092_emo_disgust_sentences,BASELINE_p092_emo_disgust_sentences_Noise Recordings_cafeteria_babble_SNR[5]dB.wav,16000,1.252566695213318,4.987494468688965,0.6737257242202759,2.539791488647461,4.288135934542888,2.0874872597357035,2.583529279449698,BASELINE_metrics_SNR[5]dB_ENH-BASELINE_p092_emo_disgust_sentences_Noise Recordings_cafeteria_babble_SNR[5]dB_CLN-p092_emo_disgust_sentences.csv,GTCRN_p092_emo_disgust_sentences_Noise Recordings_cafeteria_babble_SNR[5]dB,16000,1.7044097185134888,10.57040023803711,0.7240724563598633,3.2796058177948,3.724688288000047,3.191090729852083,2.927736693629919,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disgust_sentences_Noise Recordings_cafeteria_babble_SNR[5]dB_CLN-p092_emo_disgust_sentences.csv,GTCRN+SS_p092_emo_disgust_sentences_Noise Recordings_Water Cooler_SNR[5]dB,16000,2.266275882720948,12.028874397277832,0.7657958269119263,3.5000893592834474,3.771608013300935,3.1470766890411697,2.9693528035496426,GTCRN_SS_NOIZEUS_EARS_metrics.csv_ENH-GTCRN+SS_p092_emo_disgust_sentences_Noise Recordings_Water Cooler_SNR[5]dB_CLN-p092_emo_disgust_sentences.csv,GTCRN_MWF_p092_emo_disgust_sentences_Noise Recordings_Water Cooler_SNR[5]dB.wav,16000,2.111724853515625,12.490089416503906,0.7646816372871399,3.5253532409667967,3.7543807476374313,3.269928194304542,3.027099948175084,GTCRN_MWF_data_ENH-GTCRN_MWF_p092_emo_disgust_sentences_Noise Recordings_Water Cooler_SNR[5]dB_CLN-p092_emo_disgust_sentences.csv,Babble
