Metric,SNR_dB,Baseline_Noisy,GTCRN_baseline,SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,WF_GTCRN_og
PESQ,-5,1.0751,1.2394,1.2706,1.2537,1.2287
PESQ,0,1.1086,1.4197,1.485,1.4381,1.4001
PESQ,5,1.2038,1.7413,1.7425,1.6795,1.6411
PESQ,10,1.3882,2.0438,2.0739,1.99,1.9339
PESQ,15,1.7284,2.3784,2.4954,2.4033,2.3504
SI_SDR,-5,-5.0132,3.8175,4.6096,4.6114,4.5274
SI_SDR,0,-0.0328,7.5701,7.6497,7.6843,7.4534
SI_SDR,5,4.9972,11.472,11.2791,11.4015,10.9067
SI_SDR,10,9.9995,14.5717,14.0301,14.3513,13.3063
SI_SDR,15,14.9983,18.4455,17.5328,17.7799,15.7518
STOI,-5,0.5692,0.5839,0.593,0.5855,0.5765
STOI,0,0.6387,0.6607,0.6633,0.6594,0.6532
STOI,5,0.6961,0.7258,0.7249,0.7232,0.7155
STOI,10,0.7539,0.7754,0.7726,0.7725,0.7664
STOI,15,0.7911,0.8091,0.805,0.8044,0.7991
DNSMOS_p808_mos,-5,2.4054,2.7985,2.7943,2.8142,2.8177
DNSMOS_p808_mos,0,2.5219,2.9849,3.0176,3.0355,3.0853
DNSMOS_p808_mos,5,2.6909,3.2097,3.2079,3.2286,3.2361
DNSMOS_p808_mos,10,2.8637,3.3136,3.3111,3.3459,3.3723
DNSMOS_p808_mos,15,2.9952,3.4446,3.4332,3.459,3.4843
DNSMOS_mos_sig,-5,3.5547,2.2821,2.5285,2.5082,2.5533
DNSMOS_mos_sig,0,3.8728,2.9035,3.1765,3.131,3.1264
DNSMOS_mos_sig,5,4.061,3.5316,3.5967,3.5894,3.5953
DNSMOS_mos_sig,10,4.0771,3.8657,3.9089,3.909,3.8993
DNSMOS_mos_sig,15,4.0568,4.0531,4.077,4.0772,4.0363
DNSMOS_mos_bak,-5,1.6786,3.2563,3.3921,3.3757,3.3858
DNSMOS_mos_bak,0,1.9375,3.4157,3.472,3.4595,3.5266
DNSMOS_mos_bak,5,2.2032,3.5685,3.7765,3.7052,3.7801
DNSMOS_mos_bak,10,2.365,3.7111,3.7448,3.7522,3.8778
DNSMOS_mos_bak,15,2.625,3.8715,3.9319,3.9248,4.0532
DNSMOS_mos_ovr,-5,1.9776,1.99,2.2055,2.1819,2.2149
DNSMOS_mos_ovr,0,2.3044,2.4802,2.6687,2.6291,2.6475
DNSMOS_mos_ovr,5,2.5446,2.9533,3.0958,3.0729,3.1056
DNSMOS_mos_ovr,10,2.6548,3.2509,3.3134,3.3209,3.3664
DNSMOS_mos_ovr,15,2.8061,3.4574,3.5152,3.5166,3.5393
